id	source_file	line	routine	container	english
"message.1actions.KITCHEN-FCN.396.01"	"1actions.zil"	"396"	"KITCHEN-FCN"	"TELL"	"slightly ajar."
"message.1actions.KITCHEN-FCN.401.01"	"1actions.zil"	"401"	"KITCHEN-FCN"	"TELL"	"There are no stairs leading down."
"message.1actions.STONE-BARROW-FCN.411.01"	"1actions.zil"	"411"	"STONE-BARROW-FCN"	"TELL"	"Inside the Barrow|\nAs you enter the barrow, the door closes inexorably behind you. Around\nyou it is dark, but ahead is an enormous cavern, brightly lit. Through\nits center runs a wide stream. Spanning the stream is a small wooden\nfootbridge, and beyond a path leads into a dark tunnel. Above the\nbridge, floating in the air, is a large sign. It reads:  All ye who\nstand before this bridge have completed a great and perilous adventure\nwhich has tested your wit and courage. You have mastered"
"message.1actions.STONE-BARROW-FCN.420.01"	"1actions.zil"	"420"	"STONE-BARROW-FCN"	"TELL"	"\nthe first part of the ZORK trilogy. Those who pass over this bridge must be\nprepared to undertake an even greater adventure that will severely test your\nskill and bravery!|\n|\nThe ZORK trilogy continues with ""ZORK II: The Wizard of Frobozz"" and\nis completed in ""ZORK III: The Dungeon Master."""
"message.1actions.STONE-BARROW-FCN.428.01"	"1actions.zil"	"428"	"STONE-BARROW-FCN"	"TELL"	"\nZORK: The Great Underground Empire.|"
"message.1actions.BARROW-DOOR-FCN.434.01"	"1actions.zil"	"434"	"BARROW-DOOR-FCN"	"TELL"	"The door is too heavy."
"message.1actions.TROPHY-CASE-FCN.445.01"	"1actions.zil"	"445"	"TROPHY-CASE-FCN"	"TELL"	"The trophy case is securely fastened to the wall."
"message.1actions.LIVING-ROOM-FCN.452.01"	"1actions.zil"	"452"	"LIVING-ROOM-FCN"	"TELL"	"You are in the living room. There is a doorway to the east"
"message.1actions.LIVING-ROOM-FCN.455.01"	"1actions.zil"	"455"	"LIVING-ROOM-FCN"	"TELL"	". To the\nwest is a cyclops-shaped opening in an old wooden door, above which is\nsome strange gothic lettering, "
"message.1actions.LIVING-ROOM-FCN.460.01"	"1actions.zil"	"460"	"LIVING-ROOM-FCN"	"TELL"	", a wooden\ndoor with strange gothic lettering to the west, which appears to be\nnailed shut, "
"message.1actions.LIVING-ROOM-FCN.463.01"	"1actions.zil"	"463"	"LIVING-ROOM-FCN"	"TELL"	"a trophy case, "
"message.1actions.LIVING-ROOM-FCN.467.01"	"1actions.zil"	"467"	"LIVING-ROOM-FCN"	"TELL"	"and a rug lying beside an open trap door."
"message.1actions.LIVING-ROOM-FCN.469.01"	"1actions.zil"	"469"	"LIVING-ROOM-FCN"	"TELL"	"and a closed trap door at your feet."
"message.1actions.LIVING-ROOM-FCN.471.01"	"1actions.zil"	"471"	"LIVING-ROOM-FCN"	"TELL"	"and an open trap door at your feet."
"message.1actions.LIVING-ROOM-FCN.474.01"	"1actions.zil"	"474"	"LIVING-ROOM-FCN"	"TELL"	"and a large oriental rug in the center of the room."
"message.1actions.TRAP-DOOR-FCN.511.01"	"1actions.zil"	"511"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"	"The door reluctantly opens to reveal a rickety staircase descending into\ndarkness."
"message.1actions.TRAP-DOOR-FCN.513.01"	"1actions.zil"	"513"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"	"The door swings shut and closes."
"message.1actions.TRAP-DOOR-FCN.517.01"	"1actions.zil"	"517"	"TRAP-DOOR-FCN"	"TELL"	"You see a rickety staircase descending into darkness."
"message.1actions.TRAP-DOOR-FCN.518.01"	"1actions.zil"	"518"	"TRAP-DOOR-FCN"	"TELL"	"It's closed."
"message.1actions.TRAP-DOOR-FCN.523.01"	"1actions.zil"	"523"	"TRAP-DOOR-FCN"	"TELL"	"The door is locked from above."
"message.1actions.TRAP-DOOR-FCN.527.01"	"1actions.zil"	"527"	"TRAP-DOOR-FCN"	"TELL"	"The door closes and locks."
"message.1actions.CELLAR-FCN.534.01"	"1actions.zil"	"534"	"CELLAR-FCN"	"TELL"	"You are in a dark and damp cellar with a narrow passageway leading\nnorth, and a crawlway to the south. On the west is the bottom of a\nsteep metal ramp which is unclimbable."
"message.1actions.CELLAR-FCN.543.01"	"1actions.zil"	"543"	"CELLAR-FCN"	"TELL"	"The trap door crashes shut, and you hear someone barring it."
"message.1actions.CHIMNEY-F.547.01"	"1actions.zil"	"547"	"CHIMNEY-F"	"TELL"	"The chimney leads "
"message.1actions.CHIMNEY-F.549.01"	"1actions.zil"	"549"	"CHIMNEY-F"	"TELL"	"down"
"message.1actions.CHIMNEY-F.550.01"	"1actions.zil"	"550"	"CHIMNEY-F"	"TELL"	"up"
"message.1actions.CHIMNEY-F.551.01"	"1actions.zil"	"551"	"CHIMNEY-F"	"TELL"	"ward, and looks climbable."
"message.1actions.UP-CHIMNEY-FUNCTION.555.01"	"1actions.zil"	"555"	"UP-CHIMNEY-FUNCTION"	"TELL"	"Going up empty-handed is a bad idea."
"message.1actions.UP-CHIMNEY-FUNCTION.564.01"	"1actions.zil"	"564"	"UP-CHIMNEY-FUNCTION"	"TELL"	"You can't get up there with what you're carrying."
"message.1actions.TRAP-DOOR-EXIT.572.01"	"1actions.zil"	"572"	"TRAP-DOOR-EXIT"	"TELL"	"The trap door is closed."
"message.1actions.TRAP-DOOR-EXIT.576.01"	"1actions.zil"	"576"	"TRAP-DOOR-EXIT"	"TELL"	"You can't go that way."
"message.1actions.RUG-FCN.581.01"	"1actions.zil"	"581"	"RUG-FCN"	"TELL"	"The rug is too heavy to lift"
"message.1actions.RUG-FCN.583.01"	"1actions.zil"	"583"	"RUG-FCN"	"TELL"	"."
"message.1actions.RUG-FCN.586.01"	"1actions.zil"	"586"	"RUG-FCN"	"TELL"	", but in trying to take it you have\nnoticed an irregularity beneath it."
"message.1actions.RUG-FCN.591.01"	"1actions.zil"	"591"	"RUG-FCN"	"TELL"	"Having moved the carpet previously, you find it impossible to move\nit again."
"message.1actions.RUG-FCN.595.01"	"1actions.zil"	"595"	"RUG-FCN"	"TELL"	"With a great effort, the rug is moved to one side of the room, revealing\nthe dusty cover of a closed trap door."
"message.1actions.RUG-FCN.602.01"	"1actions.zil"	"602"	"RUG-FCN"	"TELL"	"The rug is extremely heavy and cannot be carried."
"message.1actions.RUG-FCN.607.01"	"1actions.zil"	"607"	"RUG-FCN"	"TELL"	"Underneath the rug is a closed trap door. As you drop the corner of the\nrug, the trap door is once again concealed from view."
"message.1actions.RUG-FCN.613.01"	"1actions.zil"	"613"	"RUG-FCN"	"TELL"	"As you sit, you notice an irregularity underneath it. Rather than be\nuncomfortable, you stand up again."
"message.1actions.RUG-FCN.616.01"	"1actions.zil"	"616"	"RUG-FCN"	"TELL"	"I suppose you think it's a magic carpet?"
"message.1actions.WEAPON-FUNCTION.634.01"	"1actions.zil"	"634"	"WEAPON-FUNCTION"	"TELL"	"The "
"message.1actions.WEAPON-FUNCTION.634.02"	"1actions.zil"	"634"	"WEAPON-FUNCTION"	"TELL"	" swings it out of your reach."
"message.1actions.WEAPON-FUNCTION.637.01"	"1actions.zil"	"637"	"WEAPON-FUNCTION"	"TELL"	"The "
"message.1actions.WEAPON-FUNCTION.637.02"	"1actions.zil"	"637"	"WEAPON-FUNCTION"	"TELL"	" seems white-hot. You can't hold on to it."
"message.1actions.TROLL-FCN.643.01"	"1actions.zil"	"643"	"TROLL-FCN"	"TELL"	"The troll isn't much of a conversationalist."
"message.1actions.TROLL-FCN.651.01"	"1actions.zil"	"651"	"TROLL-FCN"	"PUTP"	"A nasty-looking troll, brandishing a bloody axe, blocks all passages out\nof the room."
"message.1actions.TROLL-FCN.655.01"	"1actions.zil"	"655"	"TROLL-FCN"	"TELL"	"The troll, angered and humiliated, recovers his weapon. He appears to have\nan axe to grind with you."
"message.1actions.TROLL-FCN.660.01"	"1actions.zil"	"660"	"TROLL-FCN"	"PUTP"	"A pathetically babbling troll is here."
"message.1actions.TROLL-FCN.662.01"	"1actions.zil"	"662"	"TROLL-FCN"	"TELL"	"The troll, disarmed, cowers in terror, pleading for his life in\nthe guttural tongue of the trolls."
"message.1actions.TROLL-FCN.678.01"	"1actions.zil"	"678"	"TROLL-FCN"	"PUTP"	"An unconscious troll is sprawled on the floor. All passages\nout of the room are open."
"message.1actions.TROLL-FCN.685.01"	"1actions.zil"	"685"	"TROLL-FCN"	"TELL"	"The troll stirs, quickly resuming a fighting stance."
"message.1actions.TROLL-FCN.688.01"	"1actions.zil"	"688"	"TROLL-FCN"	"PUTP"	"A nasty-looking troll, brandishing a bloody axe, blocks\nall passages out of the room."
"message.1actions.TROLL-FCN.695.01"	"1actions.zil"	"695"	"TROLL-FCN"	"PUTP"	"A nasty-looking troll, brandishing a bloody axe, blocks\nall passages out of the room."
"message.1actions.TROLL-FCN.699.01"	"1actions.zil"	"699"	"TROLL-FCN"	"PUTP"	"A troll is here."
"message.1actions.TROLL-FCN.718.01"	"1actions.zil"	"718"	"TROLL-FCN"	"TELL"	"The troll scratches his head in confusion, then takes the axe."
"message.1actions.TROLL-FCN.724.01"	"1actions.zil"	"724"	"TROLL-FCN"	"TELL"	"You would have to get the "
"message.1actions.TROLL-FCN.724.02"	"1actions.zil"	"724"	"TROLL-FCN"	"TELL"	" first, and that seems unlikely."
"message.1actions.TROLL-FCN.728.01"	"1actions.zil"	"728"	"TROLL-FCN"	"TELL"	"The troll, who is remarkably coordinated, catches the "
"message.1actions.TROLL-FCN.731.01"	"1actions.zil"	"731"	"TROLL-FCN"	"TELL"	"The troll, who is not overly proud, graciously accepts the gift"
"message.1actions.TROLL-FCN.736.01"	"1actions.zil"	"736"	"TROLL-FCN"	"TELL"	" and eats it hungrily. Poor troll, he dies from an internal hemorrhage\nand his carcass disappears in a sinister black fog."
"message.1actions.TROLL-FCN.744.01"	"1actions.zil"	"744"	"TROLL-FCN"	"TELL"	" and, being for the moment sated, throws it back. Fortunately, the\ntroll has poor control, and the "
"message.1actions.TROLL-FCN.745.01"	"1actions.zil"	"745"	"TROLL-FCN"	"TELL"	" falls to the floor. He does\nnot look pleased."
"message.1actions.TROLL-FCN.750.01"	"1actions.zil"	"750"	"TROLL-FCN"	"TELL"	" and not having the most discriminating tastes, gleefully eats it."
"message.1actions.TROLL-FCN.754.01"	"1actions.zil"	"754"	"TROLL-FCN"	"TELL"	"The troll spits in your face, grunting ""Better luck next time"" in a\nrather barbarous accent."
"message.1actions.TROLL-FCN.758.01"	"1actions.zil"	"758"	"TROLL-FCN"	"TELL"	"The troll laughs at your puny gesture."
"message.1actions.TROLL-FCN.761.01"	"1actions.zil"	"761"	"TROLL-FCN"	"TELL"	"Every so often the troll says something, probably uncomplimentary, in\nhis guttural tongue."
"message.1actions.TROLL-FCN.764.01"	"1actions.zil"	"764"	"TROLL-FCN"	"TELL"	"Unfortunately, the troll can't hear you."
"message.1actions.LEAVES-APPEAR.779.01"	"1actions.zil"	"779"	"LEAVES-APPEAR"	"TELL"	"In disturbing the pile of leaves, a grating is revealed."
"message.1actions.LEAVES-APPEAR.781.01"	"1actions.zil"	"781"	"LEAVES-APPEAR"	"TELL"	"With the leaves moved, a grating is revealed."
"message.1actions.LEAF-PILE.788.01"	"1actions.zil"	"788"	"LEAF-PILE"	"TELL"	"There are 69,105 leaves here."
"message.1actions.LEAF-PILE.794.01"	"1actions.zil"	"794"	"LEAF-PILE"	"TELL"	"The leaves burn."
"message.1actions.LEAF-PILE.797.01"	"1actions.zil"	"797"	"LEAF-PILE"	"JIGS-UP"	"The leaves burn, and so do you."
"message.1actions.LEAF-PILE.799.01"	"1actions.zil"	"799"	"LEAF-PILE"	"TELL"	"You rustle the leaves around, making quite a mess."
"message.1actions.LEAF-PILE.804.01"	"1actions.zil"	"804"	"LEAF-PILE"	"TELL"	"Done."
"message.1actions.LEAF-PILE.812.01"	"1actions.zil"	"812"	"LEAF-PILE"	"TELL"	"Underneath the pile of leaves is a grating. As you release the leaves,\nthe grating is once again concealed from view."
"message.1actions.CLEARING-FCN.821.01"	"1actions.zil"	"821"	"CLEARING-FCN"	"TELL"	"You are in a clearing, with a forest surrounding you on all sides. A\npath leads south."
"message.1actions.CLEARING-FCN.826.01"	"1actions.zil"	"826"	"CLEARING-FCN"	"TELL"	"There is an open grating, descending into darkness."
"message.1actions.CLEARING-FCN.830.01"	"1actions.zil"	"830"	"CLEARING-FCN"	"TELL"	"There is a grating securely fastened into the ground."
"message.1actions.MAZE-11-FCN.838.01"	"1actions.zil"	"838"	"MAZE-11-FCN"	"TELL"	"You are in a small room near the maze. There are twisty passages\nin the immediate vicinity."
"message.1actions.MAZE-11-FCN.842.01"	"1actions.zil"	"842"	"MAZE-11-FCN"	"TELL"	"Above you is an open grating with sunlight pouring in."
"message.1actions.MAZE-11-FCN.844.01"	"1actions.zil"	"844"	"MAZE-11-FCN"	"TELL"	"Above you is a grating."
"message.1actions.MAZE-11-FCN.847.01"	"1actions.zil"	"847"	"MAZE-11-FCN"	"TELL"	"Above you is a grating locked with a skull-and-crossbones lock."
"message.1actions.GRATE-FUNCTION.857.01"	"1actions.zil"	"857"	"GRATE-FUNCTION"	"TELL"	"The grate is locked."
"message.1actions.GRATE-FUNCTION.859.01"	"1actions.zil"	"859"	"GRATE-FUNCTION"	"TELL"	"You can't lock it from this side."
"message.1actions.GRATE-FUNCTION.863.01"	"1actions.zil"	"863"	"GRATE-FUNCTION"	"TELL"	"The grate is unlocked."
"message.1actions.GRATE-FUNCTION.866.01"	"1actions.zil"	"866"	"GRATE-FUNCTION"	"TELL"	"You can't reach the lock from here."
"message.1actions.GRATE-FUNCTION.869.01"	"1actions.zil"	"869"	"GRATE-FUNCTION"	"TELL"	"Can you unlock a grating with a "
"message.1actions.GRATE-FUNCTION.869.02"	"1actions.zil"	"869"	"GRATE-FUNCTION"	"TELL"	"?"
"message.1actions.GRATE-FUNCTION.871.01"	"1actions.zil"	"871"	"GRATE-FUNCTION"	"TELL"	"You can't pick the lock."
"message.1actions.GRATE-FUNCTION.876.01"	"1actions.zil"	"876"	"GRATE-FUNCTION"	"OPEN-CLOSE"	"The grating opens."
"message.1actions.GRATE-FUNCTION.878.01"	"1actions.zil"	"878"	"GRATE-FUNCTION"	"OPEN-CLOSE"	"The grating opens to reveal trees above you."
"message.1actions.GRATE-FUNCTION.879.01"	"1actions.zil"	"879"	"GRATE-FUNCTION"	"OPEN-CLOSE"	"The grating is closed."
"message.1actions.GRATE-FUNCTION.884.01"	"1actions.zil"	"884"	"GRATE-FUNCTION"	"TELL"	"A pile of leaves falls onto your head and to the ground."
"message.1actions.GRATE-FUNCTION.889.01"	"1actions.zil"	"889"	"GRATE-FUNCTION"	"TELL"	"The grating is locked."
"message.1actions.GRATE-FUNCTION.892.01"	"1actions.zil"	"892"	"GRATE-FUNCTION"	"TELL"	"It won't fit through the grating."
"message.1actions.GRATE-FUNCTION.896.01"	"1actions.zil"	"896"	"GRATE-FUNCTION"	"TELL"	"The "
"message.1actions.GRATE-FUNCTION.896.02"	"1actions.zil"	"896"	"GRATE-FUNCTION"	"TELL"	" goes through the grating into the darkness below."
"message.1actions.MAZE-DIODES.900.01"	"1actions.zil"	"900"	"MAZE-DIODES"	"TELL"	"You won't be able to get back up to the tunnel you are going through\nwhen it gets to the next room."
"message.1actions.RUSTY-KNIFE-FCN.911.01"	"1actions.zil"	"911"	"RUSTY-KNIFE-FCN"	"TELL"	"As you touch the rusty knife, your sword gives a single pulse of blinding\nblue light."
"message.1actions.RUSTY-KNIFE-FCN.921.01"	"1actions.zil"	"921"	"RUSTY-KNIFE-FCN"	"JIGS-UP"	"As the knife approaches its victim, your mind is submerged by an\novermastering will. Slowly, your hand turns, until the rusty blade\nis an inch from your neck. The knife seems to sing as it savagely\nslits your throat."
"message.1actions.SKELETON.934.01"	"1actions.zil"	"934"	"SKELETON"	"TELL"	"A ghost appears in the room and is appalled at your desecration of\nthe remains of a fellow adventurer. He casts a curse on your valuables\nand banishes them to the Land of the Living Dead. The ghost leaves,\nmuttering obscenities."
"message.1actions.TORCH-OBJECT.946.01"	"1actions.zil"	"946"	"TORCH-OBJECT"	"TELL"	"The torch is burning."
"message.1actions.TORCH-OBJECT.949.01"	"1actions.zil"	"949"	"TORCH-OBJECT"	"TELL"	"The water evaporates before it gets close."
"message.1actions.TORCH-OBJECT.952.01"	"1actions.zil"	"952"	"TORCH-OBJECT"	"TELL"	"You nearly burn your hand trying to extinguish the flame."
"message.1actions.MIRROR-ROOM.961.01"	"1actions.zil"	"961"	"MIRROR-ROOM"	"TELL"	"You are in a large square room with tall ceilings. On the south wall\nis an enormous mirror which fills the entire wall. There are exits\non the other three sides of the room."
