source_file	line	top_kind	top_name	angle_parent	angle_path	paren_parent	english
"1actions.zil"	"95"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"Why not find your brains?"
"1actions.zil"	"103"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"<EQUAL?"	"It seems to be to the west."
"1actions.zil"	"105"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"T"	"It was here just a minute ago...."
"1actions.zil"	"106"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"You're not at the house."
"1actions.zil"	"109"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"It's right here! Are you blind or something?"
"1actions.zil"	"115"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The house is a beautiful colonial house which is painted white.\nIt is clear that the owners must have been extremely wealthy."
"1actions.zil"	"122"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"T"	"The window is closed."
"1actions.zil"	"125"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"I can't see how to get in from here."
"1actions.zil"	"127"	"ROUTINE"	"WHITE-HOUSE-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You must be joking."
"1actions.zil"	"131"	"ROUTINE"	"GO-NEXT"	"ROUTINE"	"ROUTINE"	"TBL"	"AUX"
"1actions.zil"	"142"	"ROUTINE"	"FOREST-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<OR"	"You aren't even in the forest."
"1actions.zil"	"145"	"ROUTINE"	"FOREST-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You will have to specify a direction."
"1actions.zil"	"147"	"ROUTINE"	"FOREST-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You cannot see the forest for the trees."
"1actions.zil"	"149"	"ROUTINE"	"FOREST-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The pines and the hemlocks seem to be murmuring."
"1actions.zil"	"154"	"ROUTINE"	"MOUNTAIN-RANGE-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"Don't you believe me? The mountains are impassable!"
"1actions.zil"	"157"	"ROUTINE"	"WATER-F"	"ROUTINE"	"ROUTINE"	"""AUX"""	"AUX"
"1actions.zil"	"187"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"There is now a puddle in the bottom of the "
"1actions.zil"	"188"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"."
"1actions.zil"	"192"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"The water leaks out of the "
"1actions.zil"	"193"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	" and evaporates immediately."
"1actions.zil"	"197"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"<NOT"	"The bottle is closed."
"1actions.zil"	"201"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"<NOT"	"The bottle is now full of water."
"1actions.zil"	"203"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"T"	"The water slips through your fingers."
"1actions.zil"	"209"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"It's in the bottle. Perhaps you should take that instead."
"1actions.zil"	"211"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The water slips through your fingers."
"1actions.zil"	"217"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"ELSE"	"Nice try."
"1actions.zil"	"223"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"The bottle is closed."
"1actions.zil"	"227"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	".AV"	"There is now a puddle in the bottom of the "
"1actions.zil"	"228"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	".AV"	"."
"1actions.zil"	"232"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The water spills to the floor and evaporates immediately."
"1actions.zil"	"236"	"ROUTINE"	"WATER-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The water splashes on the walls and evaporates immediately."
"1actions.zil"	"245"	"ROUTINE"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"	"ROUTINE/COND/OPEN-CLOSE"	"<VERB?"	"With great effort, you open the window far enough to allow entry."
"1actions.zil"	"246"	"ROUTINE"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"	"ROUTINE/COND/OPEN-CLOSE"	"<VERB?"	"The window closes (more easily than it opened)."
"1actions.zil"	"250"	"ROUTINE"	"KITCHEN-WINDOW-F"	"TELL"	"ROUTINE/COND/TELL"	"<AND"	"The window is slightly ajar, but not enough to allow entry."
"1actions.zil"	"258"	"ROUTINE"	"KITCHEN-WINDOW-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You can see "
"1actions.zil"	"260"	"ROUTINE"	"KITCHEN-WINDOW-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<EQUAL?"	"a clear area leading towards a forest."
"1actions.zil"	"262"	"ROUTINE"	"KITCHEN-WINDOW-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"what appears to be a kitchen."
"1actions.zil"	"266"	"ROUTINE"	"GHOSTS-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The spirits jeer loudly and ignore you."
"1actions.zil"	"269"	"ROUTINE"	"GHOSTS-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"Only the ceremony itself has any effect."
"1actions.zil"	"271"	"ROUTINE"	"GHOSTS-F"	"TELL"	"ROUTINE/COND/TELL"	"<AND"	"How can you attack a spirit with material objects?"
"1actions.zil"	"273"	"ROUTINE"	"GHOSTS-F"	"TELL"	"ROUTINE/COND/TELL"	"T"	"You seem unable to interact with these spirits."
"1actions.zil"	"287"	"ROUTINE"	"BASKET-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The basket is raised to the top of the shaft."
"1actions.zil"	"296"	"ROUTINE"	"BASKET-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The basket is lowered to the bottom of the shaft."
"1actions.zil"	"299"	"ROUTINE"	"BASKET-F"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"<AND"	"It is now pitch black."
"1actions.zil"	"303"	"ROUTINE"	"BASKET-F"	"TELL"	"ROUTINE/COND/TELL"	"<OR"	"The basket is at the other end of the chain."
"1actions.zil"	"306"	"ROUTINE"	"BASKET-F"	"TELL"	"ROUTINE/COND/TELL"	"<AND"	"The cage is securely fastened to the iron chain."
"1actions.zil"	"314"	"ROUTINE"	"BAT-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<EQUAL?"	"You can't reach him; he's on the ceiling."
"1actions.zil"	"320"	"ROUTINE"	"FLY-ME"	"TELL"	"ROUTINE/TELL"	""	"The bat grabs you by the scruff of your neck and lifts you away...."
"1actions.zil"	"329"	"ROUTINE"	"FWEEP"	"TELL"	"ROUTINE/REPEAT/COND/TELL"	"T"	"    Fweep!"
"1actions.zil"	"349"	"ROUTINE"	"BELL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"Ding, dong."
"1actions.zil"	"353"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The bell is very hot and cannot be taken."
"1actions.zil"	"356"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<FSET?"	"The "
"1actions.zil"	"356"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<FSET?"	" burns and is consumed."
"1actions.zil"	"359"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<EQUAL?"	"The bell is too hot to touch."
"1actions.zil"	"361"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The heat from the bell is too intense."
"1actions.zil"	"364"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The water cools the bell and is evaporated."
"1actions.zil"	"368"	"ROUTINE"	"HOT-BELL-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The bell is too hot to reach."
"1actions.zil"	"372"	"ROUTINE"	"BOARDED-WINDOW-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The windows are boarded and can't be opened."
"1actions.zil"	"374"	"ROUTINE"	"BOARDED-WINDOW-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You can't break the windows open."
"1actions.zil"	"379"	"ROUTINE"	"NAILS-PSEUDO"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The nails, deeply imbedded in the door, cannot be removed."
"1actions.zil"	"383"	"ROUTINE"	"CRACK-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"You can't fit through the crack."
"1actions.zil"	"388"	"ROUTINE"	"KITCHEN-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<EQUAL?"	"You are in the kitchen of the white house. A table seems to\nhave been used recently for the preparation of food. A passage\nleads to the west and a dark staircase can be seen leading\nupward. A dark chimney leads down and to the east is a small\nwindow which is "
"1actions.zil"	"394"	"ROUTINE"	"KITCHEN-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<FSET?"	"open."
"1actions.zil"	"396"	"ROUTINE"	"KITCHEN-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"slightly ajar."
"1actions.zil"	"401"	"ROUTINE"	"KITCHEN-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"There are no stairs leading down."
"1actions.zil"	"411"	"ROUTINE"	"STONE-BARROW-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<AND"	"Inside the Barrow|\nAs you enter the barrow, the door closes inexorably behind you. Around\nyou it is dark, but ahead is an enormous cavern, brightly lit. Through\nits center runs a wide stream. Spanning the stream is a small wooden\nfootbridge, and beyond a path leads into a dark tunnel. Above the\nbridge, floating in the air, is a large sign. It reads:  All ye who\nstand before this bridge have completed a great and perilous adventure\nwhich has tested your wit and courage. You have mastered"
"1actions.zil"	"420"	"ROUTINE"	"STONE-BARROW-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<EQUAL?"	"\nthe first part of the ZORK trilogy. Those who pass over this bridge must be\nprepared to undertake an even greater adventure that will severely test your\nskill and bravery!|\n|\nThe ZORK trilogy continues with ""ZORK II: The Wizard of Frobozz"" and\nis completed in ""ZORK III: The Dungeon Master."""
"1actions.zil"	"428"	"ROUTINE"	"STONE-BARROW-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"\nZORK: The Great Underground Empire.|"
"1actions.zil"	"434"	"ROUTINE"	"BARROW-DOOR-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The door is too heavy."
"1actions.zil"	"445"	"ROUTINE"	"TROPHY-CASE-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<AND"	"The trophy case is securely fastened to the wall."
"1actions.zil"	"449"	"ROUTINE"	"LIVING-ROOM-FCN"	"ROUTINE"	"ROUTINE"	"RARG"	"AUX"
"1actions.zil"	"452"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<EQUAL?"	"You are in the living room. There is a doorway to the east"
"1actions.zil"	"455"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	",MAGIC-FLAG"	". To the\nwest is a cyclops-shaped opening in an old wooden door, above which is\nsome strange gothic lettering, "
"1actions.zil"	"460"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	", a wooden\ndoor with strange gothic lettering to the west, which appears to be\nnailed shut, "
"1actions.zil"	"463"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<EQUAL?"	"a trophy case, "
"1actions.zil"	"467"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"and a rug lying beside an open trap door."
"1actions.zil"	"469"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	".RUG?"	"and a closed trap door at your feet."
"1actions.zil"	"471"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<FSET?"	"and an open trap door at your feet."
"1actions.zil"	"474"	"ROUTINE"	"LIVING-ROOM-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"and a large oriental rug in the center of the room."
"1actions.zil"	"487"	"ROUTINE"	"TOUCH-ALL"	"ROUTINE"	"ROUTINE"	"OBJ"	"AUX"
"1actions.zil"	"496"	"ROUTINE"	"OTVAL-FROB"	"ROUTINE"	"ROUTINE"	"""OPTIONAL"""	"OPTIONAL"
"1actions.zil"	"496"	"ROUTINE"	"OTVAL-FROB"	"ROUTINE"	"ROUTINE"	"""OPTIONAL"""	"AUX"
"1actions.zil"	"511"	"ROUTINE"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"	"ROUTINE/COND/OPEN-CLOSE"	"<AND"	"The door reluctantly opens to reveal a rickety staircase descending into\ndarkness."
"1actions.zil"	"513"	"ROUTINE"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"	"ROUTINE/COND/OPEN-CLOSE"	"<AND"	"The door swings shut and closes."
"1actions.zil"	"517"	"ROUTINE"	"TRAP-DOOR-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<FSET?"	"You see a rickety staircase descending into darkness."
"1actions.zil"	"518"	"ROUTINE"	"TRAP-DOOR-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"It's closed."
"1actions.zil"	"523"	"ROUTINE"	"TRAP-DOOR-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"The door is locked from above."
"1actions.zil"	"527"	"ROUTINE"	"TRAP-DOOR-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"The door closes and locks."
"1actions.zil"	"534"	"ROUTINE"	"CELLAR-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<EQUAL?"	"You are in a dark and damp cellar with a narrow passageway leading\nnorth, and a crawlway to the south. On the west is the bottom of a\nsteep metal ramp which is unclimbable."
"1actions.zil"	"543"	"ROUTINE"	"CELLAR-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"The trap door crashes shut, and you hear someone barring it."
"1actions.zil"	"547"	"ROUTINE"	"CHIMNEY-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The chimney leads "
"1actions.zil"	"549"	"ROUTINE"	"CHIMNEY-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"<==?"	"down"
"1actions.zil"	"550"	"ROUTINE"	"CHIMNEY-F"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"up"
"1actions.zil"	"551"	"ROUTINE"	"CHIMNEY-F"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"ward, and looks climbable."
"1actions.zil"	"553"	"ROUTINE"	"UP-CHIMNEY-FUNCTION"	"ROUTINE"	"ROUTINE"	"""AUX"""	"AUX"
"1actions.zil"	"555"	"ROUTINE"	"UP-CHIMNEY-FUNCTION"	"TELL"	"ROUTINE/COND/TELL"	"<NOT"	"Going up empty-handed is a bad idea."
"1actions.zil"	"564"	"ROUTINE"	"UP-CHIMNEY-FUNCTION"	"TELL"	"ROUTINE/COND/TELL"	"T"	"You can't get up there with what you're carrying."
"1actions.zil"	"572"	"ROUTINE"	"TRAP-DOOR-EXIT"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The trap door is closed."
"1actions.zil"	"576"	"ROUTINE"	"TRAP-DOOR-EXIT"	"TELL"	"ROUTINE/COND/TELL"	"T"	"You can't go that way."
"1actions.zil"	"581"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The rug is too heavy to lift"
"1actions.zil"	"583"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	",RUG-MOVED"	"."
"1actions.zil"	"586"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	", but in trying to take it you have\nnoticed an irregularity beneath it."
"1actions.zil"	"591"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	",RUG-MOVED"	"Having moved the carpet previously, you find it impossible to move\nit again."
"1actions.zil"	"595"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"With a great effort, the rug is moved to one side of the room, revealing\nthe dusty cover of a closed trap door."
"1actions.zil"	"602"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The rug is extremely heavy and cannot be carried."
"1actions.zil"	"607"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<AND"	"Underneath the rug is a closed trap door. As you drop the corner of the\nrug, the trap door is once again concealed from view."
"1actions.zil"	"613"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"As you sit, you notice an irregularity underneath it. Rather than be\nuncomfortable, you stand up again."
"1actions.zil"	"616"	"ROUTINE"	"RUG-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"ELSE"	"I suppose you think it's a magic carpet?"
"1actions.zil"	"620"	""	""	""	""	""	"SUBTITLE TROLL"
"1actions.zil"	"634"	"ROUTINE"	"WEAPON-FUNCTION"	"TELL"	"ROUTINE/COND/COND/TELL"	"<IN?"	"The "
"1actions.zil"	"634"	"ROUTINE"	"WEAPON-FUNCTION"	"TELL"	"ROUTINE/COND/COND/TELL"	"<IN?"	" swings it out of your reach."
"1actions.zil"	"637"	"ROUTINE"	"WEAPON-FUNCTION"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"The "
"1actions.zil"	"637"	"ROUTINE"	"WEAPON-FUNCTION"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	" seems white-hot. You can't hold on to it."
"1actions.zil"	"640"	"ROUTINE"	"TROLL-FCN"	"ROUTINE"	"ROUTINE"	"""OPTIONAL"""	"OPTIONAL"
"1actions.zil"	"643"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"The troll isn't much of a conversationalist."
"1actions.zil"	"651"	"ROUTINE"	"TROLL-FCN"	"PUTP"	"ROUTINE/COND/COND/PUTP"	"<AND"	"A nasty-looking troll, brandishing a bloody axe, blocks all passages out\nof the room."
"1actions.zil"	"655"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/AND/TELL"	"<AND"	"The troll, angered and humiliated, recovers his weapon. He appears to have\nan axe to grind with you."
"1actions.zil"	"660"	"ROUTINE"	"TROLL-FCN"	"PUTP"	"ROUTINE/COND/COND/PUTP"	"<IN?"	"A pathetically babbling troll is here."
"1actions.zil"	"662"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<IN?"	"The troll, disarmed, cowers in terror, pleading for his life in\nthe guttural tongue of the trolls."
"1actions.zil"	"678"	"ROUTINE"	"TROLL-FCN"	"PUTP"	"ROUTINE/COND/PUTP"	"<EQUAL?"	"An unconscious troll is sprawled on the floor. All passages\nout of the room are open."
"1actions.zil"	"685"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<IN?"	"The troll stirs, quickly resuming a fighting stance."
"1actions.zil"	"688"	"ROUTINE"	"TROLL-FCN"	"PUTP"	"ROUTINE/COND/COND/PUTP"	"<IN?"	"A nasty-looking troll, brandishing a bloody axe, blocks\nall passages out of the room."
"1actions.zil"	"695"	"ROUTINE"	"TROLL-FCN"	"PUTP"	"ROUTINE/COND/COND/PUTP"	"<IN?"	"A nasty-looking troll, brandishing a bloody axe, blocks\nall passages out of the room."
"1actions.zil"	"699"	"ROUTINE"	"TROLL-FCN"	"PUTP"	"ROUTINE/COND/COND/PUTP"	"T"	"A troll is here."
"1actions.zil"	"718"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<AND"	"The troll scratches his head in confusion, then takes the axe."
"1actions.zil"	"724"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<EQUAL?"	"You would have to get the "
"1actions.zil"	"724"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<EQUAL?"	" first, and that seems unlikely."
"1actions.zil"	"728"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<VERB?"	"The troll, who is remarkably coordinated, catches the "
"1actions.zil"	"731"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"T"	"The troll, who is not overly proud, graciously accepts the gift"
"1actions.zil"	"736"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<AND"	" and eats it hungrily. Poor troll, he dies from an internal hemorrhage\nand his carcass disappears in a sinister black fog."
"1actions.zil"	"744"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<EQUAL?"	" and, being for the moment sated, throws it back. Fortunately, the\ntroll has poor control, and the "
"1actions.zil"	"745"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"<EQUAL?"	" falls to the floor. He does\nnot look pleased."
"1actions.zil"	"750"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/COND/TELL"	"T"	" and not having the most discriminating tastes, gleefully eats it."
"1actions.zil"	"754"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"<VERB?"	"The troll spits in your face, grunting ""Better luck next time"" in a\nrather barbarous accent."
"1actions.zil"	"758"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/COND/TELL"	"<VERB?"	"The troll laughs at your puny gesture."
"1actions.zil"	"761"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"Every so often the troll says something, probably uncomplimentary, in\nhis guttural tongue."
"1actions.zil"	"764"	"ROUTINE"	"TROLL-FCN"	"TELL"	"ROUTINE/COND/COND/TELL"	"<AND"	"Unfortunately, the troll can't hear you."
"1actions.zil"	"768"	""	""	""	""	""	"SUBTITLE GRATING/MAZE"
"1actions.zil"	"779"	"ROUTINE"	"LEAVES-APPEAR"	"TELL"	"ROUTINE/COND/COND/TELL"	"<VERB?"	"In disturbing the pile of leaves, a grating is revealed."
"1actions.zil"	"781"	"ROUTINE"	"LEAVES-APPEAR"	"TELL"	"ROUTINE/COND/COND/TELL"	"T"	"With the leaves moved, a grating is revealed."
"1actions.zil"	"788"	"ROUTINE"	"LEAF-PILE"	"TELL"	"ROUTINE/COND/TELL"	"<VERB?"	"There are 69,105 leaves here."
"1actions.zil"	"794"	"ROUTINE"	"LEAF-PILE"	"TELL"	"ROUTINE/COND/COND/TELL"	"<IN?"	"The leaves burn."
