id	source_file	line	object	property	english
"object.BOTTLE.FDESC"	"1dungeon.zil"	"450"	"BOTTLE"	"FDESC"	"A bottle is sitting on the table."
"object.CRACK.DESC"	"1dungeon.zil"	"457"	"CRACK"	"DESC"	"crack"
"object.COFFIN.DESC"	"1dungeon.zil"	"465"	"COFFIN"	"DESC"	"gold coffin"
"object.COFFIN.LDESC"	"1dungeon.zil"	"468"	"COFFIN"	"LDESC"	"The solid-gold coffin used for the burial of Ramses II is here."
"object.GRATE.DESC"	"1dungeon.zil"	"477"	"GRATE"	"DESC"	"grating"
"object.PUMP.DESC"	"1dungeon.zil"	"485"	"PUMP"	"DESC"	"hand-held air pump"
"object.DIAMOND.DESC"	"1dungeon.zil"	"491"	"DIAMOND"	"DESC"	"huge diamond"
"object.DIAMOND.LDESC"	"1dungeon.zil"	"493"	"DIAMOND"	"LDESC"	"There is an enormous diamond (perfectly cut) here."
"object.JADE.DESC"	"1dungeon.zil"	"501"	"JADE"	"DESC"	"jade figurine"
"object.JADE.LDESC"	"1dungeon.zil"	"503"	"JADE"	"LDESC"	"There is an exquisite jade figurine here."
"object.KNIFE.DESC"	"1dungeon.zil"	"512"	"KNIFE"	"DESC"	"nasty knife"
"object.KNIFE.FDESC"	"1dungeon.zil"	"514"	"KNIFE"	"FDESC"	"On a table is a nasty-looking knife."
"object.BONES.DESC"	"1dungeon.zil"	"520"	"BONES"	"DESC"	"skeleton"
"object.BURNED-OUT-LANTERN.DESC"	"1dungeon.zil"	"528"	"BURNED-OUT-LANTERN"	"DESC"	"burned-out lantern"
"object.BURNED-OUT-LANTERN.FDESC"	"1dungeon.zil"	"530"	"BURNED-OUT-LANTERN"	"FDESC"	"The deceased adventurer's useless lantern is here."
"object.BAG-OF-COINS.DESC"	"1dungeon.zil"	"537"	"BAG-OF-COINS"	"DESC"	"leather bag of coins"
"object.BAG-OF-COINS.LDESC"	"1dungeon.zil"	"539"	"BAG-OF-COINS"	"LDESC"	"An old leather bag, bulging with coins, is here."
"object.LAMP.DESC"	"1dungeon.zil"	"549"	"LAMP"	"DESC"	"brass lantern"
"object.LAMP.FDESC"	"1dungeon.zil"	"552"	"LAMP"	"FDESC"	"A battery-powered brass lantern is on the trophy case."
"object.LAMP.LDESC"	"1dungeon.zil"	"553"	"LAMP"	"LDESC"	"There is a brass lantern (battery-powered) here."
"object.EMERALD.DESC"	"1dungeon.zil"	"560"	"EMERALD"	"DESC"	"large emerald"
"object.ADVERTISEMENT.DESC"	"1dungeon.zil"	"569"	"ADVERTISEMENT"	"DESC"	"leaflet"
"object.ADVERTISEMENT.LDESC"	"1dungeon.zil"	"571"	"ADVERTISEMENT"	"LDESC"	"A small leaflet is on the ground."
"object.ADVERTISEMENT.TEXT"	"1dungeon.zil"	"573"	"ADVERTISEMENT"	"TEXT"	"""WELCOME TO ZORK!|\n|\nZORK is a game of adventure, danger, and low cunning. In it you\nwill explore some of the most amazing territory ever seen by mortals.\nNo computer should be without one!"""
"object.LEAK.DESC"	"1dungeon.zil"	"583"	"LEAK"	"DESC"	"leak"
"object.MACHINE.DESC"	"1dungeon.zil"	"590"	"MACHINE"	"DESC"	"machine"
"object.INFLATED-BOAT.DESC"	"1dungeon.zil"	"598"	"INFLATED-BOAT"	"DESC"	"magic boat"
"object.MAILBOX.DESC"	"1dungeon.zil"	"609"	"MAILBOX"	"DESC"	"small mailbox"
"object.MATCH.DESC"	"1dungeon.zil"	"618"	"MATCH"	"DESC"	"matchbook"
"object.MATCH.LDESC"	"1dungeon.zil"	"622"	"MATCH"	"LDESC"	"There is a matchbook whose cover says ""Visit Beautiful FCD#3"" here."
"object.MATCH.TEXT"	"1dungeon.zil"	"625"	"MATCH"	"TEXT"	"|\n(Close cover before striking)|\n|\nYOU too can make BIG MONEY in the exciting field of PAPER SHUFFLING!|\n|\nMr. Anderson of Muddle, Mass. says: ""Before I took this course I\nwas a lowly bit twiddler. Now with what I learned at GUE Tech\nI feel really important and can obfuscate and confuse with the best.""|\n|\nDr. Blank had this to say: ""Ten short days ago all I could look\nforward to was a dead-end job as a doctor. Now I have a promising\nfuture and make really big Zorkmids.""|\n|\nGUE Tech can't promise these fantastic results to everyone. But when\nyou earn your degree from GUE Tech, your future will be brighter."
"object.MIRROR-2.DESC"	"1dungeon.zil"	"644"	"MIRROR-2"	"DESC"	"mirror"
"object.MIRROR-1.DESC"	"1dungeon.zil"	"651"	"MIRROR-1"	"DESC"	"mirror"
"object.PAINTING.DESC"	"1dungeon.zil"	"659"	"PAINTING"	"DESC"	"painting"
"object.PAINTING.FDESC"	"1dungeon.zil"	"663"	"PAINTING"	"FDESC"	"Fortunately, there is still one chance for you to be a vandal, for on\nthe far wall is a painting of unparalleled beauty."
"object.PAINTING.LDESC"	"1dungeon.zil"	"665"	"PAINTING"	"LDESC"	"A painting by a neglected genius is here."
"object.CANDLES.DESC"	"1dungeon.zil"	"674"	"CANDLES"	"DESC"	"pair of candles"
"object.CANDLES.FDESC"	"1dungeon.zil"	"677"	"CANDLES"	"FDESC"	"On the two ends of the altar are burning candles."
"object.GUNK.DESC"	"1dungeon.zil"	"683"	"GUNK"	"DESC"	"small piece of vitreous slag"
"object.BODIES.DESC"	"1dungeon.zil"	"692"	"BODIES"	"DESC"	"pile of bodies"
"object.LEAVES.DESC"	"1dungeon.zil"	"699"	"LEAVES"	"DESC"	"pile of leaves"
"object.LEAVES.LDESC"	"1dungeon.zil"	"702"	"LEAVES"	"LDESC"	"On the ground is a pile of leaves."
"object.PUNCTURED-BOAT.DESC"	"1dungeon.zil"	"708"	"PUNCTURED-BOAT"	"DESC"	"punctured boat"
"object.INFLATABLE-BOAT.DESC"	"1dungeon.zil"	"717"	"INFLATABLE-BOAT"	"DESC"	"pile of plastic"
"object.INFLATABLE-BOAT.LDESC"	"1dungeon.zil"	"721"	"INFLATABLE-BOAT"	"LDESC"	"There is a folded pile of plastic here which has a small valve\nattached."
"object.BAR.DESC"	"1dungeon.zil"	"729"	"BAR"	"DESC"	"platinum bar"
"object.BAR.LDESC"	"1dungeon.zil"	"731"	"BAR"	"LDESC"	"On the ground is a large platinum bar."
"object.POT-OF-GOLD.DESC"	"1dungeon.zil"	"740"	"POT-OF-GOLD"	"DESC"	"pot of gold"
"object.POT-OF-GOLD.FDESC"	"1dungeon.zil"	"742"	"POT-OF-GOLD"	"FDESC"	"At the end of the rainbow is a pot of gold."
"object.PRAYER.DESC"	"1dungeon.zil"	"751"	"PRAYER"	"DESC"	"prayer"
"object.PRAYER.TEXT"	"1dungeon.zil"	"754"	"PRAYER"	"TEXT"	"The prayer is inscribed in an ancient script, rarely used today. It seems\nto be a philippic against small insects, absent-mindedness, and the picking\nup and dropping of small objects. The final verse consigns trespassers to\nthe land of the dead. All evidence indicates that the beliefs of the ancient\nZorkers were obscure."
"object.RAILING.DESC"	"1dungeon.zil"	"764"	"RAILING"	"DESC"	"wooden railing"
"object.RAINBOW.DESC"	"1dungeon.zil"	"770"	"RAINBOW"	"DESC"	"rainbow"
"object.RIVER.DESC"	"1dungeon.zil"	"776"	"RIVER"	"DESC"	"river"
"object.BUOY.DESC"	"1dungeon.zil"	"786"	"BUOY"	"DESC"	"red buoy"
"object.BUOY.FDESC"	"1dungeon.zil"	"788"	"BUOY"	"FDESC"	"There is a red buoy here (probably a warning)."
"object.ROPE.DESC"	"1dungeon.zil"	"801"	"ROPE"	"DESC"	"rope"
"object.ROPE.FDESC"	"1dungeon.zil"	"804"	"ROPE"	"FDESC"	"A large coil of rope is lying in the corner."
"object.RUSTY-KNIFE.DESC"	"1dungeon.zil"	"811"	"RUSTY-KNIFE"	"DESC"	"rusty knife"
"object.RUSTY-KNIFE.FDESC"	"1dungeon.zil"	"814"	"RUSTY-KNIFE"	"FDESC"	"Beside the skeleton is a rusty knife."
"object.SAND.DESC"	"1dungeon.zil"	"820"	"SAND"	"DESC"	"sand"
"object.BRACELET.DESC"	"1dungeon.zil"	"828"	"BRACELET"	"DESC"	"sapphire-encrusted bracelet"
"object.SCREWDRIVER.DESC"	"1dungeon.zil"	"838"	"SCREWDRIVER"	"DESC"	"screwdriver"
"object.KEYS.DESC"	"1dungeon.zil"	"845"	"KEYS"	"DESC"	"skeleton key"
"object.SHOVEL.DESC"	"1dungeon.zil"	"852"	"SHOVEL"	"DESC"	"shovel"
"object.COAL.DESC"	"1dungeon.zil"	"860"	"COAL"	"DESC"	"small pile of coal"
"object.LADDER.DESC"	"1dungeon.zil"	"868"	"LADDER"	"DESC"	"wooden ladder"
"object.SCARAB.DESC"	"1dungeon.zil"	"875"	"SCARAB"	"DESC"	"beautiful jeweled scarab"
"object.LARGE-BAG.DESC"	"1dungeon.zil"	"885"	"LARGE-BAG"	"DESC"	"large bag"
"object.STILETTO.DESC"	"1dungeon.zil"	"893"	"STILETTO"	"DESC"	"stiletto"
"object.MACHINE-SWITCH.DESC"	"1dungeon.zil"	"901"	"MACHINE-SWITCH"	"DESC"	"switch"
"object.WOODEN-DOOR.DESC"	"1dungeon.zil"	"909"	"WOODEN-DOOR"	"DESC"	"wooden door"
"object.WOODEN-DOOR.TEXT"	"1dungeon.zil"	"913"	"WOODEN-DOOR"	"TEXT"	"The engravings translate to ""This space intentionally left blank."""
"object.SWORD.DESC"	"1dungeon.zil"	"919"	"SWORD"	"DESC"	"sword"
"object.SWORD.FDESC"	"1dungeon.zil"	"923"	"SWORD"	"FDESC"	"Above the trophy case hangs an elvish sword of great antiquity."
"object.MAP.DESC"	"1dungeon.zil"	"931"	"MAP"	"DESC"	"ancient map"
"object.MAP.FDESC"	"1dungeon.zil"	"934"	"MAP"	"FDESC"	"In the trophy case is an ancient parchment which appears to be a map."
"object.MAP.TEXT"	"1dungeon.zil"	"937"	"MAP"	"TEXT"	"The map shows a forest with three clearings. The largest clearing contains\na house. Three paths leave the large clearing. One of these paths, leading\nsouthwest, is marked ""To Stone Barrow""."
"object.BOAT-LABEL.DESC"	"1dungeon.zil"	"945"	"BOAT-LABEL"	"DESC"	"tan label"
"object.BOAT-LABEL.TEXT"	"1dungeon.zil"	"949"	"BOAT-LABEL"	"TEXT"	"  !!!!FROBOZZ MAGIC BOAT COMPANY!!!!|\n|\nHello, Sailor!|\n|\nInstructions for use:|\n|\n   To get into a body of water, say ""Launch"".|\n   To get to shore, say ""Land"" or the direction in which you want\nto maneuver the boat.|\n|\nWarranty:|\n|\n  This boat is guaranteed against all defects for a period of 76\nmilliseconds from date of purchase or until first used, whichever comes first.|\n|\nWarning:|\n   This boat is made of thin plastic.|\n   Good Luck!"
"object.THIEF.DESC"	"1dungeon.zil"	"972"	"THIEF"	"DESC"	"thief"
"object.THIEF.LDESC"	"1dungeon.zil"	"976"	"THIEF"	"LDESC"	"There is a suspicious-looking individual, holding a large bag, leaning\nagainst one wall. He is armed with a deadly stiletto."
"object.PEDESTAL.DESC"	"1dungeon.zil"	"984"	"PEDESTAL"	"DESC"	"pedestal"
"object.TORCH.DESC"	"1dungeon.zil"	"993"	"TORCH"	"DESC"	"torch"
"object.TORCH.FDESC"	"1dungeon.zil"	"996"	"TORCH"	"FDESC"	"Sitting on the pedestal is a flaming torch, made of ivory."
"object.GUIDE.DESC"	"1dungeon.zil"	"1005"	"GUIDE"	"DESC"	"tour guidebook"
"object.GUIDE.FDESC"	"1dungeon.zil"	"1008"	"GUIDE"	"FDESC"	"Some guidebooks entitled ""Flood Control Dam #3"" are on the reception\ndesk."
"object.GUIDE.TEXT"	"1dungeon.zil"	"1011"	"GUIDE"	"TEXT"	"""\tFlood Control Dam #3|\n|\nFCD#3 was constructed in year 783 of the Great Underground Empire to\nharness the mighty Frigid River. This work was supported by a grant of\n37 million zorkmids from your omnipotent local tyrant Lord Dimwit\nFlathead the Excessive. This impressive structure is composed of\n370,000 cubic feet of concrete, is 256 feet tall at the center, and 193\nfeet wide at the top. The lake created behind the dam has a volume\nof 1.7 billion cubic feet, an area of 12 million square feet, and a\nshore line of 36 thousand feet.|\n|\nThe construction of FCD#3 took 112 days from ground breaking to\nthe dedication. It required a work force of 384 slaves, 34 slave\ndrivers, 12 engineers, 2 turtle doves, and a partridge in a pear\ntree. The work was managed by a command team composed of 2345\nbureaucrats, 2347 secretaries (at least two of whom could type),\n12,256 paper shufflers, 52,469 rubber stampers, 245,193 red tape\nprocessors, and nearly one million dead trees.|\n|\nWe will now point out some of the more interesting features\nof FCD#3 as we conduct you on a guided tour of the facilities:|\n|\n        1) You start your tour here in the Dam Lobby. You will notice\non your right that...."
"object.TROLL.DESC"	"1dungeon.zil"	"1040"	"TROLL"	"DESC"	"troll"
"object.TROLL.LDESC"	"1dungeon.zil"	"1044"	"TROLL"	"LDESC"	"A nasty-looking troll, brandishing a bloody axe, blocks all passages\nout of the room."
"object.TRUNK.DESC"	"1dungeon.zil"	"1052"	"TRUNK"	"DESC"	"trunk of jewels"
"object.TRUNK.FDESC"	"1dungeon.zil"	"1055"	"TRUNK"	"FDESC"	"Lying half buried in the mud is an old trunk, bulging with jewels."
"object.TRUNK.LDESC"	"1dungeon.zil"	"1056"	"TRUNK"	"LDESC"	"There is an old trunk here, bulging with assorted jewels."
"object.TUBE.DESC"	"1dungeon.zil"	"1065"	"TUBE"	"DESC"	"tube"
"object.TUBE.LDESC"	"1dungeon.zil"	"1069"	"TUBE"	"LDESC"	"There is an object which looks like a tube of toothpaste here."
"object.TUBE.TEXT"	"1dungeon.zil"	"1073"	"TUBE"	"TEXT"	"---> Frobozz Magic Gunk Company <---|\n\t  All-Purpose Gunk"
"object.PUTTY.DESC"	"1dungeon.zil"	"1080"	"PUTTY"	"DESC"	"viscous material"
"object.ENGRAVINGS.DESC"	"1dungeon.zil"	"1089"	"ENGRAVINGS"	"DESC"	"wall with engravings"
"object.ENGRAVINGS.LDESC"	"1dungeon.zil"	"1091"	"ENGRAVINGS"	"LDESC"	"There are old engravings on the walls here."
"object.ENGRAVINGS.TEXT"	"1dungeon.zil"	"1093"	"ENGRAVINGS"	"TEXT"	"The engravings were incised in the living rock of the cave wall by\nan unknown hand. They depict, in symbolic form, the beliefs of the\nancient Zorkers. Skillfully interwoven with the bas reliefs are excerpts\nillustrating the major religious tenets of that time. Unfortunately, a\nlater age seems to have considered them blasphemous and just as skillfully\nexcised them."
"object.OWNERS-MANUAL.DESC"	"1dungeon.zil"	"1104"	"OWNERS-MANUAL"	"DESC"	"ZORK owner's manual"
"object.OWNERS-MANUAL.FDESC"	"1dungeon.zil"	"1106"	"OWNERS-MANUAL"	"FDESC"	"Loosely attached to a wall is a small piece of paper."
"object.OWNERS-MANUAL.TEXT"	"1dungeon.zil"	"1108"	"OWNERS-MANUAL"	"TEXT"	"Congratulations!|\n|\nYou are the privileged owner of ZORK I: The Great Underground Empire,\na self-contained and self-maintaining universe. If used and maintained\nin accordance with normal operating practices for small universes, ZORK\nwill provide many months of trouble-free operation."
"object.CLIMBABLE-CLIFF.DESC"	"1dungeon.zil"	"1119"	"CLIMBABLE-CLIFF"	"DESC"	"cliff"
"object.WHITE-CLIFF.DESC"	"1dungeon.zil"	"1127"	"WHITE-CLIFF"	"DESC"	"white cliffs"
"object.WRENCH.DESC"	"1dungeon.zil"	"1134"	"WRENCH"	"DESC"	"wrench"
"object.CONTROL-PANEL.DESC"	"1dungeon.zil"	"1142"	"CONTROL-PANEL"	"DESC"	"control panel"
"object.NEST.DESC"	"1dungeon.zil"	"1149"	"NEST"	"DESC"	"bird's nest"
"object.NEST.FDESC"	"1dungeon.zil"	"1151"	"NEST"	"FDESC"	"Beside you on the branch is a small bird's nest."
"object.EGG.DESC"	"1dungeon.zil"	"1158"	"EGG"	"DESC"	"jewel-encrusted egg"
"object.EGG.FDESC"	"1dungeon.zil"	"1165"	"EGG"	"FDESC"	"In the bird's nest is a large egg encrusted with precious jewels,\napparently scavenged by a childless songbird. The egg is covered with\nfine gold inlay, and ornamented in lapis lazuli and mother-of-pearl.\nUnlike most eggs, this one is hinged and closed with a delicate looking\nclasp. The egg appears extremely fragile."
"object.BROKEN-EGG.DESC"	"1dungeon.zil"	"1174"	"BROKEN-EGG"	"DESC"	"broken jewel-encrusted egg"
"object.BROKEN-EGG.LDESC"	"1dungeon.zil"	"1178"	"BROKEN-EGG"	"LDESC"	"There is a somewhat ruined egg here."
"object.BAUBLE.DESC"	"1dungeon.zil"	"1183"	"BAUBLE"	"DESC"	"beautiful brass bauble"
"object.CANARY.DESC"	"1dungeon.zil"	"1192"	"CANARY"	"DESC"	"golden clockwork canary"
"object.CANARY.FDESC"	"1dungeon.zil"	"1198"	"CANARY"	"FDESC"	"There is a golden clockwork canary nestled in the egg. It has ruby\neyes and a silver beak. Through a crystal window below its left\nwing you can see intricate machinery inside. It appears to have\nwound down."
"object.BROKEN-CANARY.DESC"	"1dungeon.zil"	"1207"	"BROKEN-CANARY"	"DESC"	"broken clockwork canary"
"object.BROKEN-CANARY.FDESC"	"1dungeon.zil"	"1212"	"BROKEN-CANARY"	"FDESC"	"There is a golden clockwork canary nestled in the egg. It seems to\nhave recently had a bad experience. The mountings for its jewel-like\neyes are empty, and its silver beak is crumpled. Through a cracked\ncrystal window below its left wing you can see the remains of\nintricate machinery. It is not clear what result winding it would\nhave, as the mainspring seems sprung."
"object.LOCAL-GLOBALS.FDESC"	"gglobals.zil"	"18"	"LOCAL-GLOBALS"	"FDESC"	"F"
"object.LOCAL-GLOBALS.LDESC"	"gglobals.zil"	"19"	"LOCAL-GLOBALS"	"LDESC"	"F"
"object.INTNUM.DESC"	"gglobals.zil"	"35"	"INTNUM"	"DESC"	"number"
"object.PSEUDO-OBJECT.DESC"	"gglobals.zil"	"39"	"PSEUDO-OBJECT"	"DESC"	"pseudo"
"object.IT.DESC"	"gglobals.zil"	"45"	"IT"	"DESC"	"random object"
"object.NOT-HERE-OBJECT.DESC"	"gglobals.zil"	"49"	"NOT-HERE-OBJECT"	"DESC"	"such thing"
"object.BLESSINGS.DESC"	"gglobals.zil"	"99"	"BLESSINGS"	"DESC"	"blessings"
"object.STAIRS.DESC"	"gglobals.zil"	"106"	"STAIRS"	"DESC"	"stairs"
"object.SAILOR.DESC"	"gglobals.zil"	"118"	"SAILOR"	"DESC"	"sailor"
"object.GROUND.DESC"	"gglobals.zil"	"167"	"GROUND"	"DESC"	"ground"
"object.GRUE.DESC"	"gglobals.zil"	"188"	"GRUE"	"DESC"	"lurking grue"
"object.LUNGS.DESC"	"gglobals.zil"	"211"	"LUNGS"	"DESC"	"blast of air"
"object.ME.DESC"	"gglobals.zil"	"217"	"ME"	"DESC"	"you"
"object.ADVENTURER.DESC"	"gglobals.zil"	"269"	"ADVENTURER"	"DESC"	"cretin"
"object.PATHOBJ.DESC"	"gglobals.zil"	"278"	"PATHOBJ"	"DESC"	"passage"
"object.ZORKMID.DESC"	"gglobals.zil"	"293"	"ZORKMID"	"DESC"	"zorkmid"
"object.HANDS.DESC"	"gglobals.zil"	"308"	"HANDS"	"DESC"	"pair of hands"
