id	source_file	line	room	property	english
"room.FOREST-3.UP"	"1dungeon.zil"	"1353"	"FOREST-3"	"UP"	"There is no tree here suitable for climbing."
"room.FOREST-3.EAST"	"1dungeon.zil"	"1355"	"FOREST-3"	"EAST"	"The rank undergrowth prevents eastward movement."
"room.FOREST-3.SOUTH"	"1dungeon.zil"	"1356"	"FOREST-3"	"SOUTH"	"Storm-tossed trees block your way."
"room.PATH.LDESC"	"1dungeon.zil"	"1366"	"PATH"	"LDESC"	"This is a path winding through a dimly lit forest. The path heads\nnorth-south here. One particularly large tree with some low branches\nstands at the edge of the path."
"room.PATH.DESC"	"1dungeon.zil"	"1369"	"PATH"	"DESC"	"Forest Path"
"room.UP-A-TREE.DESC"	"1dungeon.zil"	"1381"	"UP-A-TREE"	"DESC"	"Up a Tree"
"room.UP-A-TREE.UP"	"1dungeon.zil"	"1383"	"UP-A-TREE"	"UP"	"You cannot climb any higher."
"room.GRATING-CLEARING.DESC"	"1dungeon.zil"	"1390"	"GRATING-CLEARING"	"DESC"	"Clearing"
"room.GRATING-CLEARING.NORTH"	"1dungeon.zil"	"1391"	"GRATING-CLEARING"	"NORTH"	"The forest becomes impenetrable to the north."
"room.CLEARING.LDESC"	"1dungeon.zil"	"1413"	"CLEARING"	"LDESC"	"You are in a small clearing in a well marked forest path that\nextends to the east and west."
"room.CLEARING.DESC"	"1dungeon.zil"	"1415"	"CLEARING"	"DESC"	"Clearing"
"room.CLEARING.UP"	"1dungeon.zil"	"1416"	"CLEARING"	"UP"	"There is no tree here suitable for climbing."
"room.KITCHEN.DESC"	"1dungeon.zil"	"1431"	"KITCHEN"	"DESC"	"Kitchen"
"room.KITCHEN.DOWN"	"1dungeon.zil"	"1437"	"KITCHEN"	"DOWN"	"Only Santa Claus climbs down chimneys."
"room.ATTIC.LDESC"	"1dungeon.zil"	"1445"	"ATTIC"	"LDESC"	"This is the attic. The only exit is a stairway leading down."
"room.ATTIC.DESC"	"1dungeon.zil"	"1446"	"ATTIC"	"DESC"	"Attic"
"room.LIVING-ROOM.DESC"	"1dungeon.zil"	"1453"	"LIVING-ROOM"	"DESC"	"Living Room"
"room.LIVING-ROOM.WEST"	"1dungeon.zil"	"1455"	"LIVING-ROOM"	"WEST"	"The door is nailed shut."
"room.CELLAR.DESC"	"1dungeon.zil"	"1468"	"CELLAR"	"DESC"	"Cellar"
"room.CELLAR.WEST"	"1dungeon.zil"	"1473"	"CELLAR"	"WEST"	"You try to ascend the ramp, but it is impossible, and you slide back down."
"room.TROLL-ROOM.LDESC"	"1dungeon.zil"	"1482"	"TROLL-ROOM"	"LDESC"	"This is a small room with passages to the east and south and a\nforbidding hole leading west. Bloodstains and deep scratches\n(perhaps made by an axe) mar the walls."
"room.TROLL-ROOM.DESC"	"1dungeon.zil"	"1485"	"TROLL-ROOM"	"DESC"	"The Troll Room"
"room.TROLL-ROOM.EAST"	"1dungeon.zil"	"1488"	"TROLL-ROOM"	"EAST"	"The troll fends you off with a menacing gesture."
"room.TROLL-ROOM.WEST"	"1dungeon.zil"	"1490"	"TROLL-ROOM"	"WEST"	"The troll fends you off with a menacing gesture."
"room.EAST-OF-CHASM.LDESC"	"1dungeon.zil"	"1497"	"EAST-OF-CHASM"	"LDESC"	"You are on the east edge of a chasm, the bottom of which cannot be\nseen. A narrow passage goes north, and the path you are on continues\nto the east."
"room.EAST-OF-CHASM.DESC"	"1dungeon.zil"	"1500"	"EAST-OF-CHASM"	"DESC"	"East of Chasm"
"room.EAST-OF-CHASM.DOWN"	"1dungeon.zil"	"1503"	"EAST-OF-CHASM"	"DOWN"	"The chasm probably leads straight to the infernal regions."
"room.GALLERY.LDESC"	"1dungeon.zil"	"1510"	"GALLERY"	"LDESC"	"This is an art gallery. Most of the paintings have been stolen by\nvandals with exceptional taste. The vandals left through either the\nnorth or west exits."
"room.GALLERY.DESC"	"1dungeon.zil"	"1513"	"GALLERY"	"DESC"	"Gallery"
"room.STUDIO.LDESC"	"1dungeon.zil"	"1521"	"STUDIO"	"LDESC"	"This appears to have been an artist's studio. The walls and floors are\nsplattered with paints of 69 different colors. Strangely enough, nothing\nof value is hanging here. At the south end of the room is an open door\n(also covered with paint). A dark and narrow chimney leads up from a\nfireplace; although you might be able to get up it, it seems unlikely\nyou could get back down."
"room.STUDIO.DESC"	"1dungeon.zil"	"1527"	"STUDIO"	"DESC"	"Studio"
"room.MAZE-1.LDESC"	"1dungeon.zil"	"1540"	"MAZE-1"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-1.DESC"	"1dungeon.zil"	"1541"	"MAZE-1"	"DESC"	"Maze"
"room.MAZE-2.LDESC"	"1dungeon.zil"	"1550"	"MAZE-2"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-2.DESC"	"1dungeon.zil"	"1551"	"MAZE-2"	"DESC"	"Maze"
"room.MAZE-3.LDESC"	"1dungeon.zil"	"1559"	"MAZE-3"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-3.DESC"	"1dungeon.zil"	"1560"	"MAZE-3"	"DESC"	"Maze"
"room.MAZE-4.LDESC"	"1dungeon.zil"	"1568"	"MAZE-4"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-4.DESC"	"1dungeon.zil"	"1569"	"MAZE-4"	"DESC"	"Maze"
"room.DEAD-END-1.DESC"	"1dungeon.zil"	"1577"	"DEAD-END-1"	"DESC"	"Dead End"
"room.DEAD-END-1.LDESC"	"1dungeon.zil"	"1578"	"DEAD-END-1"	"LDESC"	"You have come to a dead end in the maze."
"room.MAZE-5.LDESC"	"1dungeon.zil"	"1584"	"MAZE-5"	"LDESC"	"This is part of a maze of twisty little passages, all alike.\nA skeleton, probably the remains of a luckless adventurer, lies here."
"room.MAZE-5.DESC"	"1dungeon.zil"	"1586"	"MAZE-5"	"DESC"	"Maze"
"room.DEAD-END-2.DESC"	"1dungeon.zil"	"1594"	"DEAD-END-2"	"DESC"	"Dead End"
"room.DEAD-END-2.LDESC"	"1dungeon.zil"	"1595"	"DEAD-END-2"	"LDESC"	"You have come to a dead end in the maze."
"room.MAZE-6.LDESC"	"1dungeon.zil"	"1601"	"MAZE-6"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-6.DESC"	"1dungeon.zil"	"1602"	"MAZE-6"	"DESC"	"Maze"
"room.MAZE-7.LDESC"	"1dungeon.zil"	"1611"	"MAZE-7"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-7.DESC"	"1dungeon.zil"	"1612"	"MAZE-7"	"DESC"	"Maze"
"room.MAZE-8.LDESC"	"1dungeon.zil"	"1622"	"MAZE-8"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-8.DESC"	"1dungeon.zil"	"1623"	"MAZE-8"	"DESC"	"Maze"
"room.DEAD-END-3.DESC"	"1dungeon.zil"	"1631"	"DEAD-END-3"	"DESC"	"Dead End"
"room.DEAD-END-3.LDESC"	"1dungeon.zil"	"1632"	"DEAD-END-3"	"LDESC"	"You have come to a dead end in the maze."
"room.MAZE-9.LDESC"	"1dungeon.zil"	"1638"	"MAZE-9"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-9.DESC"	"1dungeon.zil"	"1639"	"MAZE-9"	"DESC"	"Maze"
"room.MAZE-10.LDESC"	"1dungeon.zil"	"1650"	"MAZE-10"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-10.DESC"	"1dungeon.zil"	"1651"	"MAZE-10"	"DESC"	"Maze"
"room.MAZE-11.LDESC"	"1dungeon.zil"	"1659"	"MAZE-11"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-11.DESC"	"1dungeon.zil"	"1660"	"MAZE-11"	"DESC"	"Maze"
"room.GRATING-ROOM.DESC"	"1dungeon.zil"	"1669"	"GRATING-ROOM"	"DESC"	"Grating Room"
"room.GRATING-ROOM.UP"	"1dungeon.zil"	"1672"	"GRATING-ROOM"	"UP"	"The grating is closed."
"room.MAZE-12.LDESC"	"1dungeon.zil"	"1679"	"MAZE-12"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-12.DESC"	"1dungeon.zil"	"1680"	"MAZE-12"	"DESC"	"Maze"
"room.DEAD-END-4.DESC"	"1dungeon.zil"	"1690"	"DEAD-END-4"	"DESC"	"Dead End"
"room.DEAD-END-4.LDESC"	"1dungeon.zil"	"1691"	"DEAD-END-4"	"LDESC"	"You have come to a dead end in the maze."
"room.MAZE-13.LDESC"	"1dungeon.zil"	"1697"	"MAZE-13"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-13.DESC"	"1dungeon.zil"	"1698"	"MAZE-13"	"DESC"	"Maze"
"room.MAZE-14.LDESC"	"1dungeon.zil"	"1707"	"MAZE-14"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-14.DESC"	"1dungeon.zil"	"1708"	"MAZE-14"	"DESC"	"Maze"
"room.MAZE-15.LDESC"	"1dungeon.zil"	"1717"	"MAZE-15"	"LDESC"	"This is part of a maze of twisty little passages, all alike."
"room.MAZE-15.DESC"	"1dungeon.zil"	"1718"	"MAZE-15"	"DESC"	"Maze"
"room.CYCLOPS-ROOM.DESC"	"1dungeon.zil"	"1730"	"CYCLOPS-ROOM"	"DESC"	"Cyclops Room"
"room.CYCLOPS-ROOM.EAST"	"1dungeon.zil"	"1733"	"CYCLOPS-ROOM"	"EAST"	"The east wall is solid rock."
"room.CYCLOPS-ROOM.UP"	"1dungeon.zil"	"1735"	"CYCLOPS-ROOM"	"UP"	"The cyclops doesn't look like he'll let you past."
"room.STRANGE-PASSAGE.LDESC"	"1dungeon.zil"	"1743"	"STRANGE-PASSAGE"	"LDESC"	"This is a long passage. To the west is one entrance. On the\neast there is an old wooden door, with a large opening in it (about\ncyclops sized)."
"room.STRANGE-PASSAGE.DESC"	"1dungeon.zil"	"1746"	"STRANGE-PASSAGE"	"DESC"	"Strange Passage"
"room.TREASURE-ROOM.LDESC"	"1dungeon.zil"	"1755"	"TREASURE-ROOM"	"LDESC"	"This is a large room, whose east wall is solid granite. A number\nof discarded bags, which crumble at your touch, are scattered about\non the floor. There is an exit down a staircase."
"room.TREASURE-ROOM.DESC"	"1dungeon.zil"	"1758"	"TREASURE-ROOM"	"DESC"	"Treasure Room"
"room.RESERVOIR-SOUTH.DESC"	"1dungeon.zil"	"1771"	"RESERVOIR-SOUTH"	"DESC"	"Reservoir South"
"room.RESERVOIR-SOUTH.NORTH"	"1dungeon.zil"	"1777"	"RESERVOIR-SOUTH"	"NORTH"	"You would drown."
"room.RESERVOIR.DESC"	"1dungeon.zil"	"1785"	"RESERVOIR"	"DESC"	"Reservoir"
"room.RESERVOIR.DOWN"	"1dungeon.zil"	"1790"	"RESERVOIR"	"DOWN"	"The dam blocks your way."
"room.RESERVOIR-NORTH.DESC"	"1dungeon.zil"	"1798"	"RESERVOIR-NORTH"	"DESC"	"Reservoir North"
"room.RESERVOIR-NORTH.SOUTH"	"1dungeon.zil"	"1801"	"RESERVOIR-NORTH"	"SOUTH"	"You would drown."
"room.STREAM-VIEW.LDESC"	"1dungeon.zil"	"1810"	"STREAM-VIEW"	"LDESC"	"You are standing on a path beside a gently flowing stream. The path\nfollows the stream, which flows from west to east."
"room.STREAM-VIEW.DESC"	"1dungeon.zil"	"1812"	"STREAM-VIEW"	"DESC"	"Stream View"
"room.STREAM-VIEW.WEST"	"1dungeon.zil"	"1814"	"STREAM-VIEW"	"WEST"	"The stream emerges from a spot too small for you to enter."
"room.IN-STREAM.LDESC"	"1dungeon.zil"	"1822"	"IN-STREAM"	"LDESC"	"You are on the gently flowing stream. The upstream route is too narrow\nto navigate, and the downstream route is invisible due to twisting\nwalls. There is a narrow beach to land on."
"room.IN-STREAM.DESC"	"1dungeon.zil"	"1825"	"IN-STREAM"	"DESC"	"Stream"
"room.IN-STREAM.UP"	"1dungeon.zil"	"1826"	"IN-STREAM"	"UP"	"The channel is too narrow."
"room.IN-STREAM.WEST"	"1dungeon.zil"	"1827"	"IN-STREAM"	"WEST"	"The channel is too narrow."
"room.MIRROR-ROOM-1.DESC"	"1dungeon.zil"	"1841"	"MIRROR-ROOM-1"	"DESC"	"Mirror Room"
"room.MIRROR-ROOM-2.DESC"	"1dungeon.zil"	"1850"	"MIRROR-ROOM-2"	"DESC"	"Mirror Room"
"room.SMALL-CAVE.LDESC"	"1dungeon.zil"	"1860"	"SMALL-CAVE"	"LDESC"	"This is a tiny cave with entrances west and north, and a staircase\nleading down."
"room.SMALL-CAVE.DESC"	"1dungeon.zil"	"1862"	"SMALL-CAVE"	"DESC"	"Cave"
"room.TINY-CAVE.LDESC"	"1dungeon.zil"	"1873"	"TINY-CAVE"	"LDESC"	"This is a tiny cave with entrances west and north, and a dark,\nforbidding staircase leading down."
"room.TINY-CAVE.DESC"	"1dungeon.zil"	"1875"	"TINY-CAVE"	"DESC"	"Cave"
"room.COLD-PASSAGE.LDESC"	"1dungeon.zil"	"1886"	"COLD-PASSAGE"	"LDESC"	"This is a cold and damp corridor where a long east-west passageway\nturns into a southward path."
"room.COLD-PASSAGE.DESC"	"1dungeon.zil"	"1888"	"COLD-PASSAGE"	"DESC"	"Cold Passage"
"room.NARROW-PASSAGE.LDESC"	"1dungeon.zil"	"1896"	"NARROW-PASSAGE"	"LDESC"	"This is a long and narrow corridor where a long north-south passageway\nbriefly narrows even further."
"room.NARROW-PASSAGE.DESC"	"1dungeon.zil"	"1898"	"NARROW-PASSAGE"	"DESC"	"Narrow Passage"
"room.WINDING-PASSAGE.LDESC"	"1dungeon.zil"	"1906"	"WINDING-PASSAGE"	"LDESC"	"This is a winding passage. It seems that there are only exits\non the east and north."
"room.WINDING-PASSAGE.DESC"	"1dungeon.zil"	"1908"	"WINDING-PASSAGE"	"DESC"	"Winding Passage"
"room.TWISTING-PASSAGE.LDESC"	"1dungeon.zil"	"1916"	"TWISTING-PASSAGE"	"LDESC"	"This is a winding passage. It seems that there are only exits\non the east and north."
"room.TWISTING-PASSAGE.DESC"	"1dungeon.zil"	"1918"	"TWISTING-PASSAGE"	"DESC"	"Twisting Passage"
"room.ATLANTIS-ROOM.LDESC"	"1dungeon.zil"	"1926"	"ATLANTIS-ROOM"	"LDESC"	"This is an ancient room, long under water. There is an exit to\nthe south and a staircase leading up."
"room.ATLANTIS-ROOM.DESC"	"1dungeon.zil"	"1928"	"ATLANTIS-ROOM"	"DESC"	"Atlantis Room"
"room.EW-PASSAGE.LDESC"	"1dungeon.zil"	"1941"	"EW-PASSAGE"	"LDESC"	"This is a narrow east-west passageway. There is a narrow stairway\nleading down at the north end of the room."
"room.EW-PASSAGE.DESC"	"1dungeon.zil"	"1943"	"EW-PASSAGE"	"DESC"	"East-West Passage"
"room.ROUND-ROOM.LDESC"	"1dungeon.zil"	"1955"	"ROUND-ROOM"	"LDESC"	"This is a circular stone room with passages in all directions. Several\nof them have unfortunately been blocked by cave-ins."
"room.ROUND-ROOM.DESC"	"1dungeon.zil"	"1957"	"ROUND-ROOM"	"DESC"	"Round Room"
"room.DEEP-CANYON.DESC"	"1dungeon.zil"	"1967"	"DEEP-CANYON"	"DESC"	"Deep Canyon"
"room.DAMP-CAVE.LDESC"	"1dungeon.zil"	"1979"	"DAMP-CAVE"	"LDESC"	"This cave has exits to the west and east, and narrows to a crack toward\nthe south. The earth is particularly damp here."
"room.DAMP-CAVE.DESC"	"1dungeon.zil"	"1981"	"DAMP-CAVE"	"DESC"	"Damp Cave"
"room.DAMP-CAVE.SOUTH"	"1dungeon.zil"	"1984"	"DAMP-CAVE"	"SOUTH"	"It is too narrow for most insects."
"room.LOUD-ROOM.DESC"	"1dungeon.zil"	"1990"	"LOUD-ROOM"	"DESC"	"Loud Room"
"room.NS-PASSAGE.LDESC"	"1dungeon.zil"	"2001"	"NS-PASSAGE"	"LDESC"	"This is a high north-south passage, which forks to the northeast."
"room.NS-PASSAGE.DESC"	"1dungeon.zil"	"2002"	"NS-PASSAGE"	"DESC"	"North-South Passage"
"room.CHASM-ROOM.LDESC"	"1dungeon.zil"	"2011"	"CHASM-ROOM"	"LDESC"	"A chasm runs southwest to northeast and the path follows it. You are\non the south side of the chasm, where a crack opens into a passage."
"room.CHASM-ROOM.DESC"	"1dungeon.zil"	"2013"	"CHASM-ROOM"	"DESC"	"Chasm"
"room.CHASM-ROOM.DOWN"	"1dungeon.zil"	"2018"	"CHASM-ROOM"	"DOWN"	"Are you out of your mind?"
"room.ENTRANCE-TO-HADES.DESC"	"1dungeon.zil"	"2029"	"ENTRANCE-TO-HADES"	"DESC"	"Entrance to Hades"
"room.ENTRANCE-TO-HADES.IN"	"1dungeon.zil"	"2032"	"ENTRANCE-TO-HADES"	"IN"	"Some invisible force prevents you from passing through the gate."
"room.ENTRANCE-TO-HADES.SOUTH"	"1dungeon.zil"	"2034"	"ENTRANCE-TO-HADES"	"SOUTH"	"Some invisible force prevents you from passing through the gate."
"room.LAND-OF-LIVING-DEAD.LDESC"	"1dungeon.zil"	"2043"	"LAND-OF-LIVING-DEAD"	"LDESC"	"You have entered the Land of the Living Dead. Thousands of lost souls\ncan be heard weeping and moaning. In the corner are stacked the remains\nof dozens of previous adventurers less fortunate than yourself.\nA passage exits to the north."
"room.LAND-OF-LIVING-DEAD.DESC"	"1dungeon.zil"	"2047"	"LAND-OF-LIVING-DEAD"	"DESC"	"Land of the Dead"
"room.ENGRAVINGS-CAVE.LDESC"	"1dungeon.zil"	"2060"	"ENGRAVINGS-CAVE"	"LDESC"	"You have entered a low cave with passages leading northwest and east."
"room.ENGRAVINGS-CAVE.DESC"	"1dungeon.zil"	"2061"	"ENGRAVINGS-CAVE"	"DESC"	"Engravings Cave"
"room.EGYPT-ROOM.LDESC"	"1dungeon.zil"	"2069"	"EGYPT-ROOM"	"LDESC"	"This is a room which looks like an Egyptian tomb. There is an\nascending staircase to the west."
"room.EGYPT-ROOM.DESC"	"1dungeon.zil"	"2071"	"EGYPT-ROOM"	"DESC"	"Egyptian Room"
"room.DOME-ROOM.DESC"	"1dungeon.zil"	"2079"	"DOME-ROOM"	"DESC"	"Dome Room"
"room.DOME-ROOM.DOWN"	"1dungeon.zil"	"2082"	"DOME-ROOM"	"DOWN"	"You cannot go down without fracturing many bones."
"room.TORCH-ROOM.DESC"	"1dungeon.zil"	"2089"	"TORCH-ROOM"	"DESC"	"Torch Room"
"room.TORCH-ROOM.UP"	"1dungeon.zil"	"2090"	"TORCH-ROOM"	"UP"	"You cannot reach the rope."
"room.NORTH-TEMPLE.LDESC"	"1dungeon.zil"	"2101"	"NORTH-TEMPLE"	"LDESC"	"This is the north end of a large temple. On the east wall is an\nancient inscription, probably a prayer in a long-forgotten language.\nBelow the prayer is a staircase leading down. The west wall is solid\ngranite. The exit to the north end of the room is through huge\nmarble pillars."
"room.NORTH-TEMPLE.DESC"	"1dungeon.zil"	"2106"	"NORTH-TEMPLE"	"DESC"	"Temple"
"room.SOUTH-TEMPLE.LDESC"	"1dungeon.zil"	"2120"	"SOUTH-TEMPLE"	"LDESC"	"This is the south end of a large temple. In front of you is what\nappears to be an altar. In one corner is a small hole in the floor\nwhich leads into darkness. You probably could not get back up it."
"room.SOUTH-TEMPLE.DESC"	"1dungeon.zil"	"2123"	"SOUTH-TEMPLE"	"DESC"	"Altar"
"room.SOUTH-TEMPLE.DOWN"	"1dungeon.zil"	"2127"	"SOUTH-TEMPLE"	"DOWN"	"You haven't a prayer of getting the coffin down there."
"room.DAM-ROOM.DESC"	"1dungeon.zil"	"2137"	"DAM-ROOM"	"DESC"	"Dam"
"room.DAM-LOBBY.LDESC"	"1dungeon.zil"	"2150"	"DAM-LOBBY"	"LDESC"	"This room appears to have been the waiting room for groups touring\nthe dam. There are open doorways here to the north and east marked\n""Private"", and there is a path leading south over the top of the dam."
"room.DAM-LOBBY.DESC"	"1dungeon.zil"	"2153"	"DAM-LOBBY"	"DESC"	"Dam Lobby"
"room.MAINTENANCE-ROOM.LDESC"	"1dungeon.zil"	"2162"	"MAINTENANCE-ROOM"	"LDESC"	"This is what appears to have been the maintenance room for Flood\nControl Dam #3. Apparently, this room has been ransacked recently, for\nmost of the valuable equipment is gone. On the wall in front of you is a\ngroup of buttons colored blue, yellow, brown, and red. There are doorways to\nthe west and south."
"room.MAINTENANCE-ROOM.DESC"	"1dungeon.zil"	"2167"	"MAINTENANCE-ROOM"	"DESC"	"Maintenance Room"
"room.DAM-BASE.LDESC"	"1dungeon.zil"	"2179"	"DAM-BASE"	"LDESC"	"You are at the base of Flood Control Dam #3, which looms above you\nand to the north. The river Frigid is flowing by here. Along the\nriver are the White Cliffs which seem to form giant walls stretching\nfrom north to south along the shores of the river as it winds its\nway downstream."
"room.DAM-BASE.DESC"	"1dungeon.zil"	"2184"	"DAM-BASE"	"DESC"	"Dam Base"
"room.RIVER-1.LDESC"	"1dungeon.zil"	"2193"	"RIVER-1"	"LDESC"	"You are on the Frigid River in the vicinity of the Dam. The river\nflows quietly here. There is a landing on the west shore."
"room.RIVER-1.DESC"	"1dungeon.zil"	"2195"	"RIVER-1"	"DESC"	"Frigid River"
"room.RIVER-1.UP"	"1dungeon.zil"	"2196"	"RIVER-1"	"UP"	"You cannot go upstream due to strong currents."
"room.RIVER-1.EAST"	"1dungeon.zil"	"2200"	"RIVER-1"	"EAST"	"The White Cliffs prevent your landing here."
"room.RIVER-2.LDESC"	"1dungeon.zil"	"2207"	"RIVER-2"	"LDESC"	"The river turns a corner here making it impossible to see the\nDam. The White Cliffs loom on the east bank and large rocks prevent\nlanding on the west."
"room.RIVER-2.DESC"	"1dungeon.zil"	"2210"	"RIVER-2"	"DESC"	"Frigid River"
"room.RIVER-2.UP"	"1dungeon.zil"	"2211"	"RIVER-2"	"UP"	"You cannot go upstream due to strong currents."
"room.RIVER-2.LAND"	"1dungeon.zil"	"2213"	"RIVER-2"	"LAND"	"There is no safe landing spot here."
"room.RIVER-2.EAST"	"1dungeon.zil"	"2214"	"RIVER-2"	"EAST"	"The White Cliffs prevent your landing here."
"room.RIVER-2.WEST"	"1dungeon.zil"	"2215"	"RIVER-2"	"WEST"	"Just in time you steer away from the rocks."
"room.RIVER-3.LDESC"	"1dungeon.zil"	"2222"	"RIVER-3"	"LDESC"	"The river descends here into a valley. There is a narrow beach on the\nwest shore below the cliffs. In the distance a faint rumbling can be\nheard."
"room.RIVER-3.DESC"	"1dungeon.zil"	"2225"	"RIVER-3"	"DESC"	"Frigid River"
"room.RIVER-3.UP"	"1dungeon.zil"	"2226"	"RIVER-3"	"UP"	"You cannot go upstream due to strong currents."
"room.WHITE-CLIFFS-NORTH.LDESC"	"1dungeon.zil"	"2236"	"WHITE-CLIFFS-NORTH"	"LDESC"	"You are on a narrow strip of beach which runs along the base of the\nWhite Cliffs. There is a narrow path heading south along the Cliffs\nand a tight passage leading west into the cliffs themselves."
"room.WHITE-CLIFFS-NORTH.DESC"	"1dungeon.zil"	"2239"	"WHITE-CLIFFS-NORTH"	"DESC"	"White Cliffs Beach"
"room.WHITE-CLIFFS-NORTH.SOUTH"	"1dungeon.zil"	"2240"	"WHITE-CLIFFS-NORTH"	"SOUTH"	"The path is too narrow."
"room.WHITE-CLIFFS-NORTH.WEST"	"1dungeon.zil"	"2241"	"WHITE-CLIFFS-NORTH"	"WEST"	"The path is too narrow."
"room.WHITE-CLIFFS-SOUTH.LDESC"	"1dungeon.zil"	"2249"	"WHITE-CLIFFS-SOUTH"	"LDESC"	"You are on a rocky, narrow strip of beach beside the Cliffs. A\nnarrow path leads north along the shore."
"room.WHITE-CLIFFS-SOUTH.DESC"	"1dungeon.zil"	"2251"	"WHITE-CLIFFS-SOUTH"	"DESC"	"White Cliffs Beach"
"room.WHITE-CLIFFS-SOUTH.NORTH"	"1dungeon.zil"	"2253"	"WHITE-CLIFFS-SOUTH"	"NORTH"	"The path is too narrow."
"room.RIVER-4.LDESC"	"1dungeon.zil"	"2261"	"RIVER-4"	"LDESC"	"The river is running faster here and the sound ahead appears to be\nthat of rushing water. On the east shore is a sandy beach. A small\narea of beach can also be seen below the cliffs on the west shore."
"room.RIVER-4.DESC"	"1dungeon.zil"	"2264"	"RIVER-4"	"DESC"	"Frigid River"
