id	source_file	line	verb	english_pattern	handler	synonyms
"command.BURN.02"	"gsyntax.zil"	"122"	"BURN"	"BURN DOWN OBJECT (FIND BURNBIT) (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT (FIND FLAMEBIT) (HELD CARRIED ON-GROUND IN-ROOM HAVE)"	"V-BURN PRE-BURN"	"IGNITE INCINERATE"
"command.CHOMP.01"	"gsyntax.zil"	"127"	"CHOMP"	"CHOMP"	"V-CHOMP"	"BARF LOSE"
"command.CLIMB.01"	"gsyntax.zil"	"130"	"CLIMB"	"CLIMB UP OBJECT (FIND RMUNGBIT)"	"V-CLIMB-UP"	"SIT"
"command.CLIMB.02"	"gsyntax.zil"	"131"	"CLIMB"	"CLIMB UP OBJECT (FIND CLIMBBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-UP"	"SIT"
"command.CLIMB.03"	"gsyntax.zil"	"132"	"CLIMB"	"CLIMB DOWN OBJECT (FIND RMUNGBIT)"	"V-CLIMB-DOWN"	"SIT"
"command.CLIMB.04"	"gsyntax.zil"	"133"	"CLIMB"	"CLIMB DOWN OBJECT (FIND CLIMBBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-DOWN"	"SIT"
"command.CLIMB.05"	"gsyntax.zil"	"134"	"CLIMB"	"CLIMB OBJECT (FIND CLIMBBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-FOO"	"SIT"
"command.CLIMB.06"	"gsyntax.zil"	"135"	"CLIMB"	"CLIMB IN OBJECT (FIND VEHBIT) (ON-GROUND IN-ROOM)"	"V-BOARD PRE-BOARD"	"SIT"
"command.CLIMB.07"	"gsyntax.zil"	"136"	"CLIMB"	"CLIMB ON OBJECT (FIND VEHBIT) (ON-GROUND IN-ROOM)"	"V-CLIMB-ON"	"SIT"
"command.CLIMB.08"	"gsyntax.zil"	"137"	"CLIMB"	"CLIMB WITH OBJECT"	"V-THROUGH"	"SIT"
"command.CLOSE.01"	"gsyntax.zil"	"140"	"CLOSE"	"CLOSE OBJECT (FIND DOORBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-CLOSE"	""
"command.COMMAND.01"	"gsyntax.zil"	"142"	"COMMAND"	"COMMAND OBJECT (FIND ACTORBIT)"	"V-COMMAND"	""
"command.COUNT.01"	"gsyntax.zil"	"144"	"COUNT"	"COUNT OBJECT"	"V-COUNT"	""
"command.CROSS.01"	"gsyntax.zil"	"146"	"CROSS"	"CROSS OBJECT"	"V-CROSS"	"FORD"
"command.CUT.01"	"gsyntax.zil"	"149"	"CUT"	"CUT OBJECT WITH OBJECT (FIND WEAPONBIT) (CARRIED HELD)"	"V-CUT"	"PIERCE SLICE"
"command.CURSE.01"	"gsyntax.zil"	"152"	"CURSE"	"CURSE"	"V-CURSES"	"DAMN FUCK SHIT"
"command.CURSE.02"	"gsyntax.zil"	"153"	"CURSE"	"CURSE OBJECT (FIND ACTORBIT)"	"V-CURSES"	"DAMN FUCK SHIT"
"command.DEFLATE.01"	"gsyntax.zil"	"156"	"DEFLATE"	"DEFLATE OBJECT"	"V-DEFLATE"	""
"command.DESTROY.01"	"gsyntax.zil"	"158"	"DESTROY"	"DESTROY OBJECT (ON-GROUND IN-ROOM HELD CARRIED) WITH OBJECT (HELD CARRIED TAKE)"	"V-MUNG PRE-MUNG"	"BLOCK BREAK DAMAGE SMASH"
"command.DESTROY.02"	"gsyntax.zil"	"160"	"DESTROY"	"DESTROY DOWN OBJECT (ON-GROUND IN-ROOM HELD CARRIED) WITH OBJECT (HELD CARRIED TAKE)"	"V-MUNG PRE-MUNG"	"BLOCK BREAK DAMAGE SMASH"
"command.DESTROY.03"	"gsyntax.zil"	"162"	"DESTROY"	"DESTROY IN OBJECT (ON-GROUND IN-ROOM HELD CARRIED)"	"V-OPEN"	"BLOCK BREAK DAMAGE SMASH"
"command.DIG.01"	"gsyntax.zil"	"165"	"DIG"	"DIG IN OBJECT (ON-GROUND IN-ROOM)"	"V-DIG"	""
"command.DIG.02"	"gsyntax.zil"	"166"	"DIG"	"DIG IN OBJECT (ON-GROUND IN-ROOM) WITH OBJECT (FIND TOOLBIT) (HELD CARRIED HAVE)"	"V-DIG"	""
"command.DIG.03"	"gsyntax.zil"	"168"	"DIG"	"DIG OBJECT (ON-GROUND IN-ROOM) WITH OBJECT (FIND TOOLBIT) (HELD CARRIED HAVE)"	"V-DIG"	""
"command.DISEMBARK.01"	"gsyntax.zil"	"171"	"DISEMBARK"	"DISEMBARK OBJECT (FIND VEHBIT) (ON-GROUND IN-ROOM)"	"V-DISEMBARK"	""
"command.DISENCHANT.01"	"gsyntax.zil"	"174"	"DISENCHANT"	"DISENCHANT OBJECT"	"V-DISENCHANT"	""
"command.DRINK.01"	"gsyntax.zil"	"176"	"DRINK"	"DRINK OBJECT (FIND DRINKBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-DRINK"	"IMBIBE SWALLOW"
"command.DRINK.02"	"gsyntax.zil"	"178"	"DRINK"	"DRINK FROM OBJECT (HELD CARRIED)"	"V-DRINK-FROM"	"IMBIBE SWALLOW"
"command.DROP.01"	"gsyntax.zil"	"181"	"DROP"	"DROP OBJECT (HELD MANY HAVE)"	"V-DROP PRE-DROP"	""
"command.DROP.02"	"gsyntax.zil"	"182"	"DROP"	"DROP OBJECT (HELD MANY HAVE) DOWN OBJECT"	"V-PUT PRE-PUT"	""
"command.DROP.03"	"gsyntax.zil"	"183"	"DROP"	"DROP OBJECT (HELD MANY HAVE) IN OBJECT"	"V-PUT PRE-PUT"	""
"command.DROP.04"	"gsyntax.zil"	"184"	"DROP"	"DROP OBJECT (HELD MANY HAVE) ON OBJECT"	"V-PUT-ON PRE-PUT"	""
"command.EAT.01"	"gsyntax.zil"	"186"	"EAT"	"EAT OBJECT (FIND FOODBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE)"	"V-EAT"	"BITE CONSUME TASTE"
"command.ECHO.01"	"gsyntax.zil"	"190"	"ECHO"	"ECHO"	"V-ECHO"	""
"command.ENCHANT.01"	"gsyntax.zil"	"192"	"ENCHANT"	"ENCHANT OBJECT (ON-GROUND IN-ROOM)"	"V-ENCHANT"	""
"command.ENTER.01"	"gsyntax.zil"	"194"	"ENTER"	"ENTER"	"V-ENTER"	""
"command.ENTER.02"	"gsyntax.zil"	"195"	"ENTER"	"ENTER OBJECT"	"V-THROUGH"	""
"command.EXIT.01"	"gsyntax.zil"	"196"	"EXIT"	"EXIT"	"V-EXIT"	""
"command.EXIT.02"	"gsyntax.zil"	"197"	"EXIT"	"EXIT OBJECT"	"V-EXIT"	""
"command.EXAMINE.01"	"gsyntax.zil"	"199"	"EXAMINE"	"EXAMINE OBJECT (MANY)"	"V-EXAMINE"	"DESCRIBE WHAT WHATS"
"command.EXAMINE.02"	"gsyntax.zil"	"200"	"EXAMINE"	"EXAMINE IN OBJECT (HELD CARRIED IN-ROOM ON-GROUND MANY)"	"V-LOOK-INSIDE"	"DESCRIBE WHAT WHATS"
"command.EXAMINE.03"	"gsyntax.zil"	"202"	"EXAMINE"	"EXAMINE ON OBJECT (HELD CARRIED IN-ROOM ON-GROUND MANY)"	"V-LOOK-INSIDE"	"DESCRIBE WHAT WHATS"
"command.EXORCISE.01"	"gsyntax.zil"	"206"	"EXORCISE"	"EXORCISE OBJECT"	"V-EXORCISE"	"BANISH BEGONE CAST DRIVE"
"command.EXORCISE.02"	"gsyntax.zil"	"207"	"EXORCISE"	"EXORCISE OUT OBJECT (FIND ACTORBIT)"	"V-EXORCISE"	"BANISH BEGONE CAST DRIVE"
"command.EXORCISE.03"	"gsyntax.zil"	"208"	"EXORCISE"	"EXORCISE AWAY OBJECT (FIND ACTORBIT)"	"V-EXORCISE"	"BANISH BEGONE CAST DRIVE"
"command.EXTINGUISH.01"	"gsyntax.zil"	"211"	"EXTINGUISH"	"EXTINGUISH OBJECT (FIND ONBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE HAVE)"	"V-LAMP-OFF"	"DOUSE"
"command.FILL.01"	"gsyntax.zil"	"215"	"FILL"	"FILL OBJECT (FIND CONTBIT) (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT"	"V-FILL PRE-FILL"	""
"command.FILL.02"	"gsyntax.zil"	"217"	"FILL"	"FILL OBJECT (FIND CONTBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-FILL PRE-FILL"	""
"command.FIND.01"	"gsyntax.zil"	"220"	"FIND"	"FIND OBJECT"	"V-FIND"	"SEE SEEK WHERE"
"command.FOLLOW.01"	"gsyntax.zil"	"223"	"FOLLOW"	"FOLLOW"	"V-FOLLOW"	"CHASE COME PURSUE"
"command.FOLLOW.02"	"gsyntax.zil"	"224"	"FOLLOW"	"FOLLOW OBJECT"	"V-FOLLOW"	"CHASE COME PURSUE"
"command.FROBOZZ.01"	"gsyntax.zil"	"227"	"FROBOZZ"	"FROBOZZ"	"V-FROBOZZ"	""
"command.GIVE.01"	"gsyntax.zil"	"229"	"GIVE"	"GIVE OBJECT (MANY HELD HAVE) TO OBJECT (FIND ACTORBIT) (ON-GROUND)"	"V-GIVE PRE-GIVE"	"DONATE FEED HAND OFFER"
"command.GIVE.02"	"gsyntax.zil"	"231"	"GIVE"	"GIVE OBJECT (FIND ACTORBIT) (ON-GROUND) OBJECT (MANY HELD HAVE)"	"V-SGIVE PRE-SGIVE"	"DONATE FEED HAND OFFER"
"command.HATCH.01"	"gsyntax.zil"	"237"	"HATCH"	"HATCH OBJECT"	"V-HATCH"	""
"command.HELLO.01"	"gsyntax.zil"	"239"	"HELLO"	"HELLO"	"V-HELLO"	"HI"
"command.HELLO.02"	"gsyntax.zil"	"240"	"HELLO"	"HELLO OBJECT"	"V-HELLO"	"HI"
"command.INCANT.01"	"gsyntax.zil"	"243"	"INCANT"	"INCANT"	"V-INCANT"	"CHANT"
"command.INFLAT.01"	"gsyntax.zil"	"246"	"INFLAT"	"INFLAT OBJECT WITH OBJECT (FIND TOOLBIT) (ON-GROUND IN-ROOM HELD CARRIED)"	"V-INFLATE"	""
"command.JUMP.01"	"gsyntax.zil"	"249"	"JUMP"	"JUMP"	"V-LEAP"	"DIVE LEAP"
"command.JUMP.02"	"gsyntax.zil"	"250"	"JUMP"	"JUMP OVER OBJECT"	"V-LEAP"	"DIVE LEAP"
"command.JUMP.03"	"gsyntax.zil"	"251"	"JUMP"	"JUMP ACROSS OBJECT"	"V-LEAP"	"DIVE LEAP"
"command.JUMP.04"	"gsyntax.zil"	"252"	"JUMP"	"JUMP IN OBJECT"	"V-LEAP"	"DIVE LEAP"
"command.JUMP.05"	"gsyntax.zil"	"253"	"JUMP"	"JUMP FROM OBJECT"	"V-LEAP"	"DIVE LEAP"
"command.JUMP.06"	"gsyntax.zil"	"254"	"JUMP"	"JUMP OFF OBJECT"	"V-LEAP"	"DIVE LEAP"
"command.KICK.01"	"gsyntax.zil"	"257"	"KICK"	"KICK OBJECT"	"V-KICK"	"TAUNT"
"command.KILL.01"	"gsyntax.zil"	"264"	"KILL"	"KILL OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE)"	"V-ATTACK"	"DISPATCH MURDER SLAY"
"command.STAB.01"	"gsyntax.zil"	"268"	"STAB"	"STAB OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-STAB"	""
"command.STAB.02"	"gsyntax.zil"	"269"	"STAB"	"STAB OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE)"	"V-ATTACK"	""
"command.KISS.01"	"gsyntax.zil"	"272"	"KISS"	"KISS OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-KISS"	""
"command.KNOCK.01"	"gsyntax.zil"	"274"	"KNOCK"	"KNOCK AT OBJECT"	"V-KNOCK"	"RAP"
"command.KNOCK.02"	"gsyntax.zil"	"275"	"KNOCK"	"KNOCK ON OBJECT"	"V-KNOCK"	"RAP"
"command.KNOCK.03"	"gsyntax.zil"	"276"	"KNOCK"	"KNOCK DOWN OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM)"	"V-ATTACK"	"RAP"
"command.LAUNCH.01"	"gsyntax.zil"	"279"	"LAUNCH"	"LAUNCH OBJECT (FIND VEHBIT)"	"V-LAUNCH"	""
"command.LEAN.01"	"gsyntax.zil"	"281"	"LEAN"	"LEAN ON OBJECT (HELD HAVE)"	"V-LEAN-ON"	""
"command.LEAVE.01"	"gsyntax.zil"	"283"	"LEAVE"	"LEAVE"	"V-LEAVE"	""
"command.LEAVE.02"	"gsyntax.zil"	"284"	"LEAVE"	"LEAVE OBJECT"	"V-DROP PRE-DROP"	""
"command.LIGHT.01"	"gsyntax.zil"	"286"	"LIGHT"	"LIGHT OBJECT (FIND LIGHTBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE HAVE)"	"V-LAMP-ON"	""
"command.LIGHT.02"	"gsyntax.zil"	"288"	"LIGHT"	"LIGHT OBJECT (FIND LIGHTBIT) (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT (FIND FLAMEBIT) (HELD CARRIED TAKE HAVE)"	"V-BURN PRE-BURN"	""
"command.LISTEN.01"	"gsyntax.zil"	"291"	"LISTEN"	"LISTEN TO OBJECT"	"V-LISTEN"	""
"command.LISTEN.02"	"gsyntax.zil"	"292"	"LISTEN"	"LISTEN FOR OBJECT"	"V-LISTEN"	""
"command.LOCK.01"	"gsyntax.zil"	"294"	"LOCK"	"LOCK OBJECT (ON-GROUND IN-ROOM) WITH OBJECT (FIND TOOLBIT) (HELD CARRIED ON-GROUND IN-ROOM TAKE)"	"V-LOCK"	""
"command.LOOK.01"	"gsyntax.zil"	"297"	"LOOK"	"LOOK"	"V-LOOK"	"GAZE L STARE"
"command.LOOK.02"	"gsyntax.zil"	"298"	"LOOK"	"LOOK AROUND OBJECT (FIND RMUNGBIT)"	"V-LOOK"	"GAZE L STARE"
"command.LOOK.03"	"gsyntax.zil"	"299"	"LOOK"	"LOOK UP OBJECT (FIND RMUNGBIT)"	"V-LOOK"	"GAZE L STARE"
"command.LOOK.04"	"gsyntax.zil"	"300"	"LOOK"	"LOOK DOWN OBJECT (FIND RMUNGBIT)"	"V-LOOK"	"GAZE L STARE"
"command.LOOK.05"	"gsyntax.zil"	"301"	"LOOK"	"LOOK AT OBJECT (HELD CARRIED ON-GROUND IN-ROOM MANY)"	"V-EXAMINE"	"GAZE L STARE"
"command.LOOK.06"	"gsyntax.zil"	"302"	"LOOK"	"LOOK ON OBJECT"	"V-LOOK-ON"	"GAZE L STARE"
"command.LOOK.07"	"gsyntax.zil"	"303"	"LOOK"	"LOOK WITH OBJECT (HELD CARRIED ON-GROUND IN-ROOM MANY)"	"V-LOOK-INSIDE"	"GAZE L STARE"
"command.LOOK.08"	"gsyntax.zil"	"304"	"LOOK"	"LOOK UNDER OBJECT"	"V-LOOK-UNDER"	"GAZE L STARE"
"command.LOOK.09"	"gsyntax.zil"	"305"	"LOOK"	"LOOK BEHIND OBJECT"	"V-LOOK-BEHIND"	"GAZE L STARE"
"command.LOOK.10"	"gsyntax.zil"	"306"	"LOOK"	"LOOK IN OBJECT (HELD CARRIED ON-GROUND IN-ROOM MANY)"	"V-LOOK-INSIDE"	"GAZE L STARE"
"command.LOOK.11"	"gsyntax.zil"	"307"	"LOOK"	"LOOK AT OBJECT (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT"	"V-READ PRE-READ"	"GAZE L STARE"
"command.LOOK.12"	"gsyntax.zil"	"309"	"LOOK"	"LOOK FOR OBJECT"	"V-FIND"	"GAZE L STARE"
"command.LOWER.01"	"gsyntax.zil"	"312"	"LOWER"	"LOWER OBJECT"	"V-LOWER"	""
"command.LUBRICATE.01"	"gsyntax.zil"	"314"	"LUBRICATE"	"LUBRICATE OBJECT WITH OBJECT (HELD CARRIED)"	"V-OIL"	"GREASE OIL"
"command.MAKE.01"	"gsyntax.zil"	"317"	"MAKE"	"MAKE OBJECT"	"V-MAKE"	""
"command.MELT.01"	"gsyntax.zil"	"319"	"MELT"	"MELT OBJECT WITH OBJECT (FIND FLAMEBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-MELT"	"LIQUIFY"
"command.MOVE.01"	"gsyntax.zil"	"323"	"MOVE"	"MOVE OBJECT (ON-GROUND IN-ROOM)"	"V-MOVE PRE-MOVE"	""
"command.MOVE.02"	"gsyntax.zil"	"324"	"MOVE"	"MOVE OBJECT (ON-GROUND IN-ROOM) OBJECT"	"V-PUSH-TO"	""
"command.MOVE.03"	"gsyntax.zil"	"325"	"MOVE"	"MOVE OBJECT (ON-GROUND IN-ROOM) TO OBJECT"	"V-PUSH-TO"	""
"command.MOVE.04"	"gsyntax.zil"	"326"	"MOVE"	"MOVE OBJECT (HELD MANY HAVE) IN OBJECT"	"V-PUT PRE-PUT"	""
"command.MOVE.05"	"gsyntax.zil"	"327"	"MOVE"	"MOVE OBJECT WITH OBJECT (FIND TOOLBIT)"	"V-TURN PRE-TURN"	""
"command.ROLL.01"	"gsyntax.zil"	"328"	"ROLL"	"ROLL UP OBJECT (ON-GROUND IN-ROOM)"	"V-MOVE PRE-MOVE"	""
"command.ROLL.02"	"gsyntax.zil"	"329"	"ROLL"	"ROLL OBJECT (ON-GROUND IN-ROOM)"	"V-MOVE PRE-MOVE"	""
"command.MUMBLE.01"	"gsyntax.zil"	"331"	"MUMBLE"	"MUMBLE"	"V-MUMBLE"	"SIGH"
"command.ODYSSEUS.01"	"gsyntax.zil"	"334"	"ODYSSEUS"	"ODYSSEUS"	"V-ODYSSEUS"	"ULYSSES"
"command.OPEN.01"	"gsyntax.zil"	"337"	"OPEN"	"OPEN OBJECT (FIND DOORBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-OPEN"	""
"command.OPEN.02"	"gsyntax.zil"	"338"	"OPEN"	"OPEN UP OBJECT (FIND DOORBIT) (HELD CARRIED ON-GROUND IN-ROOM)"	"V-OPEN"	""
"command.OPEN.03"	"gsyntax.zil"	"340"	"OPEN"	"OPEN OBJECT (FIND DOORBIT) (HELD CARRIED ON-GROUND IN-ROOM) WITH OBJECT (FIND TOOLBIT) (ON-GROUND IN-ROOM HELD CARRIED HAVE)"	"V-OPEN"	""
"command.PICK.01"	"gsyntax.zil"	"343"	"PICK"	"PICK OBJECT"	"V-PICK"	""
"command.PICK.02"	"gsyntax.zil"	"344"	"PICK"	"PICK OBJECT WITH OBJECT"	"V-PICK"	""
"command.PICK.03"	"gsyntax.zil"	"345"	"PICK"	"PICK UP OBJECT (FIND TAKEBIT) (ON-GROUND MANY)"	"V-TAKE PRE-TAKE"	""
"command.PLAY.01"	"gsyntax.zil"	"347"	"PLAY"	"PLAY OBJECT"	"V-PLAY"	""
"command.PLUG.01"	"gsyntax.zil"	"349"	"PLUG"	"PLUG OBJECT WITH OBJECT"	"V-PLUG"	"FIX GLUE PATCH REPAIR"
"command.PLUGH.01"	"gsyntax.zil"	"352"	"PLUGH"	"PLUGH"	"V-ADVENT"	"XYZZY"
"command.POKE.01"	"gsyntax.zil"	"355"	"POKE"	"POKE OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE)"	"V-MUNG PRE-MUNG"	""
"command.PUNCTURE.01"	"gsyntax.zil"	"357"	"PUNCTURE"	"PUNCTURE OBJECT (FIND ACTORBIT) (ON-GROUND IN-ROOM) WITH OBJECT (FIND WEAPONBIT) (HELD CARRIED HAVE)"	"V-MUNG PRE-MUNG"	""
"command.POUR.01"	"gsyntax.zil"	"360"	"POUR"	"POUR OBJECT (HELD CARRIED)"	"V-DROP PRE-DROP"	"SPILL"
"command.POUR.02"	"gsyntax.zil"	"361"	"POUR"	"POUR OBJECT (HELD CARRIED) IN OBJECT"	"V-DROP PRE-DROP"	"SPILL"
"command.POUR.03"	"gsyntax.zil"	"362"	"POUR"	"POUR OBJECT (HELD CARRIED) ON OBJECT"	"V-POUR-ON"	"SPILL"
"command.POUR.04"	"gsyntax.zil"	"363"	"POUR"	"POUR OBJECT (HELD CARRIED) FROM OBJECT"	"V-DROP PRE-DROP"	"SPILL"
"command.PRAY.01"	"gsyntax.zil"	"366"	"PRAY"	"PRAY"	"V-PRAY"	""
"command.PULL.01"	"gsyntax.zil"	"368"	"PULL"	"PULL OBJECT (ON-GROUND IN-ROOM)"	"V-MOVE PRE-MOVE"	"TUG YANK"
"command.PULL.02"	"gsyntax.zil"	"369"	"PULL"	"PULL ON OBJECT (ON-GROUND IN-ROOM)"	"V-MOVE PRE-MOVE"	"TUG YANK"
"command.PULL.03"	"gsyntax.zil"	"370"	"PULL"	"PULL UP OBJECT (ON-GROUND IN-ROOM)"	"V-MOVE PRE-MOVE"	"TUG YANK"
"command.PUMP.01"	"gsyntax.zil"	"373"	"PUMP"	"PUMP UP OBJECT"	"V-PUMP"	""
"command.PUMP.02"	"gsyntax.zil"	"374"	"PUMP"	"PUMP UP OBJECT WITH OBJECT"	"V-PUMP"	""
"command.PUSH.01"	"gsyntax.zil"	"376"	"PUSH"	"PUSH OBJECT (IN-ROOM ON-GROUND) OBJECT"	"V-PUSH-TO"	"PRESS"
"command.PUSH.02"	"gsyntax.zil"	"377"	"PUSH"	"PUSH OBJECT (IN-ROOM ON-GROUND) TO OBJECT"	"V-PUSH-TO"	"PRESS"
"command.PUSH.03"	"gsyntax.zil"	"378"	"PUSH"	"PUSH OBJECT (IN-ROOM ON-GROUND MANY)"	"V-PUSH"	"PRESS"
"command.PUSH.04"	"gsyntax.zil"	"379"	"PUSH"	"PUSH ON OBJECT (IN-ROOM ON-GROUND MANY)"	"V-PUSH"	"PRESS"
"command.PUSH.05"	"gsyntax.zil"	"380"	"PUSH"	"PUSH OBJECT WITH OBJECT (FIND TOOLBIT)"	"V-TURN PRE-TURN"	"PRESS"
"command.PUSH.06"	"gsyntax.zil"	"381"	"PUSH"	"PUSH OBJECT UNDER OBJECT"	"V-PUT-UNDER"	"PRESS"
"command.PUT.01"	"gsyntax.zil"	"384"	"PUT"	"PUT OBJECT (HELD MANY HAVE) IN OBJECT"	"V-PUT PRE-PUT"	"HIDE INSERT PLACE STUFF"
"command.PUT.02"	"gsyntax.zil"	"385"	"PUT"	"PUT OBJECT (HELD MANY HAVE) ON OBJECT"	"V-PUT-ON PRE-PUT"	"HIDE INSERT PLACE STUFF"
"command.PUT.03"	"gsyntax.zil"	"386"	"PUT"	"PUT DOWN OBJECT (HELD MANY)"	"V-DROP PRE-DROP"	"HIDE INSERT PLACE STUFF"
"command.PUT.04"	"gsyntax.zil"	"387"	"PUT"	"PUT OBJECT (HELD HAVE) UNDER OBJECT"	"V-PUT-UNDER"	"HIDE INSERT PLACE STUFF"
