"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"room"	"property"
"room.FOREST-1.LDESC"	"This is a forest, with trees in all directions. To the east,\nthere appears to be sunlight."	"This is a forest, with trees in all directions. To the east,\nthere appears to be sunlight."	"source"	"原文表示"	"1dungeon.zil"	"1312"	"FOREST-1"	"LDESC"
"room.FOREST-1.DESC"	"Forest"	"Forest"	"source"	"原文表示"	"1dungeon.zil"	"1314"	"FOREST-1"	"DESC"
"room.FOREST-1.UP"	"There is no tree here suitable for climbing."	"There is no tree here suitable for climbing."	"source"	"原文表示"	"1dungeon.zil"	"1315"	"FOREST-1"	"UP"
"room.FOREST-1.WEST"	"You would need a machete to go further west."	"You would need a machete to go further west."	"source"	"原文表示"	"1dungeon.zil"	"1319"	"FOREST-1"	"WEST"
"room.FOREST-2.LDESC"	"This is a dimly lit forest, with large trees all around."	"This is a dimly lit forest, with large trees all around."	"source"	"原文表示"	"1dungeon.zil"	"1326"	"FOREST-2"	"LDESC"
"room.FOREST-2.DESC"	"Forest"	"Forest"	"source"	"原文表示"	"1dungeon.zil"	"1327"	"FOREST-2"	"DESC"
"room.FOREST-2.UP"	"There is no tree here suitable for climbing."	"There is no tree here suitable for climbing."	"source"	"原文表示"	"1dungeon.zil"	"1328"	"FOREST-2"	"UP"
"room.FOREST-2.NORTH"	"The forest becomes impenetrable to the north."	"The forest becomes impenetrable to the north."	"source"	"原文表示"	"1dungeon.zil"	"1329"	"FOREST-2"	"NORTH"
"room.MOUNTAINS.LDESC"	"The forest thins out, revealing impassable mountains."	"The forest thins out, revealing impassable mountains."	"source"	"原文表示"	"1dungeon.zil"	"1339"	"MOUNTAINS"	"LDESC"
"room.MOUNTAINS.DESC"	"Forest"	"Forest"	"source"	"原文表示"	"1dungeon.zil"	"1340"	"MOUNTAINS"	"DESC"
"room.MOUNTAINS.UP"	"The mountains are impassable."	"The mountains are impassable."	"source"	"原文表示"	"1dungeon.zil"	"1341"	"MOUNTAINS"	"UP"
"room.MOUNTAINS.EAST"	"The mountains are impassable."	"The mountains are impassable."	"source"	"原文表示"	"1dungeon.zil"	"1343"	"MOUNTAINS"	"EAST"
"room.FOREST-3.LDESC"	"This is a dimly lit forest, with large trees all around."	"This is a dimly lit forest, with large trees all around."	"source"	"原文表示"	"1dungeon.zil"	"1351"	"FOREST-3"	"LDESC"
"room.FOREST-3.DESC"	"Forest"	"Forest"	"source"	"原文表示"	"1dungeon.zil"	"1352"	"FOREST-3"	"DESC"
"room.FOREST-3.UP"	"There is no tree here suitable for climbing."	"There is no tree here suitable for climbing."	"source"	"原文表示"	"1dungeon.zil"	"1353"	"FOREST-3"	"UP"
"room.FOREST-3.EAST"	"The rank undergrowth prevents eastward movement."	"The rank undergrowth prevents eastward movement."	"source"	"原文表示"	"1dungeon.zil"	"1355"	"FOREST-3"	"EAST"
"room.FOREST-3.SOUTH"	"Storm-tossed trees block your way."	"Storm-tossed trees block your way."	"source"	"原文表示"	"1dungeon.zil"	"1356"	"FOREST-3"	"SOUTH"
"room.PATH.LDESC"	"This is a path winding through a dimly lit forest. The path heads\nnorth-south here. One particularly large tree with some low branches\nstands at the edge of the path."	"This is a path winding through a dimly lit forest. The path heads\nnorth-south here. One particularly large tree with some low branches\nstands at the edge of the path."	"source"	"原文表示"	"1dungeon.zil"	"1366"	"PATH"	"LDESC"
"room.PATH.DESC"	"Forest Path"	"Forest Path"	"source"	"原文表示"	"1dungeon.zil"	"1369"	"PATH"	"DESC"
"room.UP-A-TREE.DESC"	"Up a Tree"	"Up a Tree"	"source"	"原文表示"	"1dungeon.zil"	"1381"	"UP-A-TREE"	"DESC"
"room.UP-A-TREE.UP"	"You cannot climb any higher."	"You cannot climb any higher."	"source"	"原文表示"	"1dungeon.zil"	"1383"	"UP-A-TREE"	"UP"
"room.GRATING-CLEARING.DESC"	"Clearing"	"Clearing"	"source"	"原文表示"	"1dungeon.zil"	"1390"	"GRATING-CLEARING"	"DESC"
"room.GRATING-CLEARING.NORTH"	"The forest becomes impenetrable to the north."	"The forest becomes impenetrable to the north."	"source"	"原文表示"	"1dungeon.zil"	"1391"	"GRATING-CLEARING"	"NORTH"
"room.CLEARING.LDESC"	"You are in a small clearing in a well marked forest path that\nextends to the east and west."	"You are in a small clearing in a well marked forest path that\nextends to the east and west."	"source"	"原文表示"	"1dungeon.zil"	"1413"	"CLEARING"	"LDESC"
"room.CLEARING.DESC"	"Clearing"	"Clearing"	"source"	"原文表示"	"1dungeon.zil"	"1415"	"CLEARING"	"DESC"
"room.CLEARING.UP"	"There is no tree here suitable for climbing."	"There is no tree here suitable for climbing."	"source"	"原文表示"	"1dungeon.zil"	"1416"	"CLEARING"	"UP"
"room.KITCHEN.DESC"	"Kitchen"	"Kitchen"	"source"	"原文表示"	"1dungeon.zil"	"1431"	"KITCHEN"	"DESC"
"room.KITCHEN.DOWN"	"Only Santa Claus climbs down chimneys."	"Only Santa Claus climbs down chimneys."	"source"	"原文表示"	"1dungeon.zil"	"1437"	"KITCHEN"	"DOWN"
"room.ATTIC.LDESC"	"This is the attic. The only exit is a stairway leading down."	"This is the attic. The only exit is a stairway leading down."	"source"	"原文表示"	"1dungeon.zil"	"1445"	"ATTIC"	"LDESC"
"room.ATTIC.DESC"	"Attic"	"Attic"	"source"	"原文表示"	"1dungeon.zil"	"1446"	"ATTIC"	"DESC"
"room.LIVING-ROOM.DESC"	"Living Room"	"Living Room"	"source"	"原文表示"	"1dungeon.zil"	"1453"	"LIVING-ROOM"	"DESC"
"room.LIVING-ROOM.WEST"	"The door is nailed shut."	"The door is nailed shut."	"source"	"原文表示"	"1dungeon.zil"	"1455"	"LIVING-ROOM"	"WEST"
"room.CELLAR.DESC"	"Cellar"	"Cellar"	"source"	"原文表示"	"1dungeon.zil"	"1468"	"CELLAR"	"DESC"
"room.CELLAR.WEST"	"You try to ascend the ramp, but it is impossible, and you slide back down."	"You try to ascend the ramp, but it is impossible, and you slide back down."	"source"	"原文表示"	"1dungeon.zil"	"1473"	"CELLAR"	"WEST"
"room.TROLL-ROOM.LDESC"	"This is a small room with passages to the east and south and a\nforbidding hole leading west. Bloodstains and deep scratches\n(perhaps made by an axe) mar the walls."	"This is a small room with passages to the east and south and a\nforbidding hole leading west. Bloodstains and deep scratches\n(perhaps made by an axe) mar the walls."	"source"	"原文表示"	"1dungeon.zil"	"1482"	"TROLL-ROOM"	"LDESC"
"room.TROLL-ROOM.DESC"	"The Troll Room"	"The Troll Room"	"source"	"原文表示"	"1dungeon.zil"	"1485"	"TROLL-ROOM"	"DESC"
"room.TROLL-ROOM.EAST"	"The troll fends you off with a menacing gesture."	"The troll fends you off with a menacing gesture."	"source"	"原文表示"	"1dungeon.zil"	"1488"	"TROLL-ROOM"	"EAST"
"room.TROLL-ROOM.WEST"	"The troll fends you off with a menacing gesture."	"The troll fends you off with a menacing gesture."	"source"	"原文表示"	"1dungeon.zil"	"1490"	"TROLL-ROOM"	"WEST"
"room.EAST-OF-CHASM.LDESC"	"You are on the east edge of a chasm, the bottom of which cannot be\nseen. A narrow passage goes north, and the path you are on continues\nto the east."	"You are on the east edge of a chasm, the bottom of which cannot be\nseen. A narrow passage goes north, and the path you are on continues\nto the east."	"source"	"原文表示"	"1dungeon.zil"	"1497"	"EAST-OF-CHASM"	"LDESC"
"room.EAST-OF-CHASM.DESC"	"East of Chasm"	"East of Chasm"	"source"	"原文表示"	"1dungeon.zil"	"1500"	"EAST-OF-CHASM"	"DESC"
"room.EAST-OF-CHASM.DOWN"	"The chasm probably leads straight to the infernal regions."	"The chasm probably leads straight to the infernal regions."	"source"	"原文表示"	"1dungeon.zil"	"1503"	"EAST-OF-CHASM"	"DOWN"
"room.GALLERY.LDESC"	"This is an art gallery. Most of the paintings have been stolen by\nvandals with exceptional taste. The vandals left through either the\nnorth or west exits."	"This is an art gallery. Most of the paintings have been stolen by\nvandals with exceptional taste. The vandals left through either the\nnorth or west exits."	"source"	"原文表示"	"1dungeon.zil"	"1510"	"GALLERY"	"LDESC"
"room.GALLERY.DESC"	"Gallery"	"Gallery"	"source"	"原文表示"	"1dungeon.zil"	"1513"	"GALLERY"	"DESC"
"room.STUDIO.LDESC"	"This appears to have been an artist's studio. The walls and floors are\nsplattered with paints of 69 different colors. Strangely enough, nothing\nof value is hanging here. At the south end of the room is an open door\n(also covered with paint). A dark and narrow chimney leads up from a\nfireplace; although you might be able to get up it, it seems unlikely\nyou could get back down."	"This appears to have been an artist's studio. The walls and floors are\nsplattered with paints of 69 different colors. Strangely enough, nothing\nof value is hanging here. At the south end of the room is an open door\n(also covered with paint). A dark and narrow chimney leads up from a\nfireplace; although you might be able to get up it, it seems unlikely\nyou could get back down."	"source"	"原文表示"	"1dungeon.zil"	"1521"	"STUDIO"	"LDESC"
"room.STUDIO.DESC"	"Studio"	"Studio"	"source"	"原文表示"	"1dungeon.zil"	"1527"	"STUDIO"	"DESC"
"room.MAZE-1.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1540"	"MAZE-1"	"LDESC"
"room.MAZE-1.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1541"	"MAZE-1"	"DESC"
"room.MAZE-2.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1550"	"MAZE-2"	"LDESC"
"room.MAZE-2.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1551"	"MAZE-2"	"DESC"
"room.MAZE-3.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1559"	"MAZE-3"	"LDESC"
"room.MAZE-3.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1560"	"MAZE-3"	"DESC"
"room.MAZE-4.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1568"	"MAZE-4"	"LDESC"
"room.MAZE-4.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1569"	"MAZE-4"	"DESC"
"room.DEAD-END-1.DESC"	"Dead End"	"Dead End"	"source"	"原文表示"	"1dungeon.zil"	"1577"	"DEAD-END-1"	"DESC"
"room.DEAD-END-1.LDESC"	"You have come to a dead end in the maze."	"You have come to a dead end in the maze."	"source"	"原文表示"	"1dungeon.zil"	"1578"	"DEAD-END-1"	"LDESC"
"room.MAZE-5.LDESC"	"This is part of a maze of twisty little passages, all alike.\nA skeleton, probably the remains of a luckless adventurer, lies here."	"This is part of a maze of twisty little passages, all alike.\nA skeleton, probably the remains of a luckless adventurer, lies here."	"source"	"原文表示"	"1dungeon.zil"	"1584"	"MAZE-5"	"LDESC"
"room.MAZE-5.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1586"	"MAZE-5"	"DESC"
"room.DEAD-END-2.DESC"	"Dead End"	"Dead End"	"source"	"原文表示"	"1dungeon.zil"	"1594"	"DEAD-END-2"	"DESC"
"room.DEAD-END-2.LDESC"	"You have come to a dead end in the maze."	"You have come to a dead end in the maze."	"source"	"原文表示"	"1dungeon.zil"	"1595"	"DEAD-END-2"	"LDESC"
"room.MAZE-6.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1601"	"MAZE-6"	"LDESC"
"room.MAZE-6.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1602"	"MAZE-6"	"DESC"
"room.MAZE-7.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1611"	"MAZE-7"	"LDESC"
"room.MAZE-7.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1612"	"MAZE-7"	"DESC"
"room.MAZE-8.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1622"	"MAZE-8"	"LDESC"
"room.MAZE-8.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1623"	"MAZE-8"	"DESC"
"room.DEAD-END-3.DESC"	"Dead End"	"Dead End"	"source"	"原文表示"	"1dungeon.zil"	"1631"	"DEAD-END-3"	"DESC"
"room.DEAD-END-3.LDESC"	"You have come to a dead end in the maze."	"You have come to a dead end in the maze."	"source"	"原文表示"	"1dungeon.zil"	"1632"	"DEAD-END-3"	"LDESC"
"room.MAZE-9.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1638"	"MAZE-9"	"LDESC"
"room.MAZE-9.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1639"	"MAZE-9"	"DESC"
"room.MAZE-10.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1650"	"MAZE-10"	"LDESC"
"room.MAZE-10.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1651"	"MAZE-10"	"DESC"
"room.MAZE-11.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1659"	"MAZE-11"	"LDESC"
"room.MAZE-11.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1660"	"MAZE-11"	"DESC"
"room.GRATING-ROOM.DESC"	"Grating Room"	"Grating Room"	"source"	"原文表示"	"1dungeon.zil"	"1669"	"GRATING-ROOM"	"DESC"
"room.GRATING-ROOM.UP"	"The grating is closed."	"The grating is closed."	"source"	"原文表示"	"1dungeon.zil"	"1672"	"GRATING-ROOM"	"UP"
"room.MAZE-12.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1679"	"MAZE-12"	"LDESC"
"room.MAZE-12.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1680"	"MAZE-12"	"DESC"
"room.DEAD-END-4.DESC"	"Dead End"	"Dead End"	"source"	"原文表示"	"1dungeon.zil"	"1690"	"DEAD-END-4"	"DESC"
"room.DEAD-END-4.LDESC"	"You have come to a dead end in the maze."	"You have come to a dead end in the maze."	"source"	"原文表示"	"1dungeon.zil"	"1691"	"DEAD-END-4"	"LDESC"
"room.MAZE-13.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1697"	"MAZE-13"	"LDESC"
"room.MAZE-13.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1698"	"MAZE-13"	"DESC"
"room.MAZE-14.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1707"	"MAZE-14"	"LDESC"
"room.MAZE-14.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1708"	"MAZE-14"	"DESC"
"room.MAZE-15.LDESC"	"This is part of a maze of twisty little passages, all alike."	"This is part of a maze of twisty little passages, all alike."	"source"	"原文表示"	"1dungeon.zil"	"1717"	"MAZE-15"	"LDESC"
"room.MAZE-15.DESC"	"Maze"	"Maze"	"source"	"原文表示"	"1dungeon.zil"	"1718"	"MAZE-15"	"DESC"
"room.CYCLOPS-ROOM.DESC"	"Cyclops Room"	"Cyclops Room"	"source"	"原文表示"	"1dungeon.zil"	"1730"	"CYCLOPS-ROOM"	"DESC"
"room.CYCLOPS-ROOM.EAST"	"The east wall is solid rock."	"The east wall is solid rock."	"source"	"原文表示"	"1dungeon.zil"	"1733"	"CYCLOPS-ROOM"	"EAST"
"room.CYCLOPS-ROOM.UP"	"The cyclops doesn't look like he'll let you past."	"The cyclops doesn't look like he'll let you past."	"source"	"原文表示"	"1dungeon.zil"	"1735"	"CYCLOPS-ROOM"	"UP"
"room.STRANGE-PASSAGE.LDESC"	"This is a long passage. To the west is one entrance. On the\neast there is an old wooden door, with a large opening in it (about\ncyclops sized)."	"This is a long passage. To the west is one entrance. On the\neast there is an old wooden door, with a large opening in it (about\ncyclops sized)."	"source"	"原文表示"	"1dungeon.zil"	"1743"	"STRANGE-PASSAGE"	"LDESC"
"room.STRANGE-PASSAGE.DESC"	"Strange Passage"	"Strange Passage"	"source"	"原文表示"	"1dungeon.zil"	"1746"	"STRANGE-PASSAGE"	"DESC"
"room.TREASURE-ROOM.LDESC"	"This is a large room, whose east wall is solid granite. A number\nof discarded bags, which crumble at your touch, are scattered about\non the floor. There is an exit down a staircase."	"This is a large room, whose east wall is solid granite. A number\nof discarded bags, which crumble at your touch, are scattered about\non the floor. There is an exit down a staircase."	"source"	"原文表示"	"1dungeon.zil"	"1755"	"TREASURE-ROOM"	"LDESC"
"room.TREASURE-ROOM.DESC"	"Treasure Room"	"Treasure Room"	"source"	"原文表示"	"1dungeon.zil"	"1758"	"TREASURE-ROOM"	"DESC"
"room.RESERVOIR-SOUTH.DESC"	"Reservoir South"	"Reservoir South"	"source"	"原文表示"	"1dungeon.zil"	"1771"	"RESERVOIR-SOUTH"	"DESC"
"room.RESERVOIR-SOUTH.NORTH"	"You would drown."	"You would drown."	"source"	"原文表示"	"1dungeon.zil"	"1777"	"RESERVOIR-SOUTH"	"NORTH"
"room.RESERVOIR.DESC"	"Reservoir"	"Reservoir"	"source"	"原文表示"	"1dungeon.zil"	"1785"	"RESERVOIR"	"DESC"
"room.RESERVOIR.DOWN"	"The dam blocks your way."	"The dam blocks your way."	"source"	"原文表示"	"1dungeon.zil"	"1790"	"RESERVOIR"	"DOWN"
"room.RESERVOIR-NORTH.DESC"	"Reservoir North"	"Reservoir North"	"source"	"原文表示"	"1dungeon.zil"	"1798"	"RESERVOIR-NORTH"	"DESC"
"room.RESERVOIR-NORTH.SOUTH"	"You would drown."	"You would drown."	"source"	"原文表示"	"1dungeon.zil"	"1801"	"RESERVOIR-NORTH"	"SOUTH"
"room.STREAM-VIEW.LDESC"	"You are standing on a path beside a gently flowing stream. The path\nfollows the stream, which flows from west to east."	"You are standing on a path beside a gently flowing stream. The path\nfollows the stream, which flows from west to east."	"source"	"原文表示"	"1dungeon.zil"	"1810"	"STREAM-VIEW"	"LDESC"
"room.STREAM-VIEW.DESC"	"Stream View"	"Stream View"	"source"	"原文表示"	"1dungeon.zil"	"1812"	"STREAM-VIEW"	"DESC"
"room.STREAM-VIEW.WEST"	"The stream emerges from a spot too small for you to enter."	"The stream emerges from a spot too small for you to enter."	"source"	"原文表示"	"1dungeon.zil"	"1814"	"STREAM-VIEW"	"WEST"
"room.IN-STREAM.LDESC"	"You are on the gently flowing stream. The upstream route is too narrow\nto navigate, and the downstream route is invisible due to twisting\nwalls. There is a narrow beach to land on."	"You are on the gently flowing stream. The upstream route is too narrow\nto navigate, and the downstream route is invisible due to twisting\nwalls. There is a narrow beach to land on."	"source"	"原文表示"	"1dungeon.zil"	"1822"	"IN-STREAM"	"LDESC"
"room.IN-STREAM.DESC"	"Stream"	"Stream"	"source"	"原文表示"	"1dungeon.zil"	"1825"	"IN-STREAM"	"DESC"
"room.IN-STREAM.UP"	"The channel is too narrow."	"The channel is too narrow."	"source"	"原文表示"	"1dungeon.zil"	"1826"	"IN-STREAM"	"UP"
"room.IN-STREAM.WEST"	"The channel is too narrow."	"The channel is too narrow."	"source"	"原文表示"	"1dungeon.zil"	"1827"	"IN-STREAM"	"WEST"
"room.MIRROR-ROOM-1.DESC"	"Mirror Room"	"Mirror Room"	"source"	"原文表示"	"1dungeon.zil"	"1841"	"MIRROR-ROOM-1"	"DESC"
"room.MIRROR-ROOM-2.DESC"	"Mirror Room"	"Mirror Room"	"source"	"原文表示"	"1dungeon.zil"	"1850"	"MIRROR-ROOM-2"	"DESC"
"room.SMALL-CAVE.LDESC"	"This is a tiny cave with entrances west and north, and a staircase\nleading down."	"This is a tiny cave with entrances west and north, and a staircase\nleading down."	"source"	"原文表示"	"1dungeon.zil"	"1860"	"SMALL-CAVE"	"LDESC"
"room.SMALL-CAVE.DESC"	"Cave"	"Cave"	"source"	"原文表示"	"1dungeon.zil"	"1862"	"SMALL-CAVE"	"DESC"
"room.TINY-CAVE.LDESC"	"This is a tiny cave with entrances west and north, and a dark,\nforbidding staircase leading down."	"This is a tiny cave with entrances west and north, and a dark,\nforbidding staircase leading down."	"source"	"原文表示"	"1dungeon.zil"	"1873"	"TINY-CAVE"	"LDESC"
"room.TINY-CAVE.DESC"	"Cave"	"Cave"	"source"	"原文表示"	"1dungeon.zil"	"1875"	"TINY-CAVE"	"DESC"
"room.COLD-PASSAGE.LDESC"	"This is a cold and damp corridor where a long east-west passageway\nturns into a southward path."	"This is a cold and damp corridor where a long east-west passageway\nturns into a southward path."	"source"	"原文表示"	"1dungeon.zil"	"1886"	"COLD-PASSAGE"	"LDESC"
"room.COLD-PASSAGE.DESC"	"Cold Passage"	"Cold Passage"	"source"	"原文表示"	"1dungeon.zil"	"1888"	"COLD-PASSAGE"	"DESC"
"room.NARROW-PASSAGE.LDESC"	"This is a long and narrow corridor where a long north-south passageway\nbriefly narrows even further."	"This is a long and narrow corridor where a long north-south passageway\nbriefly narrows even further."	"source"	"原文表示"	"1dungeon.zil"	"1896"	"NARROW-PASSAGE"	"LDESC"
"room.NARROW-PASSAGE.DESC"	"Narrow Passage"	"Narrow Passage"	"source"	"原文表示"	"1dungeon.zil"	"1898"	"NARROW-PASSAGE"	"DESC"
"room.WINDING-PASSAGE.LDESC"	"This is a winding passage. It seems that there are only exits\non the east and north."	"This is a winding passage. It seems that there are only exits\non the east and north."	"source"	"原文表示"	"1dungeon.zil"	"1906"	"WINDING-PASSAGE"	"LDESC"
"room.WINDING-PASSAGE.DESC"	"Winding Passage"	"Winding Passage"	"source"	"原文表示"	"1dungeon.zil"	"1908"	"WINDING-PASSAGE"	"DESC"
"room.TWISTING-PASSAGE.LDESC"	"This is a winding passage. It seems that there are only exits\non the east and north."	"This is a winding passage. It seems that there are only exits\non the east and north."	"source"	"原文表示"	"1dungeon.zil"	"1916"	"TWISTING-PASSAGE"	"LDESC"
"room.TWISTING-PASSAGE.DESC"	"Twisting Passage"	"Twisting Passage"	"source"	"原文表示"	"1dungeon.zil"	"1918"	"TWISTING-PASSAGE"	"DESC"
"room.ATLANTIS-ROOM.LDESC"	"This is an ancient room, long under water. There is an exit to\nthe south and a staircase leading up."	"This is an ancient room, long under water. There is an exit to\nthe south and a staircase leading up."	"source"	"原文表示"	"1dungeon.zil"	"1926"	"ATLANTIS-ROOM"	"LDESC"
"room.ATLANTIS-ROOM.DESC"	"Atlantis Room"	"Atlantis Room"	"source"	"原文表示"	"1dungeon.zil"	"1928"	"ATLANTIS-ROOM"	"DESC"
"room.EW-PASSAGE.LDESC"	"This is a narrow east-west passageway. There is a narrow stairway\nleading down at the north end of the room."	"This is a narrow east-west passageway. There is a narrow stairway\nleading down at the north end of the room."	"source"	"原文表示"	"1dungeon.zil"	"1941"	"EW-PASSAGE"	"LDESC"
"room.EW-PASSAGE.DESC"	"East-West Passage"	"East-West Passage"	"source"	"原文表示"	"1dungeon.zil"	"1943"	"EW-PASSAGE"	"DESC"
"room.ROUND-ROOM.LDESC"	"This is a circular stone room with passages in all directions. Several\nof them have unfortunately been blocked by cave-ins."	"This is a circular stone room with passages in all directions. Several\nof them have unfortunately been blocked by cave-ins."	"source"	"原文表示"	"1dungeon.zil"	"1955"	"ROUND-ROOM"	"LDESC"
"room.ROUND-ROOM.DESC"	"Round Room"	"Round Room"	"source"	"原文表示"	"1dungeon.zil"	"1957"	"ROUND-ROOM"	"DESC"
"room.DEEP-CANYON.DESC"	"Deep Canyon"	"Deep Canyon"	"source"	"原文表示"	"1dungeon.zil"	"1967"	"DEEP-CANYON"	"DESC"
"room.DAMP-CAVE.LDESC"	"This cave has exits to the west and east, and narrows to a crack toward\nthe south. The earth is particularly damp here."	"This cave has exits to the west and east, and narrows to a crack toward\nthe south. The earth is particularly damp here."	"source"	"原文表示"	"1dungeon.zil"	"1979"	"DAMP-CAVE"	"LDESC"
"room.DAMP-CAVE.DESC"	"Damp Cave"	"Damp Cave"	"source"	"原文表示"	"1dungeon.zil"	"1981"	"DAMP-CAVE"	"DESC"
"room.DAMP-CAVE.SOUTH"	"It is too narrow for most insects."	"It is too narrow for most insects."	"source"	"原文表示"	"1dungeon.zil"	"1984"	"DAMP-CAVE"	"SOUTH"
"room.LOUD-ROOM.DESC"	"Loud Room"	"Loud Room"	"source"	"原文表示"	"1dungeon.zil"	"1990"	"LOUD-ROOM"	"DESC"
"room.NS-PASSAGE.LDESC"	"This is a high north-south passage, which forks to the northeast."	"This is a high north-south passage, which forks to the northeast."	"source"	"原文表示"	"1dungeon.zil"	"2001"	"NS-PASSAGE"	"LDESC"
