"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"object"	"property"
"object.AXE.DESC"	"bloody axe"	"bloody axe"	"source"	"原文表示"	"1dungeon.zil"	"184"	"AXE"	"DESC"
"object.BOLT.DESC"	"bolt"	"bolt"	"source"	"原文表示"	"1dungeon.zil"	"193"	"BOLT"	"DESC"
"object.BUBBLE.DESC"	"green bubble"	"green bubble"	"source"	"原文表示"	"1dungeon.zil"	"201"	"BUBBLE"	"DESC"
"object.ALTAR.DESC"	"altar"	"altar"	"source"	"原文表示"	"1dungeon.zil"	"208"	"ALTAR"	"DESC"
"object.BOOK.DESC"	"black book"	"black book"	"source"	"原文表示"	"1dungeon.zil"	"216"	"BOOK"	"DESC"
"object.BOOK.FDESC"	"On the altar is a large black book, open to page 569."	"On the altar is a large black book, open to page 569."	"source"	"原文表示"	"1dungeon.zil"	"219"	"BOOK"	"FDESC"
"object.BOOK.TEXT"	"Commandment #12592|\n|\nOh ye who go about saying unto each:  ""Hello sailor"":|\nDost thou know the magnitude of thy sin before the gods?|\nYea, verily, thou shalt be ground between two stones.|\nShall the angry gods cast thy body into the whirlpool?|\nSurely, thy eye shall be put out with a sharp stick!|\nEven unto the ends of the earth shalt thou wander and|\nUnto the land of the dead shalt thou be sent at last.|\nSurely thou shalt repent of thy cunning."	"Commandment #12592|\n|\nOh ye who go about saying unto each:  ""Hello sailor"":|\nDost thou know the magnitude of thy sin before the gods?|\nYea, verily, thou shalt be ground between two stones.|\nShall the angry gods cast thy body into the whirlpool?|\nSurely, thy eye shall be put out with a sharp stick!|\nEven unto the ends of the earth shalt thou wander and|\nUnto the land of the dead shalt thou be sent at last.|\nSurely thou shalt repent of thy cunning."	"source"	"原文表示"	"1dungeon.zil"	"222"	"BOOK"	"TEXT"
"object.BROKEN-LAMP.DESC"	"broken lantern"	"broken lantern"	"source"	"原文表示"	"1dungeon.zil"	"236"	"BROKEN-LAMP"	"DESC"
"object.SCEPTRE.DESC"	"sceptre"	"sceptre"	"source"	"原文表示"	"1dungeon.zil"	"243"	"SCEPTRE"	"DESC"
"object.SCEPTRE.LDESC"	"An ornamented sceptre, tapering to a sharp point, is here."	"An ornamented sceptre, tapering to a sharp point, is here."	"source"	"原文表示"	"1dungeon.zil"	"247"	"SCEPTRE"	"LDESC"
"object.SCEPTRE.FDESC"	"A sceptre, possibly that of ancient Egypt itself, is in the coffin. The\nsceptre is ornamented with colored enamel, and tapers to a sharp point."	"A sceptre, possibly that of ancient Egypt itself, is in the coffin. The\nsceptre is ornamented with colored enamel, and tapers to a sharp point."	"source"	"原文表示"	"1dungeon.zil"	"249"	"SCEPTRE"	"FDESC"
"object.TIMBERS.DESC"	"broken timber"	"broken timber"	"source"	"原文表示"	"1dungeon.zil"	"259"	"TIMBERS"	"DESC"
"object.SLIDE.DESC"	"chute"	"chute"	"source"	"原文表示"	"1dungeon.zil"	"267"	"SLIDE"	"DESC"
"object.KITCHEN-TABLE.DESC"	"kitchen table"	"kitchen table"	"source"	"原文表示"	"1dungeon.zil"	"275"	"KITCHEN-TABLE"	"DESC"
"object.ATTIC-TABLE.DESC"	"table"	"table"	"source"	"原文表示"	"1dungeon.zil"	"282"	"ATTIC-TABLE"	"DESC"
"object.SANDWICH-BAG.DESC"	"brown sack"	"brown sack"	"source"	"原文表示"	"1dungeon.zil"	"290"	"SANDWICH-BAG"	"DESC"
"object.SANDWICH-BAG.FDESC"	"On the table is an elongated brown sack, smelling of hot peppers."	"On the table is an elongated brown sack, smelling of hot peppers."	"source"	"原文表示"	"1dungeon.zil"	"293"	"SANDWICH-BAG"	"FDESC"
"object.TOOL-CHEST.DESC"	"group of tool chests"	"group of tool chests"	"source"	"原文表示"	"1dungeon.zil"	"302"	"TOOL-CHEST"	"DESC"
"object.YELLOW-BUTTON.DESC"	"yellow button"	"yellow button"	"source"	"原文表示"	"1dungeon.zil"	"310"	"YELLOW-BUTTON"	"DESC"
"object.BROWN-BUTTON.DESC"	"brown button"	"brown button"	"source"	"原文表示"	"1dungeon.zil"	"318"	"BROWN-BUTTON"	"DESC"
"object.RED-BUTTON.DESC"	"red button"	"red button"	"source"	"原文表示"	"1dungeon.zil"	"326"	"RED-BUTTON"	"DESC"
"object.BLUE-BUTTON.DESC"	"blue button"	"blue button"	"source"	"原文表示"	"1dungeon.zil"	"334"	"BLUE-BUTTON"	"DESC"
"object.TROPHY-CASE.DESC"	"trophy case"	"trophy case"	"source"	"原文表示"	"1dungeon.zil"	"342"	"TROPHY-CASE"	"DESC"
"object.RUG.DESC"	"carpet"	"carpet"	"source"	"原文表示"	"1dungeon.zil"	"351"	"RUG"	"DESC"
"object.CHALICE.DESC"	"chalice"	"chalice"	"source"	"原文表示"	"1dungeon.zil"	"359"	"CHALICE"	"DESC"
"object.CHALICE.LDESC"	"There is a silver chalice, intricately engraved, here."	"There is a silver chalice, intricately engraved, here."	"source"	"原文表示"	"1dungeon.zil"	"362"	"CHALICE"	"LDESC"
"object.GARLIC.DESC"	"clove of garlic"	"clove of garlic"	"source"	"原文表示"	"1dungeon.zil"	"371"	"GARLIC"	"DESC"
"object.TRIDENT.DESC"	"crystal trident"	"crystal trident"	"source"	"原文表示"	"1dungeon.zil"	"380"	"TRIDENT"	"DESC"
"object.TRIDENT.FDESC"	"On the shore lies Poseidon's own crystal trident."	"On the shore lies Poseidon's own crystal trident."	"source"	"原文表示"	"1dungeon.zil"	"382"	"TRIDENT"	"FDESC"
"object.CYCLOPS.DESC"	"cyclops"	"cyclops"	"source"	"原文表示"	"1dungeon.zil"	"391"	"CYCLOPS"	"DESC"
"object.DAM.DESC"	"dam"	"dam"	"source"	"原文表示"	"1dungeon.zil"	"399"	"DAM"	"DESC"
"object.TRAP-DOOR.DESC"	"trap door"	"trap door"	"source"	"原文表示"	"1dungeon.zil"	"407"	"TRAP-DOOR"	"DESC"
"object.BOARDED-WINDOW.DESC"	"boarded window"	"boarded window"	"source"	"原文表示"	"1dungeon.zil"	"415"	"BOARDED-WINDOW"	"DESC"
"object.FRONT-DOOR.DESC"	"door"	"door"	"source"	"原文表示"	"1dungeon.zil"	"423"	"FRONT-DOOR"	"DESC"
"object.BARROW-DOOR.DESC"	"stone door"	"stone door"	"source"	"原文表示"	"1dungeon.zil"	"431"	"BARROW-DOOR"	"DESC"
"object.BARROW.DESC"	"stone barrow"	"stone barrow"	"source"	"原文表示"	"1dungeon.zil"	"439"	"BARROW"	"DESC"
"object.BOTTLE.DESC"	"glass bottle"	"glass bottle"	"source"	"原文表示"	"1dungeon.zil"	"447"	"BOTTLE"	"DESC"
"object.BOTTLE.FDESC"	"A bottle is sitting on the table."	"A bottle is sitting on the table."	"source"	"原文表示"	"1dungeon.zil"	"450"	"BOTTLE"	"FDESC"
"object.CRACK.DESC"	"crack"	"crack"	"source"	"原文表示"	"1dungeon.zil"	"457"	"CRACK"	"DESC"
"object.COFFIN.DESC"	"gold coffin"	"gold coffin"	"source"	"原文表示"	"1dungeon.zil"	"465"	"COFFIN"	"DESC"
"object.COFFIN.LDESC"	"The solid-gold coffin used for the burial of Ramses II is here."	"The solid-gold coffin used for the burial of Ramses II is here."	"source"	"原文表示"	"1dungeon.zil"	"468"	"COFFIN"	"LDESC"
"object.GRATE.DESC"	"grating"	"grating"	"source"	"原文表示"	"1dungeon.zil"	"477"	"GRATE"	"DESC"
"object.PUMP.DESC"	"hand-held air pump"	"hand-held air pump"	"source"	"原文表示"	"1dungeon.zil"	"485"	"PUMP"	"DESC"
"object.DIAMOND.DESC"	"huge diamond"	"huge diamond"	"source"	"原文表示"	"1dungeon.zil"	"491"	"DIAMOND"	"DESC"
"object.DIAMOND.LDESC"	"There is an enormous diamond (perfectly cut) here."	"There is an enormous diamond (perfectly cut) here."	"source"	"原文表示"	"1dungeon.zil"	"493"	"DIAMOND"	"LDESC"
"object.JADE.DESC"	"jade figurine"	"jade figurine"	"source"	"原文表示"	"1dungeon.zil"	"501"	"JADE"	"DESC"
"object.JADE.LDESC"	"There is an exquisite jade figurine here."	"There is an exquisite jade figurine here."	"source"	"原文表示"	"1dungeon.zil"	"503"	"JADE"	"LDESC"
"object.KNIFE.DESC"	"nasty knife"	"nasty knife"	"source"	"原文表示"	"1dungeon.zil"	"512"	"KNIFE"	"DESC"
"object.KNIFE.FDESC"	"On a table is a nasty-looking knife."	"On a table is a nasty-looking knife."	"source"	"原文表示"	"1dungeon.zil"	"514"	"KNIFE"	"FDESC"
"object.BONES.DESC"	"skeleton"	"skeleton"	"source"	"原文表示"	"1dungeon.zil"	"520"	"BONES"	"DESC"
"object.BURNED-OUT-LANTERN.DESC"	"burned-out lantern"	"burned-out lantern"	"source"	"原文表示"	"1dungeon.zil"	"528"	"BURNED-OUT-LANTERN"	"DESC"
"object.BURNED-OUT-LANTERN.FDESC"	"The deceased adventurer's useless lantern is here."	"The deceased adventurer's useless lantern is here."	"source"	"原文表示"	"1dungeon.zil"	"530"	"BURNED-OUT-LANTERN"	"FDESC"
"object.BAG-OF-COINS.DESC"	"leather bag of coins"	"leather bag of coins"	"source"	"原文表示"	"1dungeon.zil"	"537"	"BAG-OF-COINS"	"DESC"
"object.BAG-OF-COINS.LDESC"	"An old leather bag, bulging with coins, is here."	"An old leather bag, bulging with coins, is here."	"source"	"原文表示"	"1dungeon.zil"	"539"	"BAG-OF-COINS"	"LDESC"
"object.LAMP.DESC"	"brass lantern"	"brass lantern"	"source"	"原文表示"	"1dungeon.zil"	"549"	"LAMP"	"DESC"
"object.LAMP.FDESC"	"A battery-powered brass lantern is on the trophy case."	"A battery-powered brass lantern is on the trophy case."	"source"	"原文表示"	"1dungeon.zil"	"552"	"LAMP"	"FDESC"
"object.LAMP.LDESC"	"There is a brass lantern (battery-powered) here."	"There is a brass lantern (battery-powered) here."	"source"	"原文表示"	"1dungeon.zil"	"553"	"LAMP"	"LDESC"
"object.EMERALD.DESC"	"large emerald"	"large emerald"	"source"	"原文表示"	"1dungeon.zil"	"560"	"EMERALD"	"DESC"
"object.ADVERTISEMENT.DESC"	"leaflet"	"leaflet"	"source"	"原文表示"	"1dungeon.zil"	"569"	"ADVERTISEMENT"	"DESC"
"object.ADVERTISEMENT.LDESC"	"A small leaflet is on the ground."	"A small leaflet is on the ground."	"source"	"原文表示"	"1dungeon.zil"	"571"	"ADVERTISEMENT"	"LDESC"
"object.ADVERTISEMENT.TEXT"	"""WELCOME TO ZORK!|\n|\nZORK is a game of adventure, danger, and low cunning. In it you\nwill explore some of the most amazing territory ever seen by mortals.\nNo computer should be without one!"""	"""WELCOME TO ZORK!|\n|\nZORK is a game of adventure, danger, and low cunning. In it you\nwill explore some of the most amazing territory ever seen by mortals.\nNo computer should be without one!"""	"source"	"原文表示"	"1dungeon.zil"	"573"	"ADVERTISEMENT"	"TEXT"
"object.LEAK.DESC"	"leak"	"leak"	"source"	"原文表示"	"1dungeon.zil"	"583"	"LEAK"	"DESC"
"object.MACHINE.DESC"	"machine"	"machine"	"source"	"原文表示"	"1dungeon.zil"	"590"	"MACHINE"	"DESC"
"object.INFLATED-BOAT.DESC"	"magic boat"	"magic boat"	"source"	"原文表示"	"1dungeon.zil"	"598"	"INFLATED-BOAT"	"DESC"
"object.MAILBOX.DESC"	"small mailbox"	"small mailbox"	"source"	"原文表示"	"1dungeon.zil"	"609"	"MAILBOX"	"DESC"
"object.MATCH.DESC"	"matchbook"	"matchbook"	"source"	"原文表示"	"1dungeon.zil"	"618"	"MATCH"	"DESC"
"object.MATCH.LDESC"	"There is a matchbook whose cover says ""Visit Beautiful FCD#3"" here."	"There is a matchbook whose cover says ""Visit Beautiful FCD#3"" here."	"source"	"原文表示"	"1dungeon.zil"	"622"	"MATCH"	"LDESC"
"object.MATCH.TEXT"	"|\n(Close cover before striking)|\n|\nYOU too can make BIG MONEY in the exciting field of PAPER SHUFFLING!|\n|\nMr. Anderson of Muddle, Mass. says: ""Before I took this course I\nwas a lowly bit twiddler. Now with what I learned at GUE Tech\nI feel really important and can obfuscate and confuse with the best.""|\n|\nDr. Blank had this to say: ""Ten short days ago all I could look\nforward to was a dead-end job as a doctor. Now I have a promising\nfuture and make really big Zorkmids.""|\n|\nGUE Tech can't promise these fantastic results to everyone. But when\nyou earn your degree from GUE Tech, your future will be brighter."	"|\n(Close cover before striking)|\n|\nYOU too can make BIG MONEY in the exciting field of PAPER SHUFFLING!|\n|\nMr. Anderson of Muddle, Mass. says: ""Before I took this course I\nwas a lowly bit twiddler. Now with what I learned at GUE Tech\nI feel really important and can obfuscate and confuse with the best.""|\n|\nDr. Blank had this to say: ""Ten short days ago all I could look\nforward to was a dead-end job as a doctor. Now I have a promising\nfuture and make really big Zorkmids.""|\n|\nGUE Tech can't promise these fantastic results to everyone. But when\nyou earn your degree from GUE Tech, your future will be brighter."	"source"	"原文表示"	"1dungeon.zil"	"625"	"MATCH"	"TEXT"
"object.MIRROR-2.DESC"	"mirror"	"mirror"	"source"	"原文表示"	"1dungeon.zil"	"644"	"MIRROR-2"	"DESC"
"object.MIRROR-1.DESC"	"mirror"	"mirror"	"source"	"原文表示"	"1dungeon.zil"	"651"	"MIRROR-1"	"DESC"
"object.PAINTING.DESC"	"painting"	"painting"	"source"	"原文表示"	"1dungeon.zil"	"659"	"PAINTING"	"DESC"
"object.PAINTING.FDESC"	"Fortunately, there is still one chance for you to be a vandal, for on\nthe far wall is a painting of unparalleled beauty."	"Fortunately, there is still one chance for you to be a vandal, for on\nthe far wall is a painting of unparalleled beauty."	"source"	"原文表示"	"1dungeon.zil"	"663"	"PAINTING"	"FDESC"
"object.PAINTING.LDESC"	"A painting by a neglected genius is here."	"A painting by a neglected genius is here."	"source"	"原文表示"	"1dungeon.zil"	"665"	"PAINTING"	"LDESC"
"object.CANDLES.DESC"	"pair of candles"	"pair of candles"	"source"	"原文表示"	"1dungeon.zil"	"674"	"CANDLES"	"DESC"
"object.CANDLES.FDESC"	"On the two ends of the altar are burning candles."	"On the two ends of the altar are burning candles."	"source"	"原文表示"	"1dungeon.zil"	"677"	"CANDLES"	"FDESC"
"object.GUNK.DESC"	"small piece of vitreous slag"	"small piece of vitreous slag"	"source"	"原文表示"	"1dungeon.zil"	"683"	"GUNK"	"DESC"
"object.BODIES.DESC"	"pile of bodies"	"pile of bodies"	"source"	"原文表示"	"1dungeon.zil"	"692"	"BODIES"	"DESC"
"object.LEAVES.DESC"	"pile of leaves"	"pile of leaves"	"source"	"原文表示"	"1dungeon.zil"	"699"	"LEAVES"	"DESC"
"object.LEAVES.LDESC"	"On the ground is a pile of leaves."	"On the ground is a pile of leaves."	"source"	"原文表示"	"1dungeon.zil"	"702"	"LEAVES"	"LDESC"
"object.PUNCTURED-BOAT.DESC"	"punctured boat"	"punctured boat"	"source"	"原文表示"	"1dungeon.zil"	"708"	"PUNCTURED-BOAT"	"DESC"
"object.INFLATABLE-BOAT.DESC"	"pile of plastic"	"pile of plastic"	"source"	"原文表示"	"1dungeon.zil"	"717"	"INFLATABLE-BOAT"	"DESC"
"object.INFLATABLE-BOAT.LDESC"	"There is a folded pile of plastic here which has a small valve\nattached."	"There is a folded pile of plastic here which has a small valve\nattached."	"source"	"原文表示"	"1dungeon.zil"	"721"	"INFLATABLE-BOAT"	"LDESC"
"object.BAR.DESC"	"platinum bar"	"platinum bar"	"source"	"原文表示"	"1dungeon.zil"	"729"	"BAR"	"DESC"
"object.BAR.LDESC"	"On the ground is a large platinum bar."	"On the ground is a large platinum bar."	"source"	"原文表示"	"1dungeon.zil"	"731"	"BAR"	"LDESC"
"object.POT-OF-GOLD.DESC"	"pot of gold"	"pot of gold"	"source"	"原文表示"	"1dungeon.zil"	"740"	"POT-OF-GOLD"	"DESC"
"object.POT-OF-GOLD.FDESC"	"At the end of the rainbow is a pot of gold."	"At the end of the rainbow is a pot of gold."	"source"	"原文表示"	"1dungeon.zil"	"742"	"POT-OF-GOLD"	"FDESC"
"object.PRAYER.DESC"	"prayer"	"prayer"	"source"	"原文表示"	"1dungeon.zil"	"751"	"PRAYER"	"DESC"
"object.PRAYER.TEXT"	"The prayer is inscribed in an ancient script, rarely used today. It seems\nto be a philippic against small insects, absent-mindedness, and the picking\nup and dropping of small objects. The final verse consigns trespassers to\nthe land of the dead. All evidence indicates that the beliefs of the ancient\nZorkers were obscure."	"The prayer is inscribed in an ancient script, rarely used today. It seems\nto be a philippic against small insects, absent-mindedness, and the picking\nup and dropping of small objects. The final verse consigns trespassers to\nthe land of the dead. All evidence indicates that the beliefs of the ancient\nZorkers were obscure."	"source"	"原文表示"	"1dungeon.zil"	"754"	"PRAYER"	"TEXT"
"object.RAILING.DESC"	"wooden railing"	"wooden railing"	"source"	"原文表示"	"1dungeon.zil"	"764"	"RAILING"	"DESC"
"object.RAINBOW.DESC"	"rainbow"	"rainbow"	"source"	"原文表示"	"1dungeon.zil"	"770"	"RAINBOW"	"DESC"
"object.RIVER.DESC"	"river"	"river"	"source"	"原文表示"	"1dungeon.zil"	"776"	"RIVER"	"DESC"
"object.BUOY.DESC"	"red buoy"	"red buoy"	"source"	"原文表示"	"1dungeon.zil"	"786"	"BUOY"	"DESC"
"object.BUOY.FDESC"	"There is a red buoy here (probably a warning)."	"There is a red buoy here (probably a warning)."	"source"	"原文表示"	"1dungeon.zil"	"788"	"BUOY"	"FDESC"
"object.ROPE.DESC"	"rope"	"rope"	"source"	"原文表示"	"1dungeon.zil"	"801"	"ROPE"	"DESC"
"object.ROPE.FDESC"	"A large coil of rope is lying in the corner."	"A large coil of rope is lying in the corner."	"source"	"原文表示"	"1dungeon.zil"	"804"	"ROPE"	"FDESC"
"object.RUSTY-KNIFE.DESC"	"rusty knife"	"rusty knife"	"source"	"原文表示"	"1dungeon.zil"	"811"	"RUSTY-KNIFE"	"DESC"
"object.RUSTY-KNIFE.FDESC"	"Beside the skeleton is a rusty knife."	"Beside the skeleton is a rusty knife."	"source"	"原文表示"	"1dungeon.zil"	"814"	"RUSTY-KNIFE"	"FDESC"
"object.SAND.DESC"	"sand"	"sand"	"source"	"原文表示"	"1dungeon.zil"	"820"	"SAND"	"DESC"
"object.BRACELET.DESC"	"sapphire-encrusted bracelet"	"sapphire-encrusted bracelet"	"source"	"原文表示"	"1dungeon.zil"	"828"	"BRACELET"	"DESC"
"object.SCREWDRIVER.DESC"	"screwdriver"	"screwdriver"	"source"	"原文表示"	"1dungeon.zil"	"838"	"SCREWDRIVER"	"DESC"
"object.KEYS.DESC"	"skeleton key"	"skeleton key"	"source"	"原文表示"	"1dungeon.zil"	"845"	"KEYS"	"DESC"
"object.SHOVEL.DESC"	"shovel"	"shovel"	"source"	"原文表示"	"1dungeon.zil"	"852"	"SHOVEL"	"DESC"
"object.COAL.DESC"	"small pile of coal"	"small pile of coal"	"source"	"原文表示"	"1dungeon.zil"	"860"	"COAL"	"DESC"
"object.LADDER.DESC"	"wooden ladder"	"wooden ladder"	"source"	"原文表示"	"1dungeon.zil"	"868"	"LADDER"	"DESC"
"object.SCARAB.DESC"	"beautiful jeweled scarab"	"beautiful jeweled scarab"	"source"	"原文表示"	"1dungeon.zil"	"875"	"SCARAB"	"DESC"
"object.LARGE-BAG.DESC"	"large bag"	"large bag"	"source"	"原文表示"	"1dungeon.zil"	"885"	"LARGE-BAG"	"DESC"
"object.STILETTO.DESC"	"stiletto"	"stiletto"	"source"	"原文表示"	"1dungeon.zil"	"893"	"STILETTO"	"DESC"
"object.MACHINE-SWITCH.DESC"	"switch"	"switch"	"source"	"原文表示"	"1dungeon.zil"	"901"	"MACHINE-SWITCH"	"DESC"
"object.WOODEN-DOOR.DESC"	"wooden door"	"wooden door"	"source"	"原文表示"	"1dungeon.zil"	"909"	"WOODEN-DOOR"	"DESC"
"object.WOODEN-DOOR.TEXT"	"The engravings translate to ""This space intentionally left blank."""	"The engravings translate to ""This space intentionally left blank."""	"source"	"原文表示"	"1dungeon.zil"	"913"	"WOODEN-DOOR"	"TEXT"
"object.SWORD.DESC"	"sword"	"sword"	"source"	"原文表示"	"1dungeon.zil"	"919"	"SWORD"	"DESC"
"object.SWORD.FDESC"	"Above the trophy case hangs an elvish sword of great antiquity."	"Above the trophy case hangs an elvish sword of great antiquity."	"source"	"原文表示"	"1dungeon.zil"	"923"	"SWORD"	"FDESC"
"object.MAP.DESC"	"ancient map"	"ancient map"	"source"	"原文表示"	"1dungeon.zil"	"931"	"MAP"	"DESC"
"object.MAP.FDESC"	"In the trophy case is an ancient parchment which appears to be a map."	"In the trophy case is an ancient parchment which appears to be a map."	"source"	"原文表示"	"1dungeon.zil"	"934"	"MAP"	"FDESC"
"object.MAP.TEXT"	"The map shows a forest with three clearings. The largest clearing contains\na house. Three paths leave the large clearing. One of these paths, leading\nsouthwest, is marked ""To Stone Barrow""."	"The map shows a forest with three clearings. The largest clearing contains\na house. Three paths leave the large clearing. One of these paths, leading\nsouthwest, is marked ""To Stone Barrow""."	"source"	"原文表示"	"1dungeon.zil"	"937"	"MAP"	"TEXT"
"object.BOAT-LABEL.DESC"	"tan label"	"tan label"	"source"	"原文表示"	"1dungeon.zil"	"945"	"BOAT-LABEL"	"DESC"
"object.BOAT-LABEL.TEXT"	"  !!!!FROBOZZ MAGIC BOAT COMPANY!!!!|\n|\nHello, Sailor!|\n|\nInstructions for use:|\n|\n   To get into a body of water, say ""Launch"".|\n   To get to shore, say ""Land"" or the direction in which you want\nto maneuver the boat.|\n|\nWarranty:|\n|\n  This boat is guaranteed against all defects for a period of 76\nmilliseconds from date of purchase or until first used, whichever comes first.|\n|\nWarning:|\n   This boat is made of thin plastic.|\n   Good Luck!"	"  !!!!FROBOZZ MAGIC BOAT COMPANY!!!!|\n|\nHello, Sailor!|\n|\nInstructions for use:|\n|\n   To get into a body of water, say ""Launch"".|\n   To get to shore, say ""Land"" or the direction in which you want\nto maneuver the boat.|\n|\nWarranty:|\n|\n  This boat is guaranteed against all defects for a period of 76\nmilliseconds from date of purchase or until first used, whichever comes first.|\n|\nWarning:|\n   This boat is made of thin plastic.|\n   Good Luck!"	"source"	"原文表示"	"1dungeon.zil"	"949"	"BOAT-LABEL"	"TEXT"
"object.THIEF.DESC"	"thief"	"thief"	"source"	"原文表示"	"1dungeon.zil"	"972"	"THIEF"	"DESC"
"object.THIEF.LDESC"	"There is a suspicious-looking individual, holding a large bag, leaning\nagainst one wall. He is armed with a deadly stiletto."	"There is a suspicious-looking individual, holding a large bag, leaning\nagainst one wall. He is armed with a deadly stiletto."	"source"	"原文表示"	"1dungeon.zil"	"976"	"THIEF"	"LDESC"
"object.PEDESTAL.DESC"	"pedestal"	"pedestal"	"source"	"原文表示"	"1dungeon.zil"	"984"	"PEDESTAL"	"DESC"
"object.TORCH.DESC"	"torch"	"torch"	"source"	"原文表示"	"1dungeon.zil"	"993"	"TORCH"	"DESC"
"object.TORCH.FDESC"	"Sitting on the pedestal is a flaming torch, made of ivory."	"Sitting on the pedestal is a flaming torch, made of ivory."	"source"	"原文表示"	"1dungeon.zil"	"996"	"TORCH"	"FDESC"
"object.GUIDE.DESC"	"tour guidebook"	"tour guidebook"	"source"	"原文表示"	"1dungeon.zil"	"1005"	"GUIDE"	"DESC"
"object.GUIDE.FDESC"	"Some guidebooks entitled ""Flood Control Dam #3"" are on the reception\ndesk."	"Some guidebooks entitled ""Flood Control Dam #3"" are on the reception\ndesk."	"source"	"原文表示"	"1dungeon.zil"	"1008"	"GUIDE"	"FDESC"
