"id"	"english"	"translation"	"status"	"notes"	"source_file"	"line"	"routine"	"container"
"message.1actions.GRANITE-WALL-F.67.01"	"The west wall is solid granite here."	"The west wall is solid granite here."	"source"	"原文表示"	"1actions.zil"	"67"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.69.01"	"It's solid granite."	"It's solid granite."	"source"	"原文表示"	"1actions.zil"	"69"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.72.01"	"The east wall is solid granite here."	"The east wall is solid granite here."	"source"	"原文表示"	"1actions.zil"	"72"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.74.01"	"It's solid granite."	"It's solid granite."	"source"	"原文表示"	"1actions.zil"	"74"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.77.01"	"It only SAYS ""Granite Wall""."	"It only SAYS ""Granite Wall""."	"source"	"原文表示"	"1actions.zil"	"77"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.78.01"	"The wall isn't granite."	"The wall isn't granite."	"source"	"原文表示"	"1actions.zil"	"78"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.80.01"	"There is no granite wall here."	"There is no granite wall here."	"source"	"原文表示"	"1actions.zil"	"80"	"GRANITE-WALL-F"	"TELL"
"message.1actions.SONGBIRD-F.84.01"	"The songbird is not here but is probably nearby."	"The songbird is not here but is probably nearby."	"source"	"原文表示"	"1actions.zil"	"84"	"SONGBIRD-F"	"TELL"
"message.1actions.SONGBIRD-F.86.01"	"You can't hear the songbird now."	"You can't hear the songbird now."	"source"	"原文表示"	"1actions.zil"	"86"	"SONGBIRD-F"	"TELL"
"message.1actions.SONGBIRD-F.88.01"	"It can't be followed."	"It can't be followed."	"source"	"原文表示"	"1actions.zil"	"88"	"SONGBIRD-F"	"TELL"
"message.1actions.SONGBIRD-F.90.01"	"You can't see any songbird here."	"You can't see any songbird here."	"source"	"原文表示"	"1actions.zil"	"90"	"SONGBIRD-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.95.01"	"Why not find your brains?"	"Why not find your brains?"	"source"	"原文表示"	"1actions.zil"	"95"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.103.01"	"It seems to be to the west."	"It seems to be to the west."	"source"	"原文表示"	"1actions.zil"	"103"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.105.01"	"It was here just a minute ago...."	"It was here just a minute ago...."	"source"	"原文表示"	"1actions.zil"	"105"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.106.01"	"You're not at the house."	"You're not at the house."	"source"	"原文表示"	"1actions.zil"	"106"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.109.01"	"It's right here! Are you blind or something?"	"It's right here! Are you blind or something?"	"source"	"原文表示"	"1actions.zil"	"109"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.115.01"	"The house is a beautiful colonial house which is painted white.\nIt is clear that the owners must have been extremely wealthy."	"The house is a beautiful colonial house which is painted white.\nIt is clear that the owners must have been extremely wealthy."	"source"	"原文表示"	"1actions.zil"	"115"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.122.01"	"The window is closed."	"The window is closed."	"source"	"原文表示"	"1actions.zil"	"122"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.125.01"	"I can't see how to get in from here."	"I can't see how to get in from here."	"source"	"原文表示"	"1actions.zil"	"125"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.127.01"	"You must be joking."	"You must be joking."	"source"	"原文表示"	"1actions.zil"	"127"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.FOREST-F.142.01"	"You aren't even in the forest."	"You aren't even in the forest."	"source"	"原文表示"	"1actions.zil"	"142"	"FOREST-F"	"TELL"
"message.1actions.FOREST-F.145.01"	"You will have to specify a direction."	"You will have to specify a direction."	"source"	"原文表示"	"1actions.zil"	"145"	"FOREST-F"	"TELL"
"message.1actions.FOREST-F.147.01"	"You cannot see the forest for the trees."	"You cannot see the forest for the trees."	"source"	"原文表示"	"1actions.zil"	"147"	"FOREST-F"	"TELL"
"message.1actions.FOREST-F.149.01"	"The pines and the hemlocks seem to be murmuring."	"The pines and the hemlocks seem to be murmuring."	"source"	"原文表示"	"1actions.zil"	"149"	"FOREST-F"	"TELL"
"message.1actions.MOUNTAIN-RANGE-F.154.01"	"Don't you believe me? The mountains are impassable!"	"Don't you believe me? The mountains are impassable!"	"source"	"原文表示"	"1actions.zil"	"154"	"MOUNTAIN-RANGE-F"	"TELL"
"message.1actions.WATER-F.187.01"	"There is now a puddle in the bottom of the "	"There is now a puddle in the bottom of the "	"source"	"原文表示"	"1actions.zil"	"187"	"WATER-F"	"TELL"
"message.1actions.WATER-F.188.01"	"."	"."	"source"	"原文表示"	"1actions.zil"	"188"	"WATER-F"	"TELL"
"message.1actions.WATER-F.192.01"	"The water leaks out of the "	"The water leaks out of the "	"source"	"原文表示"	"1actions.zil"	"192"	"WATER-F"	"TELL"
"message.1actions.WATER-F.193.01"	" and evaporates immediately."	" and evaporates immediately."	"source"	"原文表示"	"1actions.zil"	"193"	"WATER-F"	"TELL"
"message.1actions.WATER-F.197.01"	"The bottle is closed."	"The bottle is closed."	"source"	"原文表示"	"1actions.zil"	"197"	"WATER-F"	"TELL"
"message.1actions.WATER-F.201.01"	"The bottle is now full of water."	"The bottle is now full of water."	"source"	"原文表示"	"1actions.zil"	"201"	"WATER-F"	"TELL"
"message.1actions.WATER-F.203.01"	"The water slips through your fingers."	"The water slips through your fingers."	"source"	"原文表示"	"1actions.zil"	"203"	"WATER-F"	"TELL"
"message.1actions.WATER-F.209.01"	"It's in the bottle. Perhaps you should take that instead."	"It's in the bottle. Perhaps you should take that instead."	"source"	"原文表示"	"1actions.zil"	"209"	"WATER-F"	"TELL"
"message.1actions.WATER-F.211.01"	"The water slips through your fingers."	"The water slips through your fingers."	"source"	"原文表示"	"1actions.zil"	"211"	"WATER-F"	"TELL"
"message.1actions.WATER-F.217.01"	"Nice try."	"Nice try."	"source"	"原文表示"	"1actions.zil"	"217"	"WATER-F"	"TELL"
"message.1actions.WATER-F.223.01"	"The bottle is closed."	"The bottle is closed."	"source"	"原文表示"	"1actions.zil"	"223"	"WATER-F"	"TELL"
"message.1actions.WATER-F.227.01"	"There is now a puddle in the bottom of the "	"There is now a puddle in the bottom of the "	"source"	"原文表示"	"1actions.zil"	"227"	"WATER-F"	"TELL"
"message.1actions.WATER-F.228.01"	"."	"."	"source"	"原文表示"	"1actions.zil"	"228"	"WATER-F"	"TELL"
"message.1actions.WATER-F.232.01"	"The water spills to the floor and evaporates immediately."	"The water spills to the floor and evaporates immediately."	"source"	"原文表示"	"1actions.zil"	"232"	"WATER-F"	"TELL"
"message.1actions.WATER-F.236.01"	"The water splashes on the walls and evaporates immediately."	"The water splashes on the walls and evaporates immediately."	"source"	"原文表示"	"1actions.zil"	"236"	"WATER-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.245.01"	"With great effort, you open the window far enough to allow entry."	"With great effort, you open the window far enough to allow entry."	"source"	"原文表示"	"1actions.zil"	"245"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"
"message.1actions.KITCHEN-WINDOW-F.246.01"	"The window closes (more easily than it opened)."	"The window closes (more easily than it opened)."	"source"	"原文表示"	"1actions.zil"	"246"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"
"message.1actions.KITCHEN-WINDOW-F.250.01"	"The window is slightly ajar, but not enough to allow entry."	"The window is slightly ajar, but not enough to allow entry."	"source"	"原文表示"	"1actions.zil"	"250"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.258.01"	"You can see "	"You can see "	"source"	"原文表示"	"1actions.zil"	"258"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.260.01"	"a clear area leading towards a forest."	"a clear area leading towards a forest."	"source"	"原文表示"	"1actions.zil"	"260"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.262.01"	"what appears to be a kitchen."	"what appears to be a kitchen."	"source"	"原文表示"	"1actions.zil"	"262"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.GHOSTS-F.266.01"	"The spirits jeer loudly and ignore you."	"The spirits jeer loudly and ignore you."	"source"	"原文表示"	"1actions.zil"	"266"	"GHOSTS-F"	"TELL"
"message.1actions.GHOSTS-F.269.01"	"Only the ceremony itself has any effect."	"Only the ceremony itself has any effect."	"source"	"原文表示"	"1actions.zil"	"269"	"GHOSTS-F"	"TELL"
"message.1actions.GHOSTS-F.271.01"	"How can you attack a spirit with material objects?"	"How can you attack a spirit with material objects?"	"source"	"原文表示"	"1actions.zil"	"271"	"GHOSTS-F"	"TELL"
"message.1actions.GHOSTS-F.273.01"	"You seem unable to interact with these spirits."	"You seem unable to interact with these spirits."	"source"	"原文表示"	"1actions.zil"	"273"	"GHOSTS-F"	"TELL"
"message.1actions.BASKET-F.287.01"	"The basket is raised to the top of the shaft."	"The basket is raised to the top of the shaft."	"source"	"原文表示"	"1actions.zil"	"287"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.296.01"	"The basket is lowered to the bottom of the shaft."	"The basket is lowered to the bottom of the shaft."	"source"	"原文表示"	"1actions.zil"	"296"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.299.01"	"It is now pitch black."	"It is now pitch black."	"source"	"原文表示"	"1actions.zil"	"299"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.303.01"	"The basket is at the other end of the chain."	"The basket is at the other end of the chain."	"source"	"原文表示"	"1actions.zil"	"303"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.306.01"	"The cage is securely fastened to the iron chain."	"The cage is securely fastened to the iron chain."	"source"	"原文表示"	"1actions.zil"	"306"	"BASKET-F"	"TELL"
"message.1actions.BAT-F.314.01"	"You can't reach him; he's on the ceiling."	"You can't reach him; he's on the ceiling."	"source"	"原文表示"	"1actions.zil"	"314"	"BAT-F"	"TELL"
"message.1actions.FLY-ME.320.01"	"The bat grabs you by the scruff of your neck and lifts you away...."	"The bat grabs you by the scruff of your neck and lifts you away...."	"source"	"原文表示"	"1actions.zil"	"320"	"FLY-ME"	"TELL"
"message.1actions.FWEEP.329.01"	"    Fweep!"	"    Fweep!"	"source"	"原文表示"	"1actions.zil"	"329"	"FWEEP"	"TELL"
"message.1actions.BELL-F.349.01"	"Ding, dong."	"Ding, dong."	"source"	"原文表示"	"1actions.zil"	"349"	"BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.353.01"	"The bell is very hot and cannot be taken."	"The bell is very hot and cannot be taken."	"source"	"原文表示"	"1actions.zil"	"353"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.356.01"	"The "	"The "	"source"	"原文表示"	"1actions.zil"	"356"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.356.02"	" burns and is consumed."	" burns and is consumed."	"source"	"原文表示"	"1actions.zil"	"356"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.359.01"	"The bell is too hot to touch."	"The bell is too hot to touch."	"source"	"原文表示"	"1actions.zil"	"359"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.361.01"	"The heat from the bell is too intense."	"The heat from the bell is too intense."	"source"	"原文表示"	"1actions.zil"	"361"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.364.01"	"The water cools the bell and is evaporated."	"The water cools the bell and is evaporated."	"source"	"原文表示"	"1actions.zil"	"364"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.368.01"	"The bell is too hot to reach."	"The bell is too hot to reach."	"source"	"原文表示"	"1actions.zil"	"368"	"HOT-BELL-F"	"TELL"
"message.1actions.BOARDED-WINDOW-FCN.372.01"	"The windows are boarded and can't be opened."	"The windows are boarded and can't be opened."	"source"	"原文表示"	"1actions.zil"	"372"	"BOARDED-WINDOW-FCN"	"TELL"
"message.1actions.BOARDED-WINDOW-FCN.374.01"	"You can't break the windows open."	"You can't break the windows open."	"source"	"原文表示"	"1actions.zil"	"374"	"BOARDED-WINDOW-FCN"	"TELL"
"message.1actions.NAILS-PSEUDO.379.01"	"The nails, deeply imbedded in the door, cannot be removed."	"The nails, deeply imbedded in the door, cannot be removed."	"source"	"原文表示"	"1actions.zil"	"379"	"NAILS-PSEUDO"	"TELL"
"message.1actions.CRACK-FCN.383.01"	"You can't fit through the crack."	"You can't fit through the crack."	"source"	"原文表示"	"1actions.zil"	"383"	"CRACK-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.388.01"	"You are in the kitchen of the white house. A table seems to\nhave been used recently for the preparation of food. A passage\nleads to the west and a dark staircase can be seen leading\nupward. A dark chimney leads down and to the east is a small\nwindow which is "	"You are in the kitchen of the white house. A table seems to\nhave been used recently for the preparation of food. A passage\nleads to the west and a dark staircase can be seen leading\nupward. A dark chimney leads down and to the east is a small\nwindow which is "	"source"	"原文表示"	"1actions.zil"	"388"	"KITCHEN-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.394.01"	"open."	"open."	"source"	"原文表示"	"1actions.zil"	"394"	"KITCHEN-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.396.01"	"slightly ajar."	"slightly ajar."	"source"	"原文表示"	"1actions.zil"	"396"	"KITCHEN-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.401.01"	"There are no stairs leading down."	"There are no stairs leading down."	"source"	"原文表示"	"1actions.zil"	"401"	"KITCHEN-FCN"	"TELL"
"message.1actions.STONE-BARROW-FCN.411.01"	"Inside the Barrow|\nAs you enter the barrow, the door closes inexorably behind you. Around\nyou it is dark, but ahead is an enormous cavern, brightly lit. Through\nits center runs a wide stream. Spanning the stream is a small wooden\nfootbridge, and beyond a path leads into a dark tunnel. Above the\nbridge, floating in the air, is a large sign. It reads:  All ye who\nstand before this bridge have completed a great and perilous adventure\nwhich has tested your wit and courage. You have mastered"	"Inside the Barrow|\nAs you enter the barrow, the door closes inexorably behind you. Around\nyou it is dark, but ahead is an enormous cavern, brightly lit. Through\nits center runs a wide stream. Spanning the stream is a small wooden\nfootbridge, and beyond a path leads into a dark tunnel. Above the\nbridge, floating in the air, is a large sign. It reads:  All ye who\nstand before this bridge have completed a great and perilous adventure\nwhich has tested your wit and courage. You have mastered"	"source"	"原文表示"	"1actions.zil"	"411"	"STONE-BARROW-FCN"	"TELL"
"message.1actions.STONE-BARROW-FCN.420.01"	"\nthe first part of the ZORK trilogy. Those who pass over this bridge must be\nprepared to undertake an even greater adventure that will severely test your\nskill and bravery!|\n|\nThe ZORK trilogy continues with ""ZORK II: The Wizard of Frobozz"" and\nis completed in ""ZORK III: The Dungeon Master."""	"\nthe first part of the ZORK trilogy. Those who pass over this bridge must be\nprepared to undertake an even greater adventure that will severely test your\nskill and bravery!|\n|\nThe ZORK trilogy continues with ""ZORK II: The Wizard of Frobozz"" and\nis completed in ""ZORK III: The Dungeon Master."""	"source"	"原文表示"	"1actions.zil"	"420"	"STONE-BARROW-FCN"	"TELL"
"message.1actions.STONE-BARROW-FCN.428.01"	"\nZORK: The Great Underground Empire.|"	"\nZORK: The Great Underground Empire.|"	"source"	"原文表示"	"1actions.zil"	"428"	"STONE-BARROW-FCN"	"TELL"
"message.1actions.BARROW-DOOR-FCN.434.01"	"The door is too heavy."	"The door is too heavy."	"source"	"原文表示"	"1actions.zil"	"434"	"BARROW-DOOR-FCN"	"TELL"
"message.1actions.TROPHY-CASE-FCN.445.01"	"The trophy case is securely fastened to the wall."	"The trophy case is securely fastened to the wall."	"source"	"原文表示"	"1actions.zil"	"445"	"TROPHY-CASE-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.452.01"	"You are in the living room. There is a doorway to the east"	"You are in the living room. There is a doorway to the east"	"source"	"原文表示"	"1actions.zil"	"452"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.455.01"	". To the\nwest is a cyclops-shaped opening in an old wooden door, above which is\nsome strange gothic lettering, "	". To the\nwest is a cyclops-shaped opening in an old wooden door, above which is\nsome strange gothic lettering, "	"source"	"原文表示"	"1actions.zil"	"455"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.460.01"	", a wooden\ndoor with strange gothic lettering to the west, which appears to be\nnailed shut, "	", a wooden\ndoor with strange gothic lettering to the west, which appears to be\nnailed shut, "	"source"	"原文表示"	"1actions.zil"	"460"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.463.01"	"a trophy case, "	"a trophy case, "	"source"	"原文表示"	"1actions.zil"	"463"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.467.01"	"and a rug lying beside an open trap door."	"and a rug lying beside an open trap door."	"source"	"原文表示"	"1actions.zil"	"467"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.469.01"	"and a closed trap door at your feet."	"and a closed trap door at your feet."	"source"	"原文表示"	"1actions.zil"	"469"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.471.01"	"and an open trap door at your feet."	"and an open trap door at your feet."	"source"	"原文表示"	"1actions.zil"	"471"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.474.01"	"and a large oriental rug in the center of the room."	"and a large oriental rug in the center of the room."	"source"	"原文表示"	"1actions.zil"	"474"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.511.01"	"The door reluctantly opens to reveal a rickety staircase descending into\ndarkness."	"The door reluctantly opens to reveal a rickety staircase descending into\ndarkness."	"source"	"原文表示"	"1actions.zil"	"511"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"
"message.1actions.TRAP-DOOR-FCN.513.01"	"The door swings shut and closes."	"The door swings shut and closes."	"source"	"原文表示"	"1actions.zil"	"513"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"
"message.1actions.TRAP-DOOR-FCN.517.01"	"You see a rickety staircase descending into darkness."	"You see a rickety staircase descending into darkness."	"source"	"原文表示"	"1actions.zil"	"517"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.518.01"	"It's closed."	"It's closed."	"source"	"原文表示"	"1actions.zil"	"518"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.523.01"	"The door is locked from above."	"The door is locked from above."	"source"	"原文表示"	"1actions.zil"	"523"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.527.01"	"The door closes and locks."	"The door closes and locks."	"source"	"原文表示"	"1actions.zil"	"527"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.CELLAR-FCN.534.01"	"You are in a dark and damp cellar with a narrow passageway leading\nnorth, and a crawlway to the south. On the west is the bottom of a\nsteep metal ramp which is unclimbable."	"You are in a dark and damp cellar with a narrow passageway leading\nnorth, and a crawlway to the south. On the west is the bottom of a\nsteep metal ramp which is unclimbable."	"source"	"原文表示"	"1actions.zil"	"534"	"CELLAR-FCN"	"TELL"
"message.1actions.CELLAR-FCN.543.01"	"The trap door crashes shut, and you hear someone barring it."	"The trap door crashes shut, and you hear someone barring it."	"source"	"原文表示"	"1actions.zil"	"543"	"CELLAR-FCN"	"TELL"
"message.1actions.CHIMNEY-F.547.01"	"The chimney leads "	"The chimney leads "	"source"	"原文表示"	"1actions.zil"	"547"	"CHIMNEY-F"	"TELL"
"message.1actions.CHIMNEY-F.549.01"	"down"	"down"	"source"	"原文表示"	"1actions.zil"	"549"	"CHIMNEY-F"	"TELL"
"message.1actions.CHIMNEY-F.550.01"	"up"	"up"	"source"	"原文表示"	"1actions.zil"	"550"	"CHIMNEY-F"	"TELL"
"message.1actions.CHIMNEY-F.551.01"	"ward, and looks climbable."	"ward, and looks climbable."	"source"	"原文表示"	"1actions.zil"	"551"	"CHIMNEY-F"	"TELL"
"message.1actions.UP-CHIMNEY-FUNCTION.555.01"	"Going up empty-handed is a bad idea."	"Going up empty-handed is a bad idea."	"source"	"原文表示"	"1actions.zil"	"555"	"UP-CHIMNEY-FUNCTION"	"TELL"
"message.1actions.UP-CHIMNEY-FUNCTION.564.01"	"You can't get up there with what you're carrying."	"You can't get up there with what you're carrying."	"source"	"原文表示"	"1actions.zil"	"564"	"UP-CHIMNEY-FUNCTION"	"TELL"
"message.1actions.TRAP-DOOR-EXIT.572.01"	"The trap door is closed."	"The trap door is closed."	"source"	"原文表示"	"1actions.zil"	"572"	"TRAP-DOOR-EXIT"	"TELL"
"message.1actions.TRAP-DOOR-EXIT.576.01"	"You can't go that way."	"You can't go that way."	"source"	"原文表示"	"1actions.zil"	"576"	"TRAP-DOOR-EXIT"	"TELL"
"message.1actions.RUG-FCN.581.01"	"The rug is too heavy to lift"	"The rug is too heavy to lift"	"source"	"原文表示"	"1actions.zil"	"581"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.583.01"	"."	"."	"source"	"原文表示"	"1actions.zil"	"583"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.586.01"	", but in trying to take it you have\nnoticed an irregularity beneath it."	", but in trying to take it you have\nnoticed an irregularity beneath it."	"source"	"原文表示"	"1actions.zil"	"586"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.591.01"	"Having moved the carpet previously, you find it impossible to move\nit again."	"Having moved the carpet previously, you find it impossible to move\nit again."	"source"	"原文表示"	"1actions.zil"	"591"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.595.01"	"With a great effort, the rug is moved to one side of the room, revealing\nthe dusty cover of a closed trap door."	"With a great effort, the rug is moved to one side of the room, revealing\nthe dusty cover of a closed trap door."	"source"	"原文表示"	"1actions.zil"	"595"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.602.01"	"The rug is extremely heavy and cannot be carried."	"The rug is extremely heavy and cannot be carried."	"source"	"原文表示"	"1actions.zil"	"602"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.607.01"	"Underneath the rug is a closed trap door. As you drop the corner of the\nrug, the trap door is once again concealed from view."	"Underneath the rug is a closed trap door. As you drop the corner of the\nrug, the trap door is once again concealed from view."	"source"	"原文表示"	"1actions.zil"	"607"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.613.01"	"As you sit, you notice an irregularity underneath it. Rather than be\nuncomfortable, you stand up again."	"As you sit, you notice an irregularity underneath it. Rather than be\nuncomfortable, you stand up again."	"source"	"原文表示"	"1actions.zil"	"613"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.616.01"	"I suppose you think it's a magic carpet?"	"I suppose you think it's a magic carpet?"	"source"	"原文表示"	"1actions.zil"	"616"	"RUG-FCN"	"TELL"
"message.1actions.WEAPON-FUNCTION.634.01"	"The "	"The "	"source"	"原文表示"	"1actions.zil"	"634"	"WEAPON-FUNCTION"	"TELL"
"message.1actions.WEAPON-FUNCTION.634.02"	" swings it out of your reach."	" swings it out of your reach."	"source"	"原文表示"	"1actions.zil"	"634"	"WEAPON-FUNCTION"	"TELL"
"message.1actions.WEAPON-FUNCTION.637.01"	"The "	"The "	"source"	"原文表示"	"1actions.zil"	"637"	"WEAPON-FUNCTION"	"TELL"
"message.1actions.WEAPON-FUNCTION.637.02"	" seems white-hot. You can't hold on to it."	" seems white-hot. You can't hold on to it."	"source"	"原文表示"	"1actions.zil"	"637"	"WEAPON-FUNCTION"	"TELL"
"message.1actions.TROLL-FCN.643.01"	"The troll isn't much of a conversationalist."	"The troll isn't much of a conversationalist."	"source"	"原文表示"	"1actions.zil"	"643"	"TROLL-FCN"	"TELL"
"message.1actions.TROLL-FCN.651.01"	"A nasty-looking troll, brandishing a bloody axe, blocks all passages out\nof the room."	"A nasty-looking troll, brandishing a bloody axe, blocks all passages out\nof the room."	"source"	"原文表示"	"1actions.zil"	"651"	"TROLL-FCN"	"PUTP"
"message.1actions.TROLL-FCN.655.01"	"The troll, angered and humiliated, recovers his weapon. He appears to have\nan axe to grind with you."	"The troll, angered and humiliated, recovers his weapon. He appears to have\nan axe to grind with you."	"source"	"原文表示"	"1actions.zil"	"655"	"TROLL-FCN"	"TELL"
"message.1actions.TROLL-FCN.660.01"	"A pathetically babbling troll is here."	"A pathetically babbling troll is here."	"source"	"原文表示"	"1actions.zil"	"660"	"TROLL-FCN"	"PUTP"
"message.1actions.TROLL-FCN.662.01"	"The troll, disarmed, cowers in terror, pleading for his life in\nthe guttural tongue of the trolls."	"The troll, disarmed, cowers in terror, pleading for his life in\nthe guttural tongue of the trolls."	"source"	"原文表示"	"1actions.zil"	"662"	"TROLL-FCN"	"TELL"
"message.1actions.TROLL-FCN.678.01"	"An unconscious troll is sprawled on the floor. All passages\nout of the room are open."	"An unconscious troll is sprawled on the floor. All passages\nout of the room are open."	"source"	"原文表示"	"1actions.zil"	"678"	"TROLL-FCN"	"PUTP"
"message.1actions.TROLL-FCN.685.01"	"The troll stirs, quickly resuming a fighting stance."	"The troll stirs, quickly resuming a fighting stance."	"source"	"原文表示"	"1actions.zil"	"685"	"TROLL-FCN"	"TELL"
