"id"	"english"	"japanese"	"status"	"notes"	"source_file"	"line"	"routine"	"container"
"message.1actions.GRANITE-WALL-F.72.01"	"The east wall is solid granite here."	"ここでは東の壁が堅い花崗岩でできている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"72"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.74.01"	"It's solid granite."	"堅い花崗岩だ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"74"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.77.01"	"It only SAYS ""Granite Wall""."	"「花崗岩の壁」と書いてあるだけだ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"77"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.78.01"	"The wall isn't granite."	"この壁は花崗岩ではない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"78"	"GRANITE-WALL-F"	"TELL"
"message.1actions.GRANITE-WALL-F.80.01"	"There is no granite wall here."	"ここには花崗岩の壁がない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"80"	"GRANITE-WALL-F"	"TELL"
"message.1actions.SONGBIRD-F.84.01"	"The songbird is not here but is probably nearby."	"小鳥はここにはいないが、たぶん近くにいる。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"84"	"SONGBIRD-F"	"TELL"
"message.1actions.SONGBIRD-F.86.01"	"You can't hear the songbird now."	"今は小鳥の囀りは聞こえない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"86"	"SONGBIRD-F"	"TELL"
"message.1actions.SONGBIRD-F.88.01"	"It can't be followed."	"後を追うことはできない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"88"	"SONGBIRD-F"	"TELL"
"message.1actions.SONGBIRD-F.90.01"	"You can't see any songbird here."	"ここには小鳥の姿は見えない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"90"	"SONGBIRD-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.95.01"	"Why not find your brains?"	"先に自分の脳みそを探したらどうだ？"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"95"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.103.01"	"It seems to be to the west."	"西にあるようだ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"103"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.105.01"	"It was here just a minute ago...."	"たった今までここにあったのだが……。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"105"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.106.01"	"You're not at the house."	"今は家のそばにいない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"106"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.109.01"	"It's right here! Are you blind or something?"	"ここにある！　目が見えないのか？"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"109"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.115.01"	"The house is a beautiful colonial house which is painted white.\nIt is clear that the owners must have been extremely wealthy."	"その家は白く塗られた美しいコロニアル様式の邸宅だ。所有者がたいへんな富豪だったことは間違いない。"	"draft"	"家を調べた説明"	"1actions.zil"	"115"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.122.01"	"The window is closed."	"窓は閉まっている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"122"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.125.01"	"I can't see how to get in from here."	"ここから中へ入る方法は見当たらない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"125"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.WHITE-HOUSE-F.127.01"	"You must be joking."	"冗談だろう。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"127"	"WHITE-HOUSE-F"	"TELL"
"message.1actions.FOREST-F.142.01"	"You aren't even in the forest."	"そもそも森の中にいない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"142"	"FOREST-F"	"TELL"
"message.1actions.FOREST-F.145.01"	"You will have to specify a direction."	"方向を指定する必要がある。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"145"	"FOREST-F"	"TELL"
"message.1actions.FOREST-F.147.01"	"You cannot see the forest for the trees."	"木が邪魔で森は見えない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"147"	"FOREST-F"	"TELL"
"message.1actions.FOREST-F.149.01"	"The pines and the hemlocks seem to be murmuring."	"松とツガがささやき合っているようだ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"149"	"FOREST-F"	"TELL"
"message.1actions.MOUNTAIN-RANGE-F.154.01"	"Don't you believe me? The mountains are impassable!"	"信じないのか？　山々は越えられない！"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"154"	"MOUNTAIN-RANGE-F"	"TELL"
"message.1actions.WATER-F.187.01"	"There is now a puddle in the bottom of the "	""	"format"	"日本語語順のため空文字"	"1actions.zil"	"187"	"WATER-F"	"TELL"
"message.1actions.WATER-F.188.01"	"."	"の底に水たまりができた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"188"	"WATER-F"	"TELL"
"message.1actions.WATER-F.192.01"	"The water leaks out of the "	""	"format"	"日本語語順のため空文字"	"1actions.zil"	"192"	"WATER-F"	"TELL"
"message.1actions.WATER-F.193.01"	" and evaporates immediately."	"から水が漏れ、すぐに蒸発した。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"193"	"WATER-F"	"TELL"
"message.1actions.WATER-F.197.01"	"The bottle is closed."	"瓶は閉まっている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"197"	"WATER-F"	"TELL"
"message.1actions.WATER-F.201.01"	"The bottle is now full of water."	"瓶は水でいっぱいになった。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"201"	"WATER-F"	"TELL"
"message.1actions.WATER-F.203.01"	"The water slips through your fingers."	"水は指の間からこぼれ落ちた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"203"	"WATER-F"	"TELL"
"message.1actions.WATER-F.209.01"	"It's in the bottle. Perhaps you should take that instead."	"水は瓶の中にある。代わりに瓶を取るべきだろう。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"209"	"WATER-F"	"TELL"
"message.1actions.WATER-F.211.01"	"The water slips through your fingers."	"水は指の間からこぼれ落ちた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"211"	"WATER-F"	"TELL"
"message.1actions.WATER-F.217.01"	"Nice try."	"惜しかったな。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"217"	"WATER-F"	"TELL"
"message.1actions.WATER-F.223.01"	"The bottle is closed."	"瓶は閉まっている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"223"	"WATER-F"	"TELL"
"message.1actions.WATER-F.227.01"	"There is now a puddle in the bottom of the "	""	"format"	"日本語語順のため空文字"	"1actions.zil"	"227"	"WATER-F"	"TELL"
"message.1actions.WATER-F.228.01"	"."	"の底に水たまりができた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"228"	"WATER-F"	"TELL"
"message.1actions.WATER-F.232.01"	"The water spills to the floor and evaporates immediately."	"水は床へこぼれ、たちまち蒸発した。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"232"	"WATER-F"	"TELL"
"message.1actions.WATER-F.236.01"	"The water splashes on the walls and evaporates immediately."	"水は壁へ飛び散り、たちまち蒸発した。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"236"	"WATER-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.245.01"	"With great effort, you open the window far enough to allow entry."	"大変な力をかけ、通り抜けられるだけ窓を開いた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"245"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"
"message.1actions.KITCHEN-WINDOW-F.246.01"	"The window closes (more easily than it opened)."	"窓は閉まった。開けた時よりずっと簡単だった。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"246"	"KITCHEN-WINDOW-F"	"OPEN-CLOSE"
"message.1actions.KITCHEN-WINDOW-F.250.01"	"The window is slightly ajar, but not enough to allow entry."	"窓はわずかに開いているが、通り抜けられるほどではない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"250"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.258.01"	"You can see "	"見えるのは、"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"258"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.260.01"	"a clear area leading towards a forest."	"森へ続く空き地だ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"260"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.KITCHEN-WINDOW-F.262.01"	"what appears to be a kitchen."	"台所らしき部屋だ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"262"	"KITCHEN-WINDOW-F"	"TELL"
"message.1actions.GHOSTS-F.266.01"	"The spirits jeer loudly and ignore you."	"亡霊たちは大声で嘲り、あなたを無視した。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"266"	"GHOSTS-F"	"TELL"
"message.1actions.GHOSTS-F.269.01"	"Only the ceremony itself has any effect."	"効き目があるのは儀式そのものだけだ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"269"	"GHOSTS-F"	"TELL"
"message.1actions.GHOSTS-F.271.01"	"How can you attack a spirit with material objects?"	"物質の武器で霊を攻撃できるわけがない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"271"	"GHOSTS-F"	"TELL"
"message.1actions.GHOSTS-F.273.01"	"You seem unable to interact with these spirits."	"この霊たちには触れることすらできない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"273"	"GHOSTS-F"	"TELL"
"message.1actions.BASKET-F.287.01"	"The basket is raised to the top of the shaft."	"籠は縦穴の上端まで引き上げられた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"287"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.296.01"	"The basket is lowered to the bottom of the shaft."	"籠は縦穴の底まで下ろされた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"296"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.299.01"	"It is now pitch black."	"辺りは真っ暗になった。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"299"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.303.01"	"The basket is at the other end of the chain."	"籠は鎖の反対側にある。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"303"	"BASKET-F"	"TELL"
"message.1actions.BASKET-F.306.01"	"The cage is securely fastened to the iron chain."	"籠は鉄の鎖にしっかり取りつけられている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"306"	"BASKET-F"	"TELL"
"message.1actions.BAT-F.314.01"	"You can't reach him; he's on the ceiling."	"手が届かない。コウモリは天井にいる。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"314"	"BAT-F"	"TELL"
"message.1actions.FLY-ME.320.01"	"The bat grabs you by the scruff of your neck and lifts you away...."	"コウモリがあなたの首根っこをつかみ、そのまま連れ去った……"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"320"	"FLY-ME"	"TELL"
"message.1actions.FWEEP.329.01"	"    Fweep!"	"　　フウィープ！"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"329"	"FWEEP"	"TELL"
"message.1actions.BELL-F.349.01"	"Ding, dong."	"ディン、ドン。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"349"	"BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.353.01"	"The bell is very hot and cannot be taken."	"鐘はひどく熱く、手に取れない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"353"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.356.01"	"The "	""	"format"	"日本語語順のため空文字"	"1actions.zil"	"356"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.356.02"	" burns and is consumed."	"は燃えて、なくなってしまった。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"356"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.359.01"	"The bell is too hot to touch."	"鐘は熱すぎて触れない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"359"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.361.01"	"The heat from the bell is too intense."	"鐘はあまりに熱い。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"361"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.364.01"	"The water cools the bell and is evaporated."	"水は鐘を冷やし、そのまま蒸発した。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"364"	"HOT-BELL-F"	"TELL"
"message.1actions.HOT-BELL-F.368.01"	"The bell is too hot to reach."	"鐘は熱すぎて手を伸ばせない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"368"	"HOT-BELL-F"	"TELL"
"message.1actions.BOARDED-WINDOW-FCN.372.01"	"The windows are boarded and can't be opened."	"窓には板が打ちつけられ、開けられない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"372"	"BOARDED-WINDOW-FCN"	"TELL"
"message.1actions.BOARDED-WINDOW-FCN.374.01"	"You can't break the windows open."	"窓を壊して開けることはできない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"374"	"BOARDED-WINDOW-FCN"	"TELL"
"message.1actions.NAILS-PSEUDO.379.01"	"The nails, deeply imbedded in the door, cannot be removed."	"扉へ深く打ち込まれた釘は抜けない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"379"	"NAILS-PSEUDO"	"TELL"
"message.1actions.CRACK-FCN.383.01"	"You can't fit through the crack."	"体が入らず、割れ目を通れない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"383"	"CRACK-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.388.01"	"You are in the kitchen of the white house. A table seems to\nhave been used recently for the preparation of food. A passage\nleads to the west and a dark staircase can be seen leading\nupward. A dark chimney leads down and to the east is a small\nwindow which is "	"あなたは白い家の台所にいる。テーブルは最近、食事の支度に使われたようだ。西へ通路が続き、暗い階段が上へ伸びている。暗い煙突は下へ続き、東には小さな窓があり、"	"draft"	"後続断片と連結"	"1actions.zil"	"388"	"KITCHEN-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.394.01"	"open."	"開いている。"	"draft"	"前文と連結"	"1actions.zil"	"394"	"KITCHEN-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.396.01"	"slightly ajar."	"わずかに開いている。"	"draft"	"前文と連結"	"1actions.zil"	"396"	"KITCHEN-FCN"	"TELL"
"message.1actions.KITCHEN-FCN.401.01"	"There are no stairs leading down."	"下へ続く階段はない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"401"	"KITCHEN-FCN"	"TELL"
"message.1actions.STONE-BARROW-FCN.411.01"	"Inside the Barrow|\nAs you enter the barrow, the door closes inexorably behind you. Around\nyou it is dark, but ahead is an enormous cavern, brightly lit. Through\nits center runs a wide stream. Spanning the stream is a small wooden\nfootbridge, and beyond a path leads into a dark tunnel. Above the\nbridge, floating in the air, is a large sign. It reads:  All ye who\nstand before this bridge have completed a great and perilous adventure\nwhich has tested your wit and courage. You have mastered"	"石塚の内部|\n石塚へ入ると、背後で扉が容赦なく閉じた。周囲は暗いが、前方には\n明るく照らされた巨大な洞窟がある。その中央を幅広い川が流れ、小さな\n木の歩道橋が川に架かっている。橋の向こうでは道が暗いトンネルへ続く。\n橋の上空には大きな看板が浮かんでいる。こう書かれている。ここで橋を前に\n立つ者は皆、知恵と勇気を試す、偉大にして危険な冒険を成し遂げた。汝は"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"411"	"STONE-BARROW-FCN"	"TELL"
"message.1actions.STONE-BARROW-FCN.420.01"	"\nthe first part of the ZORK trilogy. Those who pass over this bridge must be\nprepared to undertake an even greater adventure that will severely test your\nskill and bravery!|\n|\nThe ZORK trilogy continues with ""ZORK II: The Wizard of Frobozz"" and\nis completed in ""ZORK III: The Dungeon Master."""	"\n『ゾーク』三部作の第一部を制覇した。この橋を渡る者は、技量と勇気を\nさらに厳しく試す、いっそう壮大な冒険へ挑む覚悟をせよ！|\n|\n『ゾーク』三部作は『ゾークII フロボズの魔法使い』へ続き、\n『ゾークIII ダンジョン・マスター』で完結する。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"420"	"STONE-BARROW-FCN"	"TELL"
"message.1actions.STONE-BARROW-FCN.428.01"	"\nZORK: The Great Underground Empire.|"	"\nゾーク 大地下帝国|"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"428"	"STONE-BARROW-FCN"	"TELL"
"message.1actions.BARROW-DOOR-FCN.434.01"	"The door is too heavy."	"扉は重すぎる。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"434"	"BARROW-DOOR-FCN"	"TELL"
"message.1actions.TROPHY-CASE-FCN.445.01"	"The trophy case is securely fastened to the wall."	"戦利品の飾り棚は壁へしっかり固定されている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"445"	"TROPHY-CASE-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.452.01"	"You are in the living room. There is a doorway to the east"	"居間にいる。東には戸口がある"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"452"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.455.01"	". To the\nwest is a cyclops-shaped opening in an old wooden door, above which is\nsome strange gothic lettering, "	"。西には、サイクロプスの形をした穴が開いた古い木の扉があり、その上には奇妙なゴシック文字がある。ほかに"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"455"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.460.01"	", a wooden\ndoor with strange gothic lettering to the west, which appears to be\nnailed shut, "	"。西には、釘で閉ざされているらしい、奇妙なゴシック文字のある木の扉がある。ほかに"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"460"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.463.01"	"a trophy case, "	"戦利品の飾り棚があり、"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"463"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.467.01"	"and a rug lying beside an open trap door."	"開いた落とし戸のそばに敷物がある。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"467"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.469.01"	"and a closed trap door at your feet."	"足元には閉じた落とし戸がある。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"469"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.471.01"	"and an open trap door at your feet."	"足元には開いた落とし戸がある。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"471"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.LIVING-ROOM-FCN.474.01"	"and a large oriental rug in the center of the room."	"部屋の中央には大きな東洋風の絨毯がある。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"474"	"LIVING-ROOM-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.511.01"	"The door reluctantly opens to reveal a rickety staircase descending into\ndarkness."	"扉はきしみながら開き、暗闇へ下る壊れかけの階段が現れた。"	"draft"	""	"1actions.zil"	"511"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"
"message.1actions.TRAP-DOOR-FCN.513.01"	"The door swings shut and closes."	"扉は勢いよく閉じた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"513"	"TRAP-DOOR-FCN"	"OPEN-CLOSE"
"message.1actions.TRAP-DOOR-FCN.517.01"	"You see a rickety staircase descending into darkness."	"暗闇へ下る壊れかけの階段が見える。"	"draft"	""	"1actions.zil"	"517"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.518.01"	"It's closed."	"閉まっている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"518"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.523.01"	"The door is locked from above."	"扉は上側から鍵が掛かっている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"523"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.TRAP-DOOR-FCN.527.01"	"The door closes and locks."	"扉が閉まり、鍵がかかった。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"527"	"TRAP-DOOR-FCN"	"TELL"
"message.1actions.CELLAR-FCN.534.01"	"You are in a dark and damp cellar with a narrow passageway leading\nnorth, and a crawlway to the south. On the west is the bottom of a\nsteep metal ramp which is unclimbable."	"あなたは暗く湿った地下室にいる。細い通路が北へ、這って進む道が南へ続いている。西には急な金属製の斜路の下端があるが、登ることはできない。"	"draft"	"地下世界への入口"	"1actions.zil"	"534"	"CELLAR-FCN"	"TELL"
"message.1actions.CELLAR-FCN.543.01"	"The trap door crashes shut, and you hear someone barring it."	"落とし戸が大きな音を立てて閉まり、誰かが閂をかける音がした。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"543"	"CELLAR-FCN"	"TELL"
"message.1actions.CHIMNEY-F.547.01"	"The chimney leads "	"煙突は"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"547"	"CHIMNEY-F"	"TELL"
"message.1actions.CHIMNEY-F.549.01"	"down"	"下"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"549"	"CHIMNEY-F"	"TELL"
"message.1actions.CHIMNEY-F.550.01"	"up"	"上"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"550"	"CHIMNEY-F"	"TELL"
"message.1actions.CHIMNEY-F.551.01"	"ward, and looks climbable."	"へ続き、登れそうだ。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"551"	"CHIMNEY-F"	"TELL"
"message.1actions.UP-CHIMNEY-FUNCTION.555.01"	"Going up empty-handed is a bad idea."	"手ぶらで登るのは得策ではない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"555"	"UP-CHIMNEY-FUNCTION"	"TELL"
"message.1actions.UP-CHIMNEY-FUNCTION.564.01"	"You can't get up there with what you're carrying."	"今持っている荷物を抱えたままでは上がれない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"564"	"UP-CHIMNEY-FUNCTION"	"TELL"
"message.1actions.TRAP-DOOR-EXIT.572.01"	"The trap door is closed."	"落とし戸は閉まっている。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"572"	"TRAP-DOOR-EXIT"	"TELL"
"message.1actions.TRAP-DOOR-EXIT.576.01"	"You can't go that way."	"そちらへは進めない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"576"	"TRAP-DOOR-EXIT"	"TELL"
"message.1actions.RUG-FCN.581.01"	"The rug is too heavy to lift"	"絨毯は重すぎて持ち上がらない"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"581"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.583.01"	"."	"。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"583"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.586.01"	", but in trying to take it you have\nnoticed an irregularity beneath it."	"。だが、取ろうとした時、その下に不自然な出っ張りがあることに気づいた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"586"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.591.01"	"Having moved the carpet previously, you find it impossible to move\nit again."	"一度動かした絨毯を、もう一度動かすことはできない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"591"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.595.01"	"With a great effort, the rug is moved to one side of the room, revealing\nthe dusty cover of a closed trap door."	"大変な力をかけて絨毯を部屋の片側へ寄せると、閉じた落とし戸の埃まみれの蓋が現れた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"595"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.602.01"	"The rug is extremely heavy and cannot be carried."	"絨毯はひどく重く、持ち運べない。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"602"	"RUG-FCN"	"TELL"
"message.1actions.RUG-FCN.607.01"	"Underneath the rug is a closed trap door. As you drop the corner of the\nrug, the trap door is once again concealed from view."	"絨毯の下には閉じた落とし戸がある。持ち上げた隅を放すと、落とし戸は再び絨毯に隠れた。"	"draft"	"原文・ルーチン確認済み"	"1actions.zil"	"607"	"RUG-FCN"	"TELL"
