verb	japanese	aliases	disposition	notes
PICK	拾う	選ぶ 鍵をこじ開ける	keep	構文により意味が変わる
PLAY	演奏する	遊ぶ	keep	""
PLUG	ふさぐ	修理する 栓をする	keep	""
PLUGH	プラグ		keep	魔法の言葉
POKE	つつく	突く	keep	""
POUR	注ぐ	こぼす	keep	""
PRAY	祈る	祈りを捧げる	keep	""
PULL	引く	引っ張る	keep	""
PUMP	ポンプを使う	空気を入れる	keep	""
PUNCTURE	穴を開ける	突き刺す	keep	""
PUSH	押す	押し込む	keep	""
PUT	置く	入れる 載せる しまう	keep	構文により助詞を変える
QUIT	終了する	やめる 終わる	keep	""
RAISE	上げる	持ち上げる	keep	""
RAPE	襲う		omit	現代向け入力語彙からは除外候補
READ	読む	目を通す	keep	""
REPENT	悔い改める	反省する	consider	""
RESTART	最初からやり直す	再開する リスタート	keep	""
RESTORE	復元する	ロードする	defer	保存媒体の設計後に対応
RING	鳴らす	鐘を鳴らす	keep	""
ROLL	転がす	巻く	keep	""
RUB	こする	触る 撫でる	keep	""
SAVE	保存する	セーブする	defer	保存媒体の設計後に対応
SAY	言う	唱える	keep	""
SCORE	得点を見る	点数 成績	keep	""
SCRIPT	記録を取る	印字する	omit	プリンタ記録機能
SEARCH	探す	中を調べる 捜索する	keep	""
SEND	送る	行かせる	consider	""
SHAKE	振る	揺する	keep	""
SKIP	跳ねる	スキップする	consider	""
SLIDE	滑る	滑らせる	keep	""
SMELL	嗅ぐ	匂いを嗅ぐ	keep	""
SPIN	回転させる	ぐるぐる回す	keep	TURNの「回す」と区別する
SPRAY	吹きかける	噴射する	keep	""
SQUEEZE	絞る	握る	keep	""
STAB	刺す	突き刺す	keep	""
STAND	立つ	立ち上がる	keep	""
STAY	待つ	とどまる	consider	""
STRIKE	打つ	叩く 火をつける	keep	""
SUPER	最短表示	超簡潔	consider	表示モード
SWIM	泳ぐ	水浴びする 渡る	keep	""
SWING	振る	振り回す	keep	""
TAKE	取る	拾う 持つ	keep	""
TALK	話す	会話する	keep	""
TELL	尋ねる	話す 聞く	keep	構文により「命令する」も使用
THROW	投げる	放る	keep	""
TIE	結ぶ	縛る 取り付ける	keep	""
TREASURE	宝物		keep	作中の特殊コマンド
TURN	回す	ひねる 切り替える	keep	""
UNLOCK	鍵を開ける	解錠する	keep	""
UNSCRIPT	記録を止める	印字を止める	omit	プリンタ記録機能
UNTIE	ほどく	外す 解放する	keep	""
VERBOSE	詳細表示	詳しく	consider	表示モード
VERSION	版を見る	バージョン	consider	""
WAIT	待つ	時間を進める	keep	""
WAKE	起こす	目覚めさせる 驚かす	keep	""
WALK	行く	歩く 進む	keep	""
WAVE	振る	振りかざす	keep	""
WEAR	身につける	着る かぶる	keep	""
WIN	勝つ	勝利する	consider	遊びコマンド
WIND	巻く	ねじを巻く	keep	""
WISH	願う	祈願する	consider	""
YELL	叫ぶ	大声を出す	keep	""
ZORK	ゾーク		keep	作中語
