"id"	"english"	"japanese"	"status"	"notes"	"source_file"	"line"	"room"	"property"
"room.PATH.LDESC"	"This is a path winding through a dimly lit forest. The path heads\nnorth-south here. One particularly large tree with some low branches\nstands at the edge of the path."	"ここは薄暗い森を曲がりくねって進む小道だ。道は南北へ伸びている。道端には、低い枝を張ったひときわ大きな木が立っている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1366"	"PATH"	"LDESC"
"room.PATH.DESC"	"Forest Path"	"森の小道"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1369"	"PATH"	"DESC"
"room.UP-A-TREE.DESC"	"Up a Tree"	"木の上"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1381"	"UP-A-TREE"	"DESC"
"room.UP-A-TREE.UP"	"You cannot climb any higher."	"これ以上は登れない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1383"	"UP-A-TREE"	"UP"
"room.GRATING-CLEARING.DESC"	"Clearing"	"空き地"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1390"	"GRATING-CLEARING"	"DESC"
"room.GRATING-CLEARING.NORTH"	"The forest becomes impenetrable to the north."	"北側の森は通り抜けられないほど深い。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1391"	"GRATING-CLEARING"	"NORTH"
"room.CLEARING.LDESC"	"You are in a small clearing in a well marked forest path that\nextends to the east and west."	"ここは、はっきりと踏み固められた森の小道にある小さな空き地だ。小道は東西へ伸びている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1413"	"CLEARING"	"LDESC"
"room.CLEARING.DESC"	"Clearing"	"空き地"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1415"	"CLEARING"	"DESC"
"room.CLEARING.UP"	"There is no tree here suitable for climbing."	"ここには登るのに適した木がない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1416"	"CLEARING"	"UP"
"room.KITCHEN.DESC"	"Kitchen"	"台所"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1431"	"KITCHEN"	"DESC"
"room.KITCHEN.DOWN"	"Only Santa Claus climbs down chimneys."	"煙突を下りるのはサンタクロースくらいだ。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1437"	"KITCHEN"	"DOWN"
"room.ATTIC.LDESC"	"This is the attic. The only exit is a stairway leading down."	"ここは屋根裏部屋だ。出口は下へ続く階段だけだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1445"	"ATTIC"	"LDESC"
"room.ATTIC.DESC"	"Attic"	"屋根裏部屋"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1446"	"ATTIC"	"DESC"
"room.LIVING-ROOM.DESC"	"Living Room"	"居間"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1453"	"LIVING-ROOM"	"DESC"
"room.LIVING-ROOM.WEST"	"The door is nailed shut."	"扉は釘で閉ざされている。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1455"	"LIVING-ROOM"	"WEST"
"room.CELLAR.DESC"	"Cellar"	"地下室"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1468"	"CELLAR"	"DESC"
"room.CELLAR.WEST"	"You try to ascend the ramp, but it is impossible, and you slide back down."	"斜路を登ろうとしたが、とても無理で、滑り落ちてしまった。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1473"	"CELLAR"	"WEST"
"room.TROLL-ROOM.LDESC"	"This is a small room with passages to the east and south and a\nforbidding hole leading west. Bloodstains and deep scratches\n(perhaps made by an axe) mar the walls."	"ここは小さな部屋だ。通路が東と南へ伸び、西には不気味な穴が口を開けている。壁には血痕と深い引っかき傷が残っている。斧でつけられたものかもしれない。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1482"	"TROLL-ROOM"	"LDESC"
"room.TROLL-ROOM.DESC"	"The Troll Room"	"トロールの部屋"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1485"	"TROLL-ROOM"	"DESC"
"room.TROLL-ROOM.EAST"	"The troll fends you off with a menacing gesture."	"トロールが威嚇するような身振りで行く手を阻んだ。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1488"	"TROLL-ROOM"	"EAST"
"room.TROLL-ROOM.WEST"	"The troll fends you off with a menacing gesture."	"トロールが威嚇するような身振りで行く手を阻んだ。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1490"	"TROLL-ROOM"	"WEST"
"room.EAST-OF-CHASM.LDESC"	"You are on the east edge of a chasm, the bottom of which cannot be\nseen. A narrow passage goes north, and the path you are on continues\nto the east."	"底の見えない深淵の東端にいる。細い通路が北へ伸び、今いる道は東へ続いている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1497"	"EAST-OF-CHASM"	"LDESC"
"room.EAST-OF-CHASM.DESC"	"East of Chasm"	"裂け目の東側"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1500"	"EAST-OF-CHASM"	"DESC"
"room.EAST-OF-CHASM.DOWN"	"The chasm probably leads straight to the infernal regions."	"この裂け目は地獄へまっすぐ続いていそうだ。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1503"	"EAST-OF-CHASM"	"DOWN"
"room.GALLERY.LDESC"	"This is an art gallery. Most of the paintings have been stolen by\nvandals with exceptional taste. The vandals left through either the\nnorth or west exits."	"ここは美術展示室だ。絵のほとんどは、並外れた審美眼を持つならず者たちに盗まれている。彼らは北か西の出口から立ち去った。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1510"	"GALLERY"	"LDESC"
"room.GALLERY.DESC"	"Gallery"	"美術展示室"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1513"	"GALLERY"	"DESC"
"room.STUDIO.LDESC"	"This appears to have been an artist's studio. The walls and floors are\nsplattered with paints of 69 different colors. Strangely enough, nothing\nof value is hanging here. At the south end of the room is an open door\n(also covered with paint). A dark and narrow chimney leads up from a\nfireplace; although you might be able to get up it, it seems unlikely\nyou could get back down."	"ここはかつて画家の仕事場だったらしい。壁と床には何色もの絵の具が飛び散っている。不思議なことに、価値のある物は何も掛かっていない。部屋の南端には開いた扉があり、それも絵の具まみれだ。暖炉からは暗く細い煙突が上へ伸びている。登ることはできそうだが、降りて戻るのは難しそうだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1521"	"STUDIO"	"LDESC"
"room.STUDIO.DESC"	"Studio"	"画家の仕事場"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1527"	"STUDIO"	"DESC"
"room.MAZE-1.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1540"	"MAZE-1"	"LDESC"
"room.MAZE-1.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1541"	"MAZE-1"	"DESC"
"room.MAZE-2.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1550"	"MAZE-2"	"LDESC"
"room.MAZE-2.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1551"	"MAZE-2"	"DESC"
"room.MAZE-3.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1559"	"MAZE-3"	"LDESC"
"room.MAZE-3.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1560"	"MAZE-3"	"DESC"
"room.MAZE-4.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1568"	"MAZE-4"	"LDESC"
"room.MAZE-4.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1569"	"MAZE-4"	"DESC"
"room.DEAD-END-1.DESC"	"Dead End"	"行き止まり"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1577"	"DEAD-END-1"	"DESC"
"room.DEAD-END-1.LDESC"	"You have come to a dead end in the maze."	"迷路の行き止まりだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1578"	"DEAD-END-1"	"LDESC"
"room.MAZE-5.LDESC"	"This is part of a maze of twisty little passages, all alike.\nA skeleton, probably the remains of a luckless adventurer, lies here."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。運の悪い冒険者の亡骸らしい骸骨が横たわっている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1584"	"MAZE-5"	"LDESC"
"room.MAZE-5.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1586"	"MAZE-5"	"DESC"
"room.DEAD-END-2.DESC"	"Dead End"	"行き止まり"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1594"	"DEAD-END-2"	"DESC"
"room.DEAD-END-2.LDESC"	"You have come to a dead end in the maze."	"迷路の行き止まりだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1595"	"DEAD-END-2"	"LDESC"
"room.MAZE-6.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1601"	"MAZE-6"	"LDESC"
"room.MAZE-6.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1602"	"MAZE-6"	"DESC"
"room.MAZE-7.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1611"	"MAZE-7"	"LDESC"
"room.MAZE-7.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1612"	"MAZE-7"	"DESC"
"room.MAZE-8.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1622"	"MAZE-8"	"LDESC"
"room.MAZE-8.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1623"	"MAZE-8"	"DESC"
"room.DEAD-END-3.DESC"	"Dead End"	"行き止まり"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1631"	"DEAD-END-3"	"DESC"
"room.DEAD-END-3.LDESC"	"You have come to a dead end in the maze."	"迷路の行き止まりだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1632"	"DEAD-END-3"	"LDESC"
"room.MAZE-9.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1638"	"MAZE-9"	"LDESC"
"room.MAZE-9.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1639"	"MAZE-9"	"DESC"
"room.MAZE-10.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1650"	"MAZE-10"	"LDESC"
"room.MAZE-10.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1651"	"MAZE-10"	"DESC"
"room.MAZE-11.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1659"	"MAZE-11"	"LDESC"
"room.MAZE-11.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1660"	"MAZE-11"	"DESC"
"room.GRATING-ROOM.DESC"	"Grating Room"	"鉄格子の部屋"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1669"	"GRATING-ROOM"	"DESC"
"room.GRATING-ROOM.UP"	"The grating is closed."	"鉄格子は閉まっている。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1672"	"GRATING-ROOM"	"UP"
"room.MAZE-12.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1679"	"MAZE-12"	"LDESC"
"room.MAZE-12.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1680"	"MAZE-12"	"DESC"
"room.DEAD-END-4.DESC"	"Dead End"	"行き止まり"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1690"	"DEAD-END-4"	"DESC"
"room.DEAD-END-4.LDESC"	"You have come to a dead end in the maze."	"迷路の行き止まりだ。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1691"	"DEAD-END-4"	"LDESC"
"room.MAZE-13.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1697"	"MAZE-13"	"LDESC"
"room.MAZE-13.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1698"	"MAZE-13"	"DESC"
"room.MAZE-14.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1707"	"MAZE-14"	"LDESC"
"room.MAZE-14.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1708"	"MAZE-14"	"DESC"
"room.MAZE-15.LDESC"	"This is part of a maze of twisty little passages, all alike."	"ここは曲がりくねった小さな通路の迷路の一部だ。どれもそっくりに見える。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1717"	"MAZE-15"	"LDESC"
"room.MAZE-15.DESC"	"Maze"	"迷路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1718"	"MAZE-15"	"DESC"
"room.CYCLOPS-ROOM.DESC"	"Cyclops Room"	"サイクロプスの部屋"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1730"	"CYCLOPS-ROOM"	"DESC"
"room.CYCLOPS-ROOM.EAST"	"The east wall is solid rock."	"東の壁は堅い岩だ。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1733"	"CYCLOPS-ROOM"	"EAST"
"room.CYCLOPS-ROOM.UP"	"The cyclops doesn't look like he'll let you past."	"サイクロプスは通してくれそうにない。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1735"	"CYCLOPS-ROOM"	"UP"
"room.STRANGE-PASSAGE.LDESC"	"This is a long passage. To the west is one entrance. On the\neast there is an old wooden door, with a large opening in it (about\ncyclops sized)."	"ここは長い通路だ。西に入口が一つある。東には古い木の扉があり、サイクロプスほど大きな者も通れそうな穴が開いている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1743"	"STRANGE-PASSAGE"	"LDESC"
"room.STRANGE-PASSAGE.DESC"	"Strange Passage"	"奇妙な通路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1746"	"STRANGE-PASSAGE"	"DESC"
"room.TREASURE-ROOM.LDESC"	"This is a large room, whose east wall is solid granite. A number\nof discarded bags, which crumble at your touch, are scattered about\non the floor. There is an exit down a staircase."	"ここは広い部屋で、東の壁は堅い花崗岩だ。床には捨てられた袋がいくつも散らばっているが、触れると崩れてしまう。階段を下りる出口がある。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1755"	"TREASURE-ROOM"	"LDESC"
"room.TREASURE-ROOM.DESC"	"Treasure Room"	"宝物庫"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1758"	"TREASURE-ROOM"	"DESC"
"room.RESERVOIR-SOUTH.DESC"	"Reservoir South"	"貯水池南岸"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1771"	"RESERVOIR-SOUTH"	"DESC"
"room.RESERVOIR-SOUTH.NORTH"	"You would drown."	"溺れてしまう。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1777"	"RESERVOIR-SOUTH"	"NORTH"
"room.RESERVOIR.DESC"	"Reservoir"	"貯水池"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1785"	"RESERVOIR"	"DESC"
"room.RESERVOIR.DOWN"	"The dam blocks your way."	"ダムが行く手をふさいでいる。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1790"	"RESERVOIR"	"DOWN"
"room.RESERVOIR-NORTH.DESC"	"Reservoir North"	"貯水池北岸"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1798"	"RESERVOIR-NORTH"	"DESC"
"room.RESERVOIR-NORTH.SOUTH"	"You would drown."	"溺れてしまう。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1801"	"RESERVOIR-NORTH"	"SOUTH"
"room.STREAM-VIEW.LDESC"	"You are standing on a path beside a gently flowing stream. The path\nfollows the stream, which flows from west to east."	"あなたは穏やかに流れる小川のそばの道に立っている。道は西から東へ流れる小川に沿って続いている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1810"	"STREAM-VIEW"	"LDESC"
"room.STREAM-VIEW.DESC"	"Stream View"	"小川のほとり"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1812"	"STREAM-VIEW"	"DESC"
"room.STREAM-VIEW.WEST"	"The stream emerges from a spot too small for you to enter."	"流れは、人が入れないほど小さな穴から現れている。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1814"	"STREAM-VIEW"	"WEST"
"room.IN-STREAM.LDESC"	"You are on the gently flowing stream. The upstream route is too narrow\nto navigate, and the downstream route is invisible due to twisting\nwalls. There is a narrow beach to land on."	"穏やかに流れる小川の上にいる。上流は狭すぎて進めず、下流は曲がりくねった壁に隠れて見えない。上陸できる細い岸がある。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1822"	"IN-STREAM"	"LDESC"
"room.IN-STREAM.DESC"	"Stream"	"小川"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1825"	"IN-STREAM"	"DESC"
"room.IN-STREAM.UP"	"The channel is too narrow."	"水路が狭すぎる。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1826"	"IN-STREAM"	"UP"
"room.IN-STREAM.WEST"	"The channel is too narrow."	"水路が狭すぎる。"	"draft"	"部屋の出口専用メッセージ"	"1dungeon.zil"	"1827"	"IN-STREAM"	"WEST"
"room.MIRROR-ROOM-1.DESC"	"Mirror Room"	"鏡の部屋"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1841"	"MIRROR-ROOM-1"	"DESC"
"room.MIRROR-ROOM-2.DESC"	"Mirror Room"	"鏡の部屋"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1850"	"MIRROR-ROOM-2"	"DESC"
"room.SMALL-CAVE.LDESC"	"This is a tiny cave with entrances west and north, and a staircase\nleading down."	"ここは小さな洞窟で、西と北に入口があり、下へ続く階段もある。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1860"	"SMALL-CAVE"	"LDESC"
"room.SMALL-CAVE.DESC"	"Cave"	"洞窟"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1862"	"SMALL-CAVE"	"DESC"
"room.TINY-CAVE.LDESC"	"This is a tiny cave with entrances west and north, and a dark,\nforbidding staircase leading down."	"ここは小さな洞窟で、西と北に入口があり、暗く不気味な階段が下へ続いている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1873"	"TINY-CAVE"	"LDESC"
"room.TINY-CAVE.DESC"	"Cave"	"洞窟"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1875"	"TINY-CAVE"	"DESC"
"room.COLD-PASSAGE.LDESC"	"This is a cold and damp corridor where a long east-west passageway\nturns into a southward path."	"ここは冷たく湿った廊下で、東西に伸びる長い通路が南向きの道へ折れている。"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1886"	"COLD-PASSAGE"	"LDESC"
"room.COLD-PASSAGE.DESC"	"Cold Passage"	"冷たい通路"	"draft"	"原文確認済み・全面再翻訳"	"1dungeon.zil"	"1888"	"COLD-PASSAGE"	"DESC"
